Q No.,Question,Answer,option1,option2
30,आपको कौन-सा अधिक सुनाई देगा?,Option 2,एक हेलिकॉप्टर जो 154 फुट दूर उड़ रहा है,एक हेलिकॉप्टर जो ६२ मीटर दूर उड़ रहा है
31,मेरे घर से १०० फुट की दूरी से पुलिस का सायरन मेरे घर से १७५ फुट की दूरी पर चले जाने से सायरन की आवाज़?,Option 2,बढ़ गई,कम हो गई
32,बाल के एक टुकड़े का व्यास ०.०६ मि.मी. है जबकि एक रस्सी का व्यास ११ मि.मी. है। इसलिए बाल?,Option 2,मज़बूत है,कमज़ोर है
33,बाल के एक टुकड़े का व्यास ०.०४ मि.मी. है जबकि एक रस्सी का व्यास ९ मि.मी. है। इसलिए बाल?,Option 2,मज़बूत है,कमज़ोर है
34,मेरे घर से २०० फुट की दूरी से पुलिस का सायरन मेरे घर से १७५ फुट की दूरी पर चले जाने से सायरन की आवाज़?,Option 1,बढ़ गई,कम हो गई
35,√२ किस प्रकार की संख्या है?,Option 2,परिमेय,अपरिमेय
36,मोहल्ले के पुरस्कार वितरण समारोह के लिए पुरस्कार खरीदने हैं। हममें से कई लोग दुकान पर तरह-तरह के पुरस्कार खरीदने गए। एक ही दाम के ५ टिफिन बॉक्स खरीदने में १७५ रुपये लगे। बाद में मोहल्ले की दुकान से एक ही दाम के ४ टिफिन बॉक्स १४० रुपये में खरीदे। हिसाब करता हूँ कि मोहल्ले की दुकान ने एक ही दाम लिया या नहीं।,Option 1,एक ही दाम लिया,एक ही दाम नहीं लिया
37,रवि ने एक जैसे ६ प्याले १४४ रुपये में खरीदे। लेकिन लीला ने एक जैसे ४ प्याले दूसरी दुकान से ४४ रुपये में खरीदे। हिसाब करके देखते हैं कि दोनों दुकानों ने एक ही दाम लिया या नहीं।,Option 1,एक ही दाम नहीं लिया,एक ही दाम लिया
38,हमारे स्कूल से आरती और कमल के घर क्रमशः १ कि.मी. और ६०० मीटर दूर हैं। आज आरती और कमल घर से क्रमशः २० मिनट और १२ मिनट में स्कूल आए। देखते हैं कि क्या वे एक ही समय में स्कूल आए?,Option 1,एक ही समय में स्कूल आए,एक ही समय में स्कूल नहीं आए
39,मेरी सहेली प्रिया की ऊँचाई १६० से.मी. और उसकी माँ की ऊँचाई १७० से.मी. है। वहीं प्रिया का वज़न ४० किग्रा और उसकी माँ का वज़न ४२.५ किग्रा है। हिसाब करता हूँ कि उनकी ऊँचाई के साथ वज़न समानुपात में है या नहीं।,Option 2,समानुपात में नहीं है,समानुपात में है
40,मोहित एक दुकान से २० रुपये में ६ केले खरीद लाया। लेकिन राजू ने दूसरी दुकान से २ दर्जन केले ७२ रुपये में खरीदे। केले खरीदने में किसने अधिक रुपये दिए?,Option 2,राजू,मोहित
41,आज टिफिन में मैं केक ले गया था। मेरे दो दोस्तों आयुष और सपना ने मेरे केक का क्रमशः १/३ भाग और २/५ भाग खाया। केक का बाकी हिस्सा मैंने खाया। किसने अधिक केक खाया?,Option 1,सपना,आयुष
42,रतन बाबू ने अपनी २५ बीघा ज़मीन में से १६ बीघा ज़मीन पर जूट की खेती की है। लेकिन उषा देवी ने अपनी १५ बीघा ज़मीन में से ८ बीघा ज़मीन पर जूट की खेती की है। किसने अधिक भाग ज़मीन पर जूट की खेती की है?,Option 2,उषा देवी,रतन बाबू
43,अंजना ने स्कूल में हस्तकला दिखाकर ५० में से २५ नंबर पाए। लेकिन अनिल के स्कूल में अनिल ने हस्तकला में २५ में से १० नंबर पाए। हिसाब करते हैं कि किसने अधिक भाग नंबर पाए।,Option 1,अंजना,अनिल
44,"एक ही माप के दो गिलासों में एक ही मात्रा का शरबत बनाया गया। पहले गिलास के शरबत में १/५ भाग चीनी है, दूसरे गिलास के शरबत में २/७ भाग चीनी है। शरबत पीने से पहले ही देखते हैं कि किस गिलास का शरबत अधिक मीठा है।",Option 1,दूसरे गिलास का,पहले गिलास का
45,गणित की किताब में ४०० पृष्ठ हैं और हिंदी की किताब में ३५० पृष्ठ हैं। कौन-सी किताब अधिक मोटी है?,Option 2,हिंदी,गणित
46,दो बर्तनों में कुछ पानी है। एक में पानी के साथ सोडियम क्लोराइड और दूसरे में पानी के साथ सल्फ्यूरिक एसिड मिला हुआ है। यहाँ कौन-सा मिश्रित पानी पीना सुरक्षित है?,Option 2,सल्फ्यूरिक एसिड मिला पानी,सोडियम क्लोराइड वाला पानी
47,"एक ट्रेन कंडक्टर एक ट्रैक से मिट्टी पर पहियों का रास्ता बदलकर देखता है कि वह ५८ कि.मी./घंटा की गति से यात्रा कर रहा है, जबकि उतनी ही ऊर्जा से वह ३९ कि.मी./घंटा की गति से यात्रा कर रहा है। कौन-सा अधिक चिकना था?",Option 2,ट्रैक,मिट्टी
48,टीना और मीना दोनों राजमार्ग पर एक ही गति से चल रही हैं। टीना ३७ मिनट ५० सेकंड और मीना ३६ मिनट ४८ सेकंड गाड़ी चलाती है। किसने अधिक दूरी तक गाड़ी चलाई?,Option 1,टीना,मीना
49,"टीना अपने दो कुत्तों के बीच दौड़ करा रही है। इनमें से ग्रेहाउंड का वज़न ४० किलो है, और उसके रॉटवीलर का वज़न ३५ किलो है। कौन-सा कुत्ता अधिक तेज़ दौड़ता है?",Option 1,रॉटवीलर,ग्रेहाउंड
50,महेश और मीरा पार्क के चारों ओर अपनी बाइक चलाने का निर्णय लेते हैं। वे एक ही रास्ते पर चलते हैं लेकिन महेश १६ मील/घंटा की गति से अपनी बाइक चलाता है और मीरा ५ मील/घंटा की गति से चलाती है। दस मिनट बाद कौन कम दूरी तय करेगा?,Option 2,महेश,मीरा
51,एक टैंक का वज़न लगभग ६३ टन है। एक खिलौना गाड़ी का वज़न १.५ किलो है। इस कारण?,Option 2,टैंक खिलौना गाड़ी से जल्दी गति पकड़ेगा,खिलौना गाड़ी टैंक से जल्दी गति पकड़ेगी
52,"मैमथ पानी के गड्ढे में से २१ किमी प्रति घंटे की गति से चला, लेकिन कठोर मिट्टी पर १४ किमी प्रति घंटे की गति से चला क्योंकि कठोर मिट्टी थी?",Option 2,कम प्रतिरोधी,अधिक प्रतिरोधी
53,"मैमथ पानी के गड्ढे में से १८ किलोमीटर प्रति घंटे की गति से चला, लेकिन कठोर मिट्टी पर १८ मील प्रति घंटे की गति से चला क्योंकि कठोर मिट्टी थी?",Option 1,कम प्रतिरोधी,अधिक प्रतिरोधी
54,"सारा ने एक ही पावर की दो एक जैसी बत्तियाँ जलाने के लिए एक रिमोट कंट्रोल का उपयोग किया, एक ४ मीटर दूर थी और दूसरी ३० मीटर दूर। कौन-सी बत्ती अधिक चमकदार दिख रही थी?",Option 1,पास वाली बत्ती,दूर वाली बत्ती
55,एक सेडान का वज़न १५०० किलो है और एक कचरा ट्रक का वज़न ६९६३२ पाउंड है। ट्रैफिक लाइट पर बत्ती हरी होने पर दोनों गाड़ियों का वेग ५० मील प्रति घंटे तक पहुँचता है। कौन-सी गाड़ी प्रतियोगिता जीतेगी?,Option 1,सेडान,कचरा ट्रक
56,ब्यूटी क्वीन संगमरमर के फर्श पर १५ मीटर/सेकंड की गति से चली लेकिन लकड़ी के फर्श पर १००० सेमी/सेकंड की गति से चली क्योंकि वह था?,Option 1,अधिक प्रतिरोधी,कम प्रतिरोधी
57,मार्कस का बेटा पूल टेबल से पूल बॉल लेकर घर के चारों ओर खेलने चला गया। लड़के ने देखा कि पूल बॉल संगमरमर के फर्श पर १८० सेंटीमीटर और रेत पर २७ सेंटीमीटर की दूरी तय करती है। कौन-सी सतह अधिक चिकनी है?,Option 1,संगमरमर का फर्श,रेत
58,रेंजर और रसलर दोनों ऐसे घोड़ों पर सवार थे जो एक ही गति से दौड़ रहे थे। रसलर ०२:०० बजे निकला जबकि रेंजर ०१:०० बजे निकला। किसने अधिक यात्रा की?,Option 1,रेंजर,रसलर
59,एक ही अस्तबल से दो घोड़े निकल रहे हैं। सफेद घोड़ा धूसर घोड़े जितनी ही गति से जा रहा है। धूसर घोड़े ने १९ मिनट यात्रा की और सफेद घोड़े ने २८ मिनट यात्रा की। कौन-सा घोड़ा आगे निकल गया?,Option 1,सफेद घोड़ा,धूसर घोड़ा
60,"शेरी अपनी गेंद को दो लेनों में लुढ़काती है। गेंद १५ सेकंड में लाल लेन पार करती है, लेकिन २० सेकंड में हरी लेन पार करती है। दोनों लेन एक ही लंबाई की हैं। हरी लेन में गेंद धीमी हो जाती है क्योंकि उसमें?",Option 1,अधिक घर्षण है,कम घर्षण है
61,एक छोटा बच्चा घास पर १ मिनट से अधिक समय तक एक गेंद लुढ़काता है और फिर उसे रेत पर लुढ़काता है जहाँ वह ४३ सेकंड बाद रुक जाती है। रेत ने गेंद रोक दी क्योंकि उसमें घास से _____ है।,Option 1,अधिक घर्षण,कम घर्षण
62,माही का वज़न ६७८ न्यूटन है जबकि उसके दोस्त मूसा का वज़न ८५२ न्यूटन है। किसका द्रव्यमान अधिक होने की संभावना है?,Option 2,माही,मूसा
63,जिम एक ट्रक और एक कार दोनों का मालिक है। ट्रक का वज़न कार से ११७६ किलो कम है। गैस पैडल दबाने पर कौन-सी गाड़ी अधिक तेज़ी से त्वरित होगी?,Option 1,ट्रक,कार
64,एक रेस का घोड़ा और एक घोड़ा गाड़ी दोनों एक ही समय पर सैलून से निकलते हैं। घोड़ा गाड़ी ८ मीटर जा सकती है और रेस का घोड़ा उतने ही समय में १९ मीटर जा सकता है। अगले शहर में कौन बाद में पहुँचेगा?,Option 1,घोड़ा गाड़ी को अगले शहर पहुँचने में अधिक समय लगेगा,रेस के घोड़े को अगले शहर पहुँचने में अधिक समय लगेगा
65,एक बॉलिंग बॉल का द्रव्यमान १२० पाउंड और एक बेसबॉल का द्रव्यमान १३ पाउंड है। किसका गुरुत्वाकर्षण बल कमज़ोर है?,Option 1,बेसबॉल,बॉलिंग बॉल
66,एफ-१६ का वज़न आमतौर पर ९०३४ किलो होता है और जंबो जेट का वज़न ४३९९८७ किलो होता है। इसलिए एफ-१६ था?,Option 2,धीमी गति वाला,तेज़ गति वाला
67,"एक मुर्गी १४० सेमी/सेकंड की गति से दौड़ सकती है और एक टर्की ४ मी/सेकंड की गति से दौड़ सकता है। यदि दोनों अस्तबल से छप्पर की ओर दौड़ें, तो वहाँ कौन जल्दी पहुँचेगा?",Option 2,मुर्गी,टर्की
68,एक बच्चा एक गेंद लुढ़का रहा है। वह घास पर लगभग ५ सेकंड लुढ़ककर रुक जाती है। वह कंक्रीट से ढकी रेत पर लुढ़कती है जहाँ वह ०.३ घंटे बाद रुकती है। रेत ने गेंद रोक दी क्योंकि उसमें घास से _____ है?,Option 2,अधिक घर्षण,कम घर्षण
69,जॉन और स्टीवन ने एक प्रयोग करने का निर्णय लिया। उन्होंने ३० ग्राम वज़न की ईंट का एक टुकड़ा और ४०० ग्राम वज़न का कंकड़ों का गुच्छा अपनी खिड़की से गिरा दिया। जब उन्होंने नीचे देखा तो पाया कि कंकड़ों का बंडल ईंट से पहले ज़मीन पर पहुँच गया क्योंकि ईंट की तुलना में _____?,Option 1,उसका द्रव्यमान कम है,उसका द्रव्यमान अधिक है
70,जिम्बो जानता है कि उसके कंचे का द्रव्यमान ६ ग्राम और पत्थर का द्रव्यमान ४ ग्राम है। इसका मतलब?,Option 1,कंचे में अधिक गुरुत्वाकर्षण है,पत्थर में अधिक गुरुत्वाकर्षण है
71,केट की नाव का प्रोपेलर समुद्र में १३०० चक्कर की गति से और नदी में प्रति सेकंड १३० चक्कर की गति से चला। इसका मतलब प्रोपेलर कहाँ कम गर्म होता है?,Option 2,समुद्र,नदी
72,एक सेडान का वज़न २५०० किलो है और एक कचरा ट्रक का वज़न १००० किलो है। ट्रैफिक लाइट की बत्ती हरी होने पर दोनों गाड़ियों का वेग ५० मील प्रति घंटे तक पहुँचता है। कौन-सी गाड़ी रेस जीतेगी?,Option 2,सेडान,कचरा ट्रक
73,एलियट देखता है कि वह एक हैंडकार्ट को सीमेंट पर १९ मी/सेकंड और कार्पेट पर २३ मी/सेकंड की गति से धकेल सकता है। हैंडकार्ट कहाँ अधिक गर्मी उत्पन्न करेगा?,Option 2,कार्पेट पर,सीमेंट पर
74,"एक रेस कार और एक पिकअप दोनों एक ही गति से हाईवे पर चल रही थीं। रेस कार का चालक थक गया और २९ मिनट बाद पार्क कर दिया, जबकि पिकअप का चालक ४३ मिनट तक गाड़ी चलाता रहा। अंत में किस गाड़ी ने अधिक दूरी तय की?",Option 2,रेस कार,पिकअप
75,मार्सी अपनी पीली गेंद को अपने पक्के ड्राइववे पर लुढ़का रही है और गेंद १४ मीटर लुढ़की। फिर मार्सी पीली गेंद को कीचड़ भरे फुटपाथ पर लुढ़काती है और गेंद ०.२ मीटर के बाद लुढ़कना बंद कर देती है। कीचड़ भरे फुटपाथ पर गेंद रुक गई क्योंकि?,Option 1,अधिक घर्षण है,कम घर्षण है
76,मार्कस का बेटा पूल टेबल से पूल बॉल लेकर घर के चारों ओर खेलने चला गया। लड़के ने देखा कि पूल बॉल संगमरमर के फर्श पर ५ मीटर और शैग रग (रोएँदार कालीन) पर २ मीटर की दूरी तक लुढ़की। अधिक चिकनी सतह कौन-सी है?,Option 1,संगमरमर का फर्श,शैग रग
77,एक प्रशिक्षक ने प्रतिदिन अपने घोड़े को दौड़ते देखा। घोड़ा ६ सेकंड में अधिक गति पकड़ सका जब कोई उस पर सवार नहीं था और जब कोई उस पर सवार था तब उसे १२ सेकंड लगे। घोड़े का वज़न कम था जब?,Option 2,उस पर एक सवार था,जब कोई उस पर सवार नहीं था
78,"गाड़ी चलाते हुए, मेरी को पता चला कि जंगल का घर्षण गुणांक ०.८ है, जबकि सड़क का गुणांक ०.४ है। वह अपनी गाड़ी किस पर तेज़ चला सकती है?",Option 2,जंगल में,सड़क पर
79,"डग अपने घर से अपनी साइकिल पर दोस्त के घर जाता है और वह एक घंटे में ७ मीटर जा सकता है, और जब वह पैदल वही यात्रा करता है, तो वह एक घंटे में २ मील पार करता है। डग जल्दी अपने दोस्त के घर कैसे पहुँचेगा?",Option 1,पैदल,साइकिल से
80,लिसा दो मॉडल रॉकेटों से खेल रही थी। उसने एक ही समय पर दोनों रॉकेट आकाश में छोड़े तो ३० सेकंड बाद काला रॉकेट ज़मीन से २ मीटर ऊपर और लाल रॉकेट ज़मीन से २३ सेमी ऊपर था। किसकी गति अधिक थी?,Option 2,लाल वाले की,काले वाले की
81,महेश एक पत्थर के द्रव्यमान और एक कंकड़ के द्रव्यमान की तुलना कर रहा था। उसने पाया कि पत्थर का द्रव्यमान १२९ पाउंड और कंकड़ का द्रव्यमान १२ पाउंड था। किसमें प्रबल गुरुत्वाकर्षण है?,Option 1,पत्थर में,कंकड़ में
82,"शिलोह रेगमाल (सैंडपेपर) के एक टुकड़े पर एक गेंद लुढ़काता है और देखता है कि गेंद २ मीटर/सेकंड के वेग से लुढ़कती है, फिर शिलोह अपनी गेंद को काँच के एक टुकड़े पर लुढ़काता है और गेंद ५ मीटर/सेकंड के वेग से लुढ़कती है। गेंद तेज़ लुढ़की क्योंकि काँच के टुकड़े पर?",Option 2,अधिक घर्षण है,कम घर्षण है
83,लिंडा और मेलिंडा ने एक झील के आर-पार कयाक चलाने का निर्णय लिया। लिंडा ने ४ मिलीसेकंड में झील पार की और मेलिंडा ने ९८ मिलीसेकंड में। इनमें से कौन दूसरे जितनी तेज़ नहीं गई?,Option 2,लिंडा,मेलिंडा
84,"एमिली छत पर एक केला लुढ़काती है और वह ५ सेमी लुढ़कता है, लेकिन जब वह उसे पुरानी स्लाइड पर छोड़ती है, तो वह ११ मिमी लुढ़कता है। वह समझती है कि कम घर्षण कहाँ था?",Option 1,छत पर,स्लाइड पर
85,टिम की अँगूठी मैदान पर ४.५ सेंटीमीटर और उसके फर्श पर १.२ सेंटीमीटर लुढ़कती है। टिम का _____ अधिक चिकना है।,Option 2,फर्श,मैदान
86,जिम ६७ सेमी/सेकंड की गति से दौड़ सकता था और उसकी बहन जेन १२ सेमी/सेकंड की गति से दौड़ सकती थी। एक खतरनाक वायरस का फैलाव रोकने के लिए उन्हें अगले शहर में कुछ ज़रूरी वैक्सीन पहुँचानी थी। कम समय में वहाँ पहुँचने के लिए वैक्सीन लेकर किसे जाना चाहिए?,Option 1,जिम,जेन
87,जोश ने देखा कि अपनी भतीजी (वज़न ३९ पाउंड) को उठाना उसके बेटे (वज़न ३३ पाउंड) की तुलना में कठिन है। उसकी भतीजी पर _____ गुरुत्वाकर्षण खिंचाव है?,Option 1,अधिक,कम
88,एक गोल्फ बॉल का द्रव्यमान ५६ ग्राम और एक बेसबॉल का द्रव्यमान १८४ ग्राम है। किसका गुरुत्वीय बल कमज़ोर है?,Option 1,गोल्फ बॉल,बेसबॉल
89,एक सेडान का वज़न ३३५१ पाउंड है और एक कचरा ट्रक का वज़न ६४००० पाउंड है। ट्रैफिक लाइट पर बत्ती हरी होने पर दोनों गाड़ियों का वेग ५० मील प्रति घंटे तक पहुँचता है। कौन-सी गाड़ी रेस जीतेगी?,Option 1,सेडान,कचरा ट्रक
90,टैंक की अधिकतम गति ५ मी/से और फाइटर जेट की अधिकतम गति ५० मी/से है। मान लीजिए दोनों को एक निश्चित दूरी पार करनी थी?,Option 1,टैंक को वह यात्रा करने में जेट से अधिक समय लगेगा,टैंक को वह यात्रा करने में जेट से कम समय लगेगा
91,एक रोबोट ७ मिनट में टाइलें और १०० सेकंड में प्लश कार्पेट साफ करता है क्योंकि उसमें है?,Option 1,अधिक घर्षण,कम घर्षण
92,"एक मुर्गी १४ मीटर/सेकंड की गति से दौड़ सकती है और एक टर्की ४ मी/सेकंड की गति से दौड़ सकता है। यदि दोनों अस्तबल से छप्पर की ओर दौड़ें, तो वहाँ कौन जल्दी पहुँचेगा?",Option 1,मुर्गी,टर्की
93,एक ही अस्तबल से दो घोड़े निकल रहे हैं। सफेद घोड़ा धूसर घोड़े जितनी ही गति से जा रहा है। धूसर घोड़े ने ९ मिनट यात्रा की और सफेद घोड़े ने ५ मिनट यात्रा की। कौन-सा घोड़ा आगे निकल गया?,Option 2,सफेद घोड़ा,धूसर घोड़ा
94,जोश ने देखा कि अपनी भतीजी (वज़न ४५ पाउंड) को उठाना उसके बेटे (वज़न ६० पाउंड) की तुलना में कठिन है। उसकी भतीजी पर _____ गुरुत्वाकर्षण खिंचाव है?,Option 2,अधिक,कम
95,"टेड पार्क में अपनी बाइक चला रहा था। जब वह सीमेंट के रास्ते पर था, तब वह ५० सेकंड में पार्क का चक्कर लगा सका और घास पर उसे ४ मिनट लगे। बाइक कहाँ अधिक गर्म होगी?",Option 2,सीमेंट के रास्ते पर,घास पर
96,"सारा ने एक ही पावर की दो एक जैसी बत्तियाँ जलाने के लिए एक रिमोट कंट्रोल का उपयोग किया, पहली १६ मीटर दूर थी और दूसरी १२ मीटर दूर। कौन-सी बत्ती अधिक चमकदार दिख रही थी?",Option 1,दूसरी,पहली
97,"सारा ने एक ही पावर की दो एक जैसी बत्तियाँ जलाने के लिए एक रिमोट कंट्रोल का उपयोग किया, पहली ३ मीटर दूर थी और दूसरी १२० सेमी दूर। कौन-सी बत्ती अधिक चमकदार दिख रही थी?",Option 2,पहली,दूसरी
98,"एक वॉलीबॉल खिलाड़ी ने जिम के फर्श पर ४० मीटर की छलांग लगाई, लेकिन समुद्र किनारे रेत पर २२ मीटर की छलांग लगाई। क्योंकि वह थी?",Option 1,अधिक प्रतिरोधी,कम प्रतिरोधी
99,"टेड पार्क में अपनी बाइक चला रहा था। जब वह सीमेंट के रास्ते पर था, तब वह ३५ मिनट में पार्क का चक्कर लगा सका और घास पर उसे ४८ मिनट लगे। बाइक कब अधिक गर्म होगी?",Option 2,सीमेंट के रास्ते पर,घास पर
100,"एक वॉलीबॉल खिलाड़ी ने जिम के फर्श पर १.२ मीटर की छलांग लगाई, लेकिन समुद्र किनारे रेत पर ४ मीटर की छलांग लगाई। क्योंकि वह थी?",Option 1,अधिक प्रतिरोधी,कम प्रतिरोधी
101,टीना और मीना दोनों हाईवे पर एक ही गति से जा रही हैं। टीना १२९ मिनट और मीना ३६ मिनट ४८ सेकंड ड्राइव करती है। कौन अधिक दूर ड्राइव करती है?,Option 2,मीना,टीना
102,एक बिलियर्ड बॉल का द्रव्यमान ६ औंस और बास्केटबॉल का द्रव्यमान ०.५ औंस है। किस गेंद का गुरुत्वाकर्षण क्षेत्र अधिक है?,Option 1,बिलियर्ड बॉल,बास्केटबॉल
103,"एक कैपिबारा २००० सेमी/सेकंड की गति से चलता है और एक एंटईटर १ मी/सेकंड की गति से चलता है। यदि दोनों प्राणी एक ही यात्रा करें, तो कौन वहाँ जल्दी पहुँचेगा?",Option 1,कैपिबारा,एंटईटर
104,महेश एक लालटेन से ६ मीटर और स्ट्रीट लाइट से २३ मीटर दूर खड़ा है। कौन-सा प्रकाश स्रोत उसे अधिक चमकदार लगता है?,Option 1,लालटेन,स्ट्रीट लाइट
105,जिम ४६ मीटर/सेकंड की गति से दौड़ सकता था और उसकी बहन जेन ५२ मी/सेकंड की गति से दौड़ सकती थी। एक खतरनाक वायरस का फैलाव रोकने के लिए उन्हें अगले शहर में कुछ ज़रूरी वैक्सीन पहुँचानी थी। कम समय में वहाँ पहुँचने के लिए वैक्सीन लेकर किसे जाना चाहिए?,Option 2,जिम,जेन
106,"एक मुर्गी १४ सेमी/सेकंड की गति से दौड़ सकती है और एक टर्की ४ सेमी/सेकंड की गति से दौड़ सकता है। यदि दोनों अस्तबल से छप्पर की ओर दौड़ें, तो वहाँ कौन जल्दी पहुँचेगा?",Option 1,मुर्गी,टर्की
107,केट की नाव का प्रोपेलर समुद्र में ७६५६ आरपीएम और नदी में १४३६ आरपीएम की गति से चला। इसका मतलब प्रोपेलर कहाँ अधिक गर्म होता है?,Option 1,समुद्र में,नदी में
108,"टेरी अपनी साइकिल यात्रा पर ले जाता है, पहले घास के मैदान में से १७ मीटर/सेकंड की गति से, फिर पक्की सड़क पर ४८ मीटर/सेकंड की गति से। पक्की सड़क थी?",Option 2,अधिक प्रतिरोधी,कम प्रतिरोधी
109,जिम रायट सर्वर से १० मील दूर रहता है। रजनी रायट सर्वर से २००० मील दूर रहती है। दोनों की इंटरनेट स्पीड एक ही है। किसका पिंग अधिक होगा?,Option 2,जिम,रजनी
