Q No.,Question,Answer
54,एक कटोरी खीर बनाने में २ किलोग्राम चीनी लगती है। ऐसी १४ कटोरी खीर बनाने के लिए कितने किलोग्राम चीनी लगेगी?,२८
55,४/५ लीटर शरबत २ लोगों में बराबर बाँटने पर प्रत्येक को कितने लीटर शरबत मिलेगा?,२/५
56,८/९ लीटर दूध ५ लोगों में बराबर बाँटने पर प्रत्येक को कितने लीटर दूध मिलेगा?,८/४५
57,३/५ वर्ग मीटर क्षेत्रफल के लिए २ डेसीलीटर रंग लगता है। १ डेसीलीटर रंग से कितने वर्ग मीटर क्षेत्रफल रंगा जा सकेगा?,३/१०
58,१ डेसीलीटर रंग से ८/९ वर्ग मीटर रंगा जा सकता है। ५/८ डेसीलीटर रंग से कितने वर्ग मीटर रंगा जा सकेगा?,५/९
59,"एक बगीचे का क्षेत्रफल २० वर्ग मीटर है। इस बगीचे के ५/६ भाग में फूल उगाए गए हैं, उगाए गए भाग का क्षेत्रफल कितने वर्ग मीटर है?",१६.६६
60,दूध के ४ पैकेटों में से प्रत्येक में ०.२ लीटर दूध है। सभी पैकेटों का दूध मिलाने पर कितने लीटर दूध होगा?,०.८०
61,५ कप हैं जिनमें से प्रत्येक का वज़न ०.३ किलो है। ५ कपों का वज़न मिलाकर कितना है?,१.५०
62,दूध के ७ पैकेटों में से प्रत्येक में ०.०८ लीटर दूध है। ऐसे ७ पैकेटों में कुल कितने लीटर दूध है?,०.५६
63,एक मोटरसाइकिल प्रति सेकंड ०.०२ कि.मी. जाती है। ८ सेकंड में कितने किलोमीटर जाती है?,०.१६
64,हम ०.६ लीटर दूध ३ विद्यार्थियों में बराबर बाँटना चाहते हैं। प्रत्येक विद्यार्थी को कितने लीटर दूध मिलेगा?,०.२०
65,५ विद्यार्थी ४.५ मीटर फीता आपस में बराबर बाँटना चाहते हैं। प्रत्येक को कितने मीटर फीता मिलेगा?,०.९०
66,"एक बर्तन में ०.६३ लीटर तेल है। वह तेल ७ कपों में बराबर डाला जाए, तो प्रत्येक कप में कितने लीटर तेल होगा?",०.०९
67,हम २ लीटर दूध ५ विद्यार्थियों में बराबर बाँटना चाहते हैं। प्रत्येक विद्यार्थी को कितने लीटर दूध मिलेगा?,०.४०
68,एक शिक्षक ने ७५ विद्यार्थियों में से प्रत्येक को ०.२४ मीटर फीता दिया। उन्होंने सभी विद्यार्थियों को कुल कितने मीटर फीता दिया?,१८
69,यदि एक टोकरी फलों का वज़न २.५६५ किलो हो तो ऐसी १२ टोकरियों के फलों का वज़न कितना है?,३०.७८
70,एक पैकेट में ०.३३४ लीटर दूध है। ऐसे ५० पैकेटों में कितने लीटर दूध है?,१६.७०
71,३५.२८ लीटर तेल ९ परिवारों में बराबर बाँटने पर प्रत्येक परिवार को कितने लीटर तेल मिलेगा?,३.९२
72,यदि १२ कपों का वज़न मिलाकर ६.६ किलो हो तो प्रत्येक का वज़न कितना है?,०.५५
73,एक इंच २.५४ से.मी. के बराबर है। ८.५ इंच कितने से.मी. के बराबर है?,२१.५९
74,एक गाड़ी एक घंटे में ४२.८ कि.मी. जाती है। १५.५ घंटे में गाड़ी कितने कि.मी. जाती है?,६६३.४०
75,एक गाड़ी २.५ घंटे में ११४.५ कि.मी. जाती है। गाड़ी एक घंटे में कितने कि.मी. जाती है?,४५.८०
76,सुखपुर गाँव की कुल जनसंख्या १२८० है। उनमें से ४०% लोग शिक्षित हैं। शिक्षित लोगों की संख्या ज्ञात कीजिए।,५१२
77,दस लाख रुपये के लिए कुल कितने दो सौ रुपये के नोटों की आवश्यकता है?,५०००
78,दस हज़ार रुपये के लिए कुल कितने पाँच सौ रुपये के नोटों की आवश्यकता है?,२०
79,५% लाभ की दर से १० वर्षों में १०००० रुपये पर कितने रुपये का लाभ मिलेगा?,५०००
80,नवीन के पास ५ रुपये थे। दुकान में उसने एक नए खेल पर २ रुपये खर्च किए। यदि उसे अपने भत्ते के ५ रुपये और मिलें तो उसके पास अब कितनी राशि है?,८
81,बबलू ४ मील प्रति घंटे की गति से ५ मील चला। बबलू कितने घंटे चलता रहा?,१.२५
82,"राजेश ने १ मीटर लंबी एक रेखा खींची। फिर उसे लगा कि यह कुछ लंबी है। इसलिए, उसने इसका ३३ सेंटीमीटर मिटा दिया। फलस्वरूप रेखा की लंबाई अब कितने से.मी. है?",६७ 
83,पार्क में ६ अखरोट के पेड़ हैं। पार्क के कर्मचारी आज ४ पेड़ हटाएँगे। कर्मचारियों का काम पूरा होने के बाद पार्क में कितने अखरोट के पेड़ रहेंगे?,२
84,स्पर्स बास्केटबॉल टीम में २२ खिलाड़ी हैं। प्रत्येक खिलाड़ी के पास ११ बास्केटबॉल हैं। उन सबके पास मिलाकर कितने बास्केटबॉल हैं?,२४२
85,जोआन इस साल १४ फुटबॉल मैच देखने गई। वह इस साल और पिछले साल कुल ३१ मैच देखने गई। जोआन पिछले साल कितने फुटबॉल मैच देखने गई थी?,१७
86,१२ कलम और ३० कॉपियों का मूल्य मिलाकर १९२ रुपये है। यदि एक कलम का मूल्य ६ रुपये हो तो एक कॉपी का मूल्य कितने रुपये है?,४
87,तीन संख्याओं का योग ५४५२ है। यदि दो संख्याएँ २५६३ और १२४५ हों तो तीसरी संख्या कितनी है?,१६४४
88,सीता की तुलना में रोहन के पास ३९० रुपये अधिक हैं। श्याम की तुलना में सीता के पास ४७० रुपये कम हैं। श्याम के पास ८९० रुपये हैं। सीता के पास कितने रुपये हैं?,४२०
89,सीता की तुलना में रोहन के पास ३९० रुपये अधिक हैं। श्याम की तुलना में सीता के पास ४७० रुपये कम हैं। श्याम के पास ८९० रुपये हैं। रोहन के पास कितने रुपये हैं?,८१०
90,एक पार्क में एक बरगद का पेड़ और एक चीड़ का पेड़ है। १५० वर्ष पहले दोनों पेड़ों की आयु का योग २९६१ वर्ष था। वर्तमान में चीड़ के पेड़ की आयु १४३२ वर्ष है। २०० वर्ष बाद चीड़ के पेड़ की आयु कितने वर्ष होगी?,१६३२
91,एक पार्क में एक बरगद का पेड़ और एक चीड़ का पेड़ है। १५० वर्ष पहले दोनों पेड़ों की आयु का योग २९६१ वर्ष था। वर्तमान में चीड़ के पेड़ की आयु १४३२ वर्ष है। वर्तमान में बरगद के पेड़ की आयु कितने वर्ष होगी?,१८२९
92,एक पार्क में एक बरगद का पेड़ और एक चीड़ का पेड़ है। १५० वर्ष पहले दोनों पेड़ों की आयु का योग २९६१ वर्ष था। वर्तमान में चीड़ के पेड़ की आयु १४३२ वर्ष है। २०० वर्ष बाद दोनों पेड़ों की आयु का योग कितना होगा?,३६६१
93,एक पार्क में एक बरगद का पेड़ और एक चीड़ का पेड़ है। १५० वर्ष पहले दोनों पेड़ों की आयु का योग २९६१ वर्ष था। वर्तमान में चीड़ के पेड़ की आयु १४३२ वर्ष है। वर्तमान में दोनों पेड़ों की आयु का योग कितने वर्ष होगा?,३२६१
94,एक पार्क में एक बरगद का पेड़ और एक चीड़ का पेड़ है। १५० वर्ष पहले दोनों पेड़ों की आयु का योग २९६१ वर्ष था। वर्तमान में चीड़ के पेड़ की आयु १४३२ वर्ष है। २०० वर्ष बाद बरगद के पेड़ की आयु कितने वर्ष होगी?,२०२९
95,माँ और पुत्र की आयु का योग ६० वर्ष है। माँ की आयु पुत्र की आयु की ३ गुनी है। तो माँ की आयु कितने वर्ष है?,४५
96,माँ और पुत्र की आयु का योग ६० वर्ष है। माँ की आयु पुत्र की आयु की ३ गुनी है। तो पुत्र की आयु कितने वर्ष है?,१५
97,रीना ने १५३ रुपये में ३ कॉपियाँ खरीदीं। तो १२ कॉपियाँ खरीदने के लिए उसे कितने रुपये लगेंगे?,६१२
98,२ गायों और ३ बकरियों का मूल्य मिलाकर ४५०८० रुपये है। एक बकरी का मूल्य ४५६० रुपये है। तो एक गाय का मूल्य कितने रुपये है?,१५७००
99,नकुल और धीरज का वेतन मिलाकर १९९५० रुपये है। नकुल की तुलना में धीरज २४५० रुपये अधिक पाता है। नकुल कितने रुपये वेतन पाता है?,८७५०
100,नकुल और धीरज का वेतन मिलाकर १९९५० रुपये है। नकुल की तुलना में धीरज २४५० रुपये अधिक पाता है। धीरज कितने रुपये वेतन पाता है?,११२००
101,राजदीप के पिता ने अपने अमरूद के बगीचे से १२५ अमरूद २ रुपये प्रति अमरूद के दाम पर सदर बाज़ार में बेचे। मिले हुए रुपयों से उन्होंने ५ रुपये दाम के २ पेन और २० रुपये दाम की २ कॉपियाँ खरीदीं। बाकी रुपये उन्होंने अपने दोनों भाई-बहनों को मिठाई खाने के लिए बराबर बाँट दिए। देखते हैं राजदीप को कितने रुपये मिले।,१००
102,"वह सबसे छोटी संख्या ढूँढ़ते हैं जो १८, २४, ४२ से विभाज्य है।",५०४
103,वह सबसे बड़ी संख्या ढूँढ़ते हैं जिससे ४५ और ६० को भाग देने पर कोई शेष नहीं बचेगा।,१५
104,"दो संख्याओं का ल.स. और म.स. क्रमशः २५२ और ६ है; दोनों संख्याओं का गुणनफल कितना है, हिसाब करते हैं।",१५१२
105,"दो संख्याओं का म.स. और ल.स. क्रमशः ८ और २८० है; यदि एक संख्या ५६ हो तो दूसरी संख्या कितनी है, हिसाब करते हैं।",४०
106,दो संख्याओं का म.स. १ और गुणनफल ३० है। छोटी संख्या लिखते हैं।,२
107,दो संख्याओं का म.स. १ और गुणनफल ३० है। बड़ी संख्या लिखते हैं।,१५
108,"४८ रसगुल्ले और ६४ लड्डू बिना कोई तोड़े अधिकतम कितने लोगों को बराबर संख्या में दिए जा सकेंगे, देखते हैं।",१६
109,"विकास और उसके दोस्तों ने मिलकर ८ या १० सदस्यों वाली नाटक की एक टीम बनाने की सोची। कम से कम कितने लोग होने पर वे दोनों प्रकार की टीमें बना सकेंगे, हिसाब करते हैं।",४०
110,"सरस्वती विद्या मंदिर स्कूल की छठी कक्षा के छात्र-छात्राओं को, स्कूल के बगीचे में लगाने के लिए पंचायत से फूलों के पौधे भेजे गए। हिसाब करने पर देखा गया कि पौधों को २०, २४ या ३० पंक्तियों में लगाने पर हर स्थिति में प्रत्येक पंक्ति में बराबर पौधे रहते हैं। पंचायत से कम से कम कितने पौधे भेजे गए थे, हिसाब करके देखते हैं।",१२०
111,"एक इंजन के अगले पहिये की परिधि १४ डेसीमीटर और पिछले पहिये की परिधि ३५ डेसीमीटर है। कम से कम कितना रास्ता चलने पर दोनों पहिये एक साथ पूर्ण संख्या में चक्कर पूरे करेंगे, हिसाब करते हैं।",७०
112,"मेरे पास एक बड़ी चॉकलेट है। मैंने उस चॉकलेट के बराबर ८ टुकड़े करके उसके ३ टुकड़े बहन को, २ टुकड़े भाई को दिए और बाकी टुकड़े खुद खा लिए। देखता हूँ मुझे चॉकलेट का कितना भाग मिला।",३/८
113,"मेरे पास एक बड़ी चॉकलेट है। मैंने उस चॉकलेट के बराबर ८ टुकड़े करके उसके ३ टुकड़े बहन को, २ टुकड़े भाई को दिए और बाकी टुकड़े खुद खा लिए। देखता हूँ बहन को चॉकलेट का कितना भाग मिला।",३/८
114,"मेरे पास एक बड़ी चॉकलेट है। मैंने उस चॉकलेट के बराबर ८ टुकड़े करके उसके ३ टुकड़े बहन को, २ टुकड़े भाई को दिए और बाकी टुकड़े खुद खा लिए। देखता हूँ भाई को चॉकलेट का कितना भाग मिला।",१/४
115,"१ से १० तक की पूर्ण संख्याओं में कुल पूर्ण संख्याओं का कितना भाग अभाज्य संख्याएँ हैं, ढूँढ़ते हैं।",२/५
116,"टोकरी में कुछ संतरे हैं। आधे संतरे दादाजी को देने के बाद टोकरी में २ संतरे बचे रहे। दादाजी को देने से पहले टोकरी में कितने संतरे थे, हिसाब करते हैं।",४
117,"स्कूल के गेट का ५/७ भाग रंगा जा चुका है। कितना भाग रंगना अभी बाकी है, हिसाब करते हैं।",२/७
118,"मेरे पास २० रुपये हैं। मैंने ५ रुपये खर्च किए। मैंने अपने रुपयों का कितना भाग खर्च किया, हिसाब करता हूँ।",१/४
119,"मेरे पास २० रुपये हैं। मैंने ५ रुपये खर्च किए। मेरे रुपयों का कितना भाग अभी भी मेरे पास है, हिसाब करता हूँ।",३/४
120,"रचना के पास ३६ फूल हैं। वह अपने कुल फूलों का २/३ भाग मुझे देगी। रचना मुझे कितने फूल देगी, हिसाब करता हूँ।",२४
121,"आज टिफिन के समय स्कूल की पूरी भरी पानी की टंकी का १/४ भाग पानी खर्च हुआ। छुट्टी के समय देखा गया कि १/३ भाग पानी और खर्च हुआ है। छुट्टी के बाद टंकी में कितना भाग पानी बचा है, देखते हैं।",५/१२
122,रतन बाबू ने अपनी २५ बीघा ज़मीन में से १६ बीघा ज़मीन पर जूट की खेती की है। लेकिन उषा देवी ने अपनी १५ बीघा ज़मीन में से ८ बीघा ज़मीन पर जूट की खेती की है। हिसाब करके देखते हैं कि रतन बाबू ने अपनी ज़मीन के कितने भाग पर जूट की खेती की है।,१६/२५
123,रतन बाबू ने अपनी २५ बीघा ज़मीन में से १६ बीघा ज़मीन पर जूट की खेती की है। लेकिन उषा देवी ने अपनी १५ बीघा ज़मीन में से ८ बीघा ज़मीन पर जूट की खेती की है। हिसाब करके देखते हैं कि उषा देवी ने अपनी ज़मीन के कितने भाग पर जूट की खेती की है।,८/१५
124,"मेरे पास १५ मीटर लंबा सफेद फीता है। मैंने १/३ भाग काट लिया। कितना लंबा सफेद फीता बचा रहा, निकालते हैं।",१०
125,"मेरे पास ५ रुपये थे। मैंने ३.५० रुपये का पेन खरीदा। कितने रुपये बचे हैं, देखता हूँ।",१.५०
126,देखते हैं २.७५ के साथ कितना जोड़ने पर ३ मिलेगा।,०.२५
127,मीरा ने १२.५ से.मी. लंबाई की रस्सी से ८.५ लंबाई की रस्सी काट ली। देखते हैं अब कितनी लंबाई की रस्सी बची है।,४
128,"घर में समारोह के लिए पिताजी २०० रुपये के चावल, १२५.५० रुपये की दाल और २४२.५० रुपये की सब्ज़ियाँ लाए। पिताजी ने कुल कितने रुपये खर्च किए, हिसाब करते हैं।",५६८
129,लंबी कूद प्रतियोगिता में साहिल ने १८२.८८ से.मी. की छलांग लगाई और मुन्ना ने १७९.२५ से.मी. की। साहिल ने कितनी अधिक छलांग लगाई?,३.६३
130,देखते हैं ५ में से कितना घटाने पर २.१७२ मिलेगा।,२.८२८
131,"देखें, ४.१५ में से २.६४७ के अंतर के साथ कितना जोड़ने पर १० मिलेगा।",८.४९७
132,"गोमती नदी के किनारे के एक हिस्से को बांधने में ४० मजदूरों को ३५ दिन लगते हैं। २८ दिनों के भीतर उस हिस्से को बांधने में कितने मजदूर लगेंगे, हिसाब करें।",५०
133,"राजीव, देवांगना, मासूम और तनीषा ६ दिनों में १५०टी सवाल हल कर सकते हैं। हिसाब करके देखें, यदि प्रत्येक व्यक्ति प्रतिदिन समान मात्रा में सवाल हल करे तो राजीव और तनीषा कितने दिनों में २५० सवाल हल कर पाएंगे।",२०
134,"२ लोग एक दिन में एक दरवाजे का १/३ हिस्सा पॉलिश कर सकते हैं। २ दिनों में दरवाजे का २/३ हिस्सा पॉलिश करना हो तो कितने लोग लगेंगे, हिसाब करें।",२
135,"५०० छात्रों के मिड-डे मील के लिए १ सप्ताह में १७५ किग्रा. चावल लगता है। ७५ किग्रा. चावल खर्च करने के बाद ४०० छात्रों का बचे हुए चावल से कितने दिन चलेगा, हिसाब करें।",५
136,"३६० बीघा जमीन २० दिनों में जोतने के लिए ४ ट्रैक्टर लगते हैं। १८०० बीघा जमीन १० दिनों में जोतनी हो तो कितने ट्रैक्टर लगेंगे, हिसाब करें।",४०
137,"एक मेले में १२ जेनरेटर प्रतिदिन ६ घंटे चलाने पर ७ दिनों में जमा तेल खर्च हो जाता है। प्रतिदिन ४ घंटे चलाने पर ९ दिनों में उस जमा तेल से कितने जेनरेटर चलाए जा सकेंगे, हिसाब करें।",१४
138,"१५ ठेले ४० मिनट में ७५ क्विंटल सब्जी ढो सकते हैं। २० ठेले १०० क्विंटल सब्जी ढोने में कितना समय लेंगे, हिसाब करें।",४०
139,"हॉस्टल में २० छात्रों के ३० दिनों के लिए १५० किग्रा. आटा जमा रखा है। लेकिन ३० किग्रा. आटा खराब हो गया है और ५ छात्र घर चले गए हैं। बचे हुए आटे से शेष छात्रों का कितने दिन चलेगा, हिसाब करें।",३२
140,"दो संख्याओं का योगफल ८२९४५१९५ है; एक संख्या ६९१००२७८ हो तो दूसरी संख्या कितनी है, हिसाब करें।",१३८४४९१७
141,"दो संख्याओं का अंतर २८३५१०३६ है; एक संख्या ३०५२९१७९ हो तो दूसरी संख्या कितनी है, हिसाब करें।",२१७८१४३
142,"बकुलपुर के एक कारखाने में पिछले साल ७५२१२०० रुपये की आय हुई थी। इस साल और ३२५०३२५ रुपये की आय हुई हो तो दो सालों में कुल कितने रुपये की आय हुई, हिसाब करें।",१०७७१५२५
