Q No.,Premise,Hypothesis,Answer
63,९००० जो उसने और डेव ने १ साल के अंत में कमाए,४००० से अधिक जो उसने और डेव ने १ साल के अंत में कमाए थे,Entailment
64,"फ्लाइट ३७० के विषय में एक जाँच शुरू की गई थी, मलेशिया और विमानन अधिकारी वीडियो और अन्य दस्तावेज़ों की समीक्षा करके न केवल यह कि किन यात्रियों ने चोरी हुए पासपोर्ट का उपयोग किया बल्कि यह भी पहचानने की कोशिश कर रहे हैं कि अवैध पासपोर्ट सुरक्षा जाँच से कैसे निकले।",लापता मलेशियन एयरलाइंस की फ्लाइट के दो यात्री चोरी हुए पासपोर्ट लेकर यात्रा कर रहे थे,neutral
65,"२००३ में, जेफरसन हाई स्कूल में पढ़ने वाली लड़कियों की संख्या लड़कों की संख्या के बराबर थी","६००३ में, जेफरसन हाई स्कूल में पढ़ने वाली लड़कियों की संख्या लड़कों की संख्या के बराबर थी",contradiction
66,मोहन ने ४० से अधिक किताबें खरीदीं,मोहन ने ५० रुपये में किताबें खरीदीं,neutral
67,"यह योजना लगभग ३,००० सैनिक भेज सकती है, प्रस्ताव से परिचित एक अन्य अमेरिकी सैन्य अधिकारी ने कहा।","योजना लगभग ३,००० सैनिक भेज सकती है, सूत्रों का कहना है",Entailment
68,"यदि जो अपने ६ साल के जुड़वाँ भाइयों के साथ जाए, और उनमें से प्रत्येक ने कुल ३ राइड लीं","यदि जो अपने १ साल से अधिक उम्र के जुड़वाँ भाइयों के साथ जाए, और उनमें से प्रत्येक ने कुल ३ राइड लीं",Entailment
69,"एन' साल के अंत में, सैंडी को मूल निवेश का ५ गुना वापस मिला","एन' साल के अंत में, सैंडी को मूल निवेश के ३ गुने से अधिक वापस मिला",Entailment
70,"हांगकांग (सीएनएन) -- चीन की पुलिस ने एक प्रतिबंधित धार्मिक समूह के लगभग १,००० संदिग्ध सदस्यों को गिरफ्तार किया है, सरकारी मीडिया ने बताया।",चीन में प्रतिबंधित एक धार्मिक समूह के लगभग एक हज़ार सदस्यों को गिरफ्तार किया गया है,Entailment
71,सैली के पास ९.० नारंगी गुब्बारे और ४.० नीले गुब्बारे हैं और उसे २.० नारंगी गुब्बारे और मिले हैं,सैली के पास अब १३.० नारंगी गुब्बारे हैं,contradiction
72,"पिनो ने कहा, चित्तीदार ईगल रे का वज़न लगभग ७५ से ८० पाउंड था और उसके पंख ६ फुट के थे।","चित्तीदार ईगल रे का वज़न ७५ से ८० पाउंड है, अधिकारी ने कहा",Entailment
73,"अभियुक्तों में एमएस-१३ के १५८ सदस्य और सहयोगी हैं, अन्य १०५ पर दूसरे गैंगों से जुड़े होने का आरोप है।","गैंग स्वीप ने कुख्यात एमएस-१३ गैंग के १५८ सदस्यों और सहयोगियों को गिरफ्तार किया है, अन्य लोगों के बीच",Entailment
74,"डेविड ने अंग्रेज़ी, गणित, भौतिकी, रसायन और जीव विज्ञान में ५६, ६५, ८२, ६७ और ८५ अंकों (१०० में से) से अधिक पाए। उसके औसत अंक कितने हैं?","डेविड ने अंग्रेज़ी, गणित, भौतिकी, रसायन और जीव विज्ञान में ७६, ६५, ८२, ६७ और ८५ अंक (१०० में से) पाए। उसके औसत अंक कितने हैं?",neutral
75,पॉल कोर्स का पहला चरण ८२ सेकंड से भी कम समय में चलाता है,पॉल कोर्स का पहला चरण २२ सेकंड में चलाता है,neutral
76,"श्रीनिवास सप्ताह के पहले दिन ४ से अधिक का एक सिक्का, सप्ताह के दूसरे दिन ५ के तीन सिक्के बचाते हैं। तीसरे दिन ५ के पाँच सिक्के इत्यादि","श्रीनिवास सप्ताह के पहले दिन ५ रुपये का एक सिक्का बचाते हैं, सप्ताह के दूसरे दिन ५ के तीन सिक्के। तीसरे दिन ५ के पाँच सिक्के इत्यादि",neutral
77,"हर सप्ताह, हैरी को पहले १८ घंटों के लिए प्रति घंटे x डॉलर और उस सप्ताह काम किए गए प्रत्येक अतिरिक्त घंटे के लिए १.५ x डॉलर दिए जाते हैं","हर सप्ताह, हैरी को पहले ६८ घंटों से कम समय के लिए प्रति घंटे x डॉलर और उस सप्ताह काम किए गए प्रत्येक अतिरिक्त घंटे के लिए १.५ x डॉलर दिए जाते हैं।",Entailment
78,"ओवरलैंड पार्क, कैनसस (सीएनएन) -- कैनसस के दो यहूदी-संबद्ध प्रतिष्ठानों में तीन लोगों की हत्या के आरोपी व्यक्ति ने अपने नस्लवादी विचार नहीं छिपाए, अखबारों में चिट्ठियाँ लिखीं और अपने घर में श्वेत-वर्चस्ववादी सभाओं में लोगों को आमंत्रित किया, ऐसा वे लोग कहते हैं जो उसे जानते थे।",क्रॉस पर दो यहूदी-संबद्ध प्रतिष्ठानों में तीन लोगों की हत्या का आरोप है,neutral
79,"विक्टर के पास १५ कप मैदा, १६ कप चीनी और ८ कप दूध है","मैदा, १६ कप चीनी और ८ कप दूध हो तो विक्टर के पास ६५ कप से कम है",Entailment
80,"२००० से कम, इसाबेला की पूँजी क्या है?","१०००, इसाबेला की पूँजी क्या है?",neutral
81,"अमेरिका की सबसे सुनसान सड़क, यूएस रूट ५०, नेवादा","यूएस रूट ५० के नेवादा वाले हिस्से को ""अमेरिका की सबसे सुनसान सड़क"" कहा गया है",Entailment
82,"लेकिन वेटेल मैदान में गरजते हुए छठा स्थान पाने में सफल रहे और खिताब के प्रतिद्वंद्वी फर्नांडो अलोंसो को तीन अंकों से वंचित कर दिया, स्पेनिश खिलाड़ी ने रेस दूसरे स्थान पर खत्म की।",फर्नांडो अलोंसो दूसरे स्थान पर हैं और तीन अंक गँवाए हैं,neutral
83,"फैज़ा के पास ५ से अधिक पर्स हैं, उसने उपहार के रूप में ३ पर्स दिए हैं","फैज़ा के पास ७ पर्स हैं, वह उपहार के रूप में ३ पर्स देती है",neutral
84,"यदि द्रविड़ टूल किराए पर लेने के लिए बिक्री कर छोड़कर कुल $ ८८ से कम दें, तो उन्होंने कितने घंटों के लिए किराया लिया?","यदि द्रविड़ टूल किराए पर लेने के लिए बिक्री कर छोड़कर कुल $ ३८ चुकाएँ, तो उन्होंने कितने घंटों के लिए किराया लिया?",neutral
85,आयशा के जन्म के समय उसके पिता की आयु ६० वर्ष से कम थी और उसकी माँ की आयु ३२ वर्ष थी जब उससे छह साल छोटे उसके भाई का जन्म हुआ,आयशा के जन्म के समय उसके पिता की आयु ४० वर्ष थी और उसकी माँ की आयु ३२ वर्ष थी जब उससे छह साल छोटे उसके भाई का जन्म हुआ,neutral
86,"सिटी ए से सिटी बी तक गाड़ी चलाते समय, कारा ३० मील प्रति घंटे की गति से गाड़ी चलाती है","सिटी ए से सिटी बी तक गाड़ी चलाते समय, कारा ३० मील प्रति घंटे से कम गति से गाड़ी चलाती है",contradiction
87,एंजेला का ग्रेड उसकी कक्षा के ८० ग्रेडों में ४०वें पर्सेंटाइल से अधिक था,एंजेला का ग्रेड उसकी कक्षा के ८० ग्रेडों में ९०वें पर्सेंटाइल पर था,neutral
88,किम एक काम १ दिन से अधिक में कर सकती है जबकि डेविड वही काम २ दिनों में कर सकता है,किम एक काम ३ दिनों में कर सकती है जबकि डेविड वही काम २ दिनों में कर सकता है,neutral
89,"श्रीलंका के एक गाँव के ४% से अधिक लोग बम धमाके में मारे गए, बाकी १५% डर से गाँव छोड़ गए","श्रीलंका के एक गाँव के ५% लोग बम धमाके में मारे गए, बाकी १५% डर से गाँव छोड़ गए",neutral
90,रॉबिन ने अपने फोन से ३५.० तस्वीरें और अपने कैमरे से ५.० तस्वीरें फेसबुक पर अपलोड कीं और उसने प्रत्येक एल्बम में बराबर तस्वीरों के साथ ५.० अलग-अलग एल्बमों में तस्वीरें सजाईं,प्रत्येक एल्बम में ८.० तस्वीरें थीं,Entailment
91,प्रीति मैच के दौरान एसी मिलान के इस मिडफील्डर ने रेफरी से तीन बार कहा कि उसके साथ दुर्व्यवहार हो रहा है।,जर्मन मूल के बोआटेंग ने रेफरी से तीन बार कहा कि उसके साथ दुर्व्यवहार हो रहा है,neutral
92,अमांडा खिलौनों की दुकान में ७ से कम गेंदें और ३ अलग-अलग बोर्ड गेम खरीदने जाती है,अमांडा खिलौनों की दुकान में १ गेंद और ३ अलग-अलग बोर्ड गेम खरीदने जाती है।,neutral
93,"आलोक ने १६ चपातियाँ, ५ प्लेट चावल, ७ प्लेट मिक्स सब्ज़ी और ६ आइसक्रीम कप ऑर्डर किए थे","आलोक ने ८६ से कम चपातियाँ, ५ प्लेट चावल, ७ प्लेट मिक्स्ड वेजिटेबल और ६ आइसक्रीम कप ऑर्डर किए थे",Entailment
94,५ साल बाद अरुण की आयु २५ वर्ष होगी,७ साल बाद अरुण की आयु २५ वर्ष होगी,contradiction
95,कमल २० दिनों में काम पूरा करेंगे,कमल २० दिनों से अधिक समय में काम पूरा करेंगे,contradiction
96,एक रेस्तराँ ने आज दोपहर के भोजन के समय ५.० केक और रात के खाने के समय ६.० केक परोसे और कल रेस्तराँ ने ३.० केक परोसे थे,कुल १६.० केक परोसे गए थे,contradiction
97,समीर और आनंद की वर्तमान आयु क्रमशः ६ : ४ से कम के अनुपात में है,समीर और आनंद की वर्तमान आयु क्रमशः ५ : ४ के अनुपात में है,neutral
98,हमने २१.० पिज़्ज़ा ऑर्डर किए और प्रत्येक पिज़्ज़ा में ८.० स्लाइस हैं,पिज़्ज़ा के १६४.० स्लाइस यहाँ हैं।,contradiction
99,विशेषताएँ: इज़राइल में १२ मध्यम से उच्च स्तर के होटल।,डैन होटल इज़राइल में १२ मध्यम से उच्च स्तर के होटल चलाता है,neutral
100,श्नाइडर समुदाय के गायक दल में पुरुषों और महिलाओं का अनुपात ७ से ३ से कम है,श्नाइडर समुदाय के गायक दल में पुरुषों का महिलाओं से अनुपात ४ से ३ है,neutral
101,"मार्टिन ने १० कॉन्सर्ट टिकट खरीदे, कुछ टिकट $२.०० प्रति टिकट के पूरे मूल्य पर, और कुछ $१.६० प्रति टिकट के छूट वाले मूल्य पर।","मार्टिन ने ३० कॉन्सर्ट टिकट खरीदे, कुछ $२.०० प्रति टिकट के पूरे मूल्य पर, और कुछ $१.६० प्रति टिकट के छूट वाले मूल्य पर।",contradiction
102,"आंद्रेया ने गेम खेला, १, २, ३, ४ और ५ में से प्रत्येक पर कम से कम एक स्कोर पाया और लगातार चरणों में कभी एक जैसा स्कोर नहीं पाया","आंद्रेया ने गेम खेला, १, २, ३, ४ और ५ से अधिक में से प्रत्येक पर कम से कम एक स्कोर पाया और लगातार चरणों में कभी एक जैसा स्कोर नहीं पाया",contradiction
