Q No.,Question,Answer
71,"৩৫.২৮ লিটার তেল ৯টি পরিবারের মধ্যে সমানভাবে ভাগ করে দিলে প্রত্যেক পরিবার কত লিটার
তেল পাবে ?",৩.৯২
72,১২টি কাপের ওজন একত্রে ৬.৬ কেজি হলে প্রত্যেকটির ওজন কত ?,০.৫৫
73,এক ইঞ্চি সমান ২.৫৪ সে.মি। ৮.৫ ইঞ্চি সমান কত সে.মি?,২১.৫৯
74,একটি গাড়ি এক ঘণ্টায় ৪২.৮ কি.মি. যায়। ১৫.৫ ঘণ্টায় গাড়িটি কত কি.মি. যায় ?,৬৬৩.৪০
75,একটি গাড়ি ২.৫ ঘণ্টায় ১১৪.৫ কি.মি. যায়। গাড়িটি এক ঘণ্টায় কত কি.মি. যায় ?,৪৫.৮০
76,সখিপুর গ্রামের মোট জনসংখ্যা ১২৮০ জন। তার মধ্যে ৪০% লোক শিক্ষিত। শিক্ষিত লোকের সংখ্যা নির্ণয় কর।,৫১২
77,দশ লাখ টাকার জন্য মোট কয়টা দুইশত টাকার নোট প্রয়োজন?,৫০০০
78,দশ হাজার টাকার জন্য মোট কয়টা পাঁচশত টাকার নোট প্রয়োজন?,২০
79,৫% মুনাফা হারে ১০ বছরে ১০০০০ টাকা থেকে কত টাকা লাভ পাওয়া যাবে?,৫০০০
80,নাদিমের কাছে ৫ টাকা ছিল। দোকানে তিনি একটি নতুন খেলায় ২ টাকা ব্যয় করেছিলেন। তিনি যদি তার ভাতার জন্য আরও ৫ টাকা পান তবে তার কাছে এখন কি পরিমাণ অর্থ রয়েছে?,৮
81,বাপ্পি ঘণ্টায় ৪ মাইল বেগে ৫ মাইল হাঁটছিলেন। বাপ্পি কত ঘন্টা ধরে হাঁটছিলেন?,১.২৫
82,"আব্দুল্লাহ ১ মিটার লম্বা একটি রেখা আঁকেন। তারপর তিনি বুঝতে পারলেন যে এটি কিছুটা দীর্ঘ। সুতরাং, তিনি এটির ৩৩ সেন্টিমিটার মুছে ফেলেছেন। ফলে রেখার দৈর্ঘ্য  এখন কত সে.মি.?",৬৭ 
83,পার্কে আখরোট গাছ আছে ৬টি। পার্কের কর্মীরা আজ ৪টি গাছ অপসারণ করবে। শ্রমিকদের কাজ শেষ করার পর পার্কে কতটি আখরোট গাছ থাকবে?,২
84,স্পার্স বাস্কেটবল দলে ২২ জন খেলোয়াড় রয়েছে। প্রতিটি খেলোয়াড়ের ১১টি বাস্কেটবল রয়েছে। তাদের সব মিলিয়ে কতটি বাস্কেটবল আছে?,২৪২
85,জোয়ান এই বছর ১৪টি ফুটবল খেলায় গিয়েছিলেন। তিনি এই বছর এবং গত বছর মোট ৩১টি গেমে গিয়েছিলেন। জোয়ান গত বছর কতটি ফুটবল খেলায় গিয়েছিলেন?,১৭
86,১২টি কলম এবং ৩০টি খাতার মূল্য একত্রে ১৯২ টাকা। একটি কলমের মূল্য ৬ টাকা হলে একটি খাতার মূল্য কত টাকা?,৪
87,তিনটি সংখ্যার যোগফল ৫৪৫২ । দুইটি সংখ্যা ২৫৬৩ ও  ১২৪৫ হলে অপর সংখাটি কত?,১৬৪৪
88,সীতা অপেক্ষা রায়হানের ৩৯০ টাকা বেশি আছে। শিমুল অপেক্ষা সীতার ৪৭০ টাকা কম আছে। শিমুলের কাছে ৮৯০ টাকা আছে। সীতার কাছে  কত টাকা আছে?,৪২০
89,সীতা অপেক্ষা রায়হানের ৩৯০ টাকা বেশি আছে। শিমুল অপেক্ষা সীতার ৪৭০ টাকা কম আছে। শিমুলের কাছে ৮৯০ টাকা আছে। রায়হানের কাছে কত টাকা আছে?,৮১০
90,একটি পার্কে একটি বট গাছ ও একটি পাইন গাছ আছে। ১৫০ বছর পূর্বে গাছ দুইটির বয়সের যোগফল ছিল ২৯৬১ বছর। বর্তমানে পাইন পাছটির বয়স ১৪৩২ বছর। ২০০ বছর পর পাইন গাছটির বয়স কত বছর হবে?,১৬৩২
91,একটি পার্কে একটি বট গাছ ও একটি পাইন গাছ আছে। ১৫০ বছর পূর্বে গাছ দুইটির বয়সের যোগফল ছিল ২৯৬১ বছর। বর্তমানে পাইন পাছটির বয়স ১৪৩২ বছর। বর্তমানে বট গাছটির বয়স কত বছর হবে?,১৮২৯
92,একটি পার্কে একটি বট গাছ ও একটি পাইন গাছ আছে। ১৫০ বছর পূর্বে গাছ দুইটির বয়সের যোগফল ছিল ২৯৬১ বছর। বর্তমানে পাইন পাছটির বয়স ১৪৩২ বছর। ২০০ বছর পর গাছ দুইটির বয়সের যোগফল কত হবে?,৩৬৬১
93,একটি পার্কে একটি বট গাছ ও একটি পাইন গাছ আছে। ১৫০ বছর পূর্বে গাছ দুইটির বয়সের যোগফল ছিল ২৯৬১ বছর। বর্তমানে পাইন পাছটির বয়স ১৪৩২ বছর। বর্তমানে গাছ দুইটির বয়সের যোগফল কত বছর হবে?,৩২৬১
94,একটি পার্কে একটি বট গাছ ও একটি পাইন গাছ আছে। ১৫০ বছর পূর্বে গাছ দুইটির বয়সের যোগফল ছিল ২৯৬১ বছর। বর্তমানে পাইন পাছটির বয়স ১৪৩২ বছর। ২০০ বছর পর বট গাছটির বয়স কত বছর হবে?,২০২৯
95,মা এবং পুত্রের বয়সের সমষ্টি ৬০ বছর। মায়ের বয়স পুত্রের বয়সের ৩ গুণ। তাহলে মায়ের বয়স কত বছর?,৪৫
96,মা এবং পুত্রের বয়সের সমষ্টি ৬০ বছর। মায়ের বয়স পুত্রের বয়সের ৩ গুণ। তাহলে পুত্রের বয়স কত বছর?,১৫
97,রাবেয়া ১৫৩ টাকা দিয়ে ৩টি খাতা কিনল।তাহলে ১২টি খাতা কিনতে তার কত টাকা লাগবে?,৬১২
98,২টি গরু এবং ৩টি ছাগলের মূল্য একত্রে ৪৫০৮০ টাকা। একটি ছাগলের মূল্য ৪৫৬০ টাকা। তাহলে একটি গরুর মূল্য কত টাকা?,১৫৭০০
99,নাজমুল এবং জহিরের বেতন একত্রে ১৯৯৫০ টাকা । নাজমুল অপেক্ষা জহির ২৪৫০ টাকা বেশি পায়। নাজমুল কত টাকা বেতন পায়?,৮৭৫০
100,নাজমুল এবং জহিরের বেতন একত্রে ১৯৯৫০ টাকা । নাজমুল অপেক্ষা জহির ২৪৫০ টাকা বেশি পায়। জহির কত টাকা বেতন পায়?,১১২০০
101,রাজদীপের বাবা তাদের পেয়ারা বাগান থেকে ১২৫টি পেয়ারা প্রতিটি ২ টাকা দামে বারুইপুর বাজারে বিক্রি করলেন। তিনি যে টাকা পেলেন তা দিয়ে প্রতিটি ৫ টাকা দামের ২টি পেন ও প্রতিটি ২০ টাকা দামের ২টি খাতা কিনলেন। বাকি টাকা তাদের দুই ভাই-বোনকে মিষ্টি খাওয়ার জন্য সমান ভাগে ভাগ করে দিলেন। রাজদীপ কত টাকা পেল দেখি।,১০০
102,"সব চেয়ে ছোট সংখ্যা খুঁজি যা ১৮, ২৪, ৪২ দিয়ে বিভাজ্য। ",৫০৪
103,সব চেয়ে বড় সংখ্যা খুঁজি যা দিয়ে ৪৫ ও ৬০ কে ভাগ করলে কোনো ভাগশেষ থাকবে না।,১৫
104,দুটি সংখ্যার ল.সা.গু ও গ.সা.গু যথাক্রমে ২৫২ ও ৬; সংখ্যা দুটির গুণফল কত তা হিসাব করি।,১৫১২
105,দুটি সংখ্যার গ.সা.গু ও ল.সা.গু যথাক্রমে ৮ ও ২৮০; একটি সংখ্যা ৫৬ হলে অপর সংখ্যাটি কত হিসাব করি। ,৪০
106,দুটি সংখ্যার গ.সা.গু ১ এবং গুনফল ৩০। ছোট সংখ্যাটি লিখি।,২
107,দুটি সংখ্যার গ.সা.গু ১ এবং গুনফল ৩০। বড় সংখ্যাটি লিখি।,১৫
108,৪৮ টি রসগোল্লা ও ৬৪টি সন্দেশ কোনোটি না ভেঙে সবচেয়ে বোশি কতজনকে সমান সংখ্যায় দেওয়া যাবে দেখি।,১৬
109,বিভাস ও তার বন্ধুরা মিলে ৮ জন অথবা ১০ জন করে সদস্য নিয়ে নাটকের একটি দল তৈরির কথা ভাবল। কমপক্ষে কতজন থাকলে উভয়প্রকার দল তৈরি করতে পারবে হিসাব করি। ,৪০
110,"যদুনাথ বিদ্যামন্দির স্কুলের ষষ্ঠ শ্রেণির ছাত্রছাত্রীদের, স্কুলের বাগানে লাগানোর জন্য পঞ্চায়েত থেকে ফুলগাছের চারা পাঠিয়েছে। হিসাব করে দেখা গেল চারাগুলিকে ২০টি, ২৪টি বা ৩০ টি সারিতে লাগালে প্রতিক্ষেত্রে প্রতিসারিতে সমান চারা থাকে। পঞ্চায়েত থেকে কমপক্ষে কতগুলি চারা পাঠিয়েছিল হিসাব করে দেখি।",১২০
111,একটি ইঞ্জিনের সামনের চাকার পরিধি ১৪ ডেসিমি. এবং পিছনের চাকার পরিধি ৩৫ ডেসিমি.। কমপক্ষে কত পথ গেলে চাকা দুটি একই সঙ্গে পূর্ণসংখ্যক বার ঘোরা সম্পূর্ণ ঘুরবে হিসাব করি। ,৭০
112,"আমার কাছে একটি বড়ো চকোলেট আছে। আমি সেই চকোলেটকে সমান ৮টি টুকরো করে তার ৩টি টুকরো বোনকে, ২টি টুকরো ভাইকে দিলাম ও বাকি টুকরোগুলি নিজে খেলাম। আমি চকোলেটের কত অংশ পেলাম দেখি। ",৩/৮
113,"আমার কাছে একটি বড়ো চকোলেট আছে। আমি সেই চকোলেটকে সমান ৮টি টুকরো করে তার ৩টি টুকরো বোনকে, ২টি টুকরো ভাইকে দিলাম ও বাকি টুকরোগুলি নিজে খেলাম। বোন চকোলেটের কত অংশ পেলাম দেখি। ",৩/৮
114,"আমার কাছে একটি বড়ো চকোলেট আছে। আমি সেই চকোলেটকে সমান ৮টি টুকরো করে তার ৩টি টুকরো বোনকে, ২টি টুকরো ভাইকে দিলাম ও বাকি টুকরোগুলি নিজে খেলাম। ভাই চকোলেটের কত অংশ পেলাম দেখি। ",১/৪
115,১ থেকে ১০ পর্যন্ত পূর্ণসংখ্যাগুলির মধ্যে মোট পূর্ণ সংখ্যার কত অংশ মৌলিক সংখ্যা আছে খুঁজি।,২/৫
116,ঝুড়িতে কিছু কমলালেবু আছে। অর্ধেক লেবু দাদুকে দেওয়ার পরে ঝুড়িতে ২টি লেবু পড়ে রইল। দাদুকে দেওয়ার আগে ঝুড়িতে কটি লেবু ছিল হিসাব করি। ,৪
117, স্কুলের গেটে ৫/৭ অংশ রং করা হয়ে গেছে। কত অংশ রং করতে এখনো বাকি আছে হিসাব করি।,২/৭
118, আমার কাছে ২০ টাকা আছে। আমি ৫ টাকা খরচ করলাম। আমি আমার টাকার কত অংশ খরচ করলাম হিসাব করি।,১/৪
119, আমার কাছে ২০ টাকা আছে। আমি ৫ টাকা খরচ করলাম। আমার টাকার কত অংশ এখনও আমার কাছে আছে হিসাব করি।,৩/৪
120,রাজিয়ার কাছে ৩৬টি ফুল আছে। সে তার মোট ২/৩ ফুলের অংশ আমাকে দেবে। রাজিয়া কতগুলি ফুল আমাকে দেবে হিসাব করি। ,২৪
121,আজ টিফিনের সময়ে স্কুলের সম্পূর্ণ ভরতি জলের ট্যাঙ্কের ১/৪ অংশ জল খরচ হয়েছে। ছুটির সময়ে দেখা গেল আরও ১/৩ অংশ জল খরচ হয়েছে। ছুটির পরে ট্যাঙ্কের কত অংশ জল পড়ে আছে দেখি।,৫/১২
122,রতনবাবু তাঁর ২৫বিঘা জমির মধ্যে ১৬ বিঘা জমিতে পাট চাষ করেছেন। কিন্তু উষাদেবী তাঁর ১৫ বিঘা জমির মধ্যে ৮ বিঘা জমিতে পাট চাষ করেছেন। হিসাব করে দেখি রতনবাবু তার জমির কত অংশে পাট চাষ করেছেন।,১৬/২৫
123,রতনবাবু তাঁর ২৫বিঘা জমির মধ্যে ১৬ বিঘা জমিতে পাট চাষ করেছেন। কিন্তু উষাদেবী তাঁর ১৫ বিঘা জমির মধ্যে ৮ বিঘা জমিতে পাট চাষ করেছেন। হিসাব করে দেখি উষাদেবী তার জমির কত অংশে পাট চাষ করেছেন।,৮/১৫
124,আমার ১৫ মিটার লম্বা সাদা ফিতা আছে। আমি ১/৩ অংশ কেটে নিলাম। কত লম্বা সাদা ফিতে পড়ে রইল বের করি।,১০
125,আমার কাছে ৫ টাকা ছিল। আমি ৩.৫০ টাকার পেন কিনেছি। কত টাকা পড়ে আছে দেখি।,১.৫০
126,২.৭৫ এর সাথে কত যোগ করলে ৩ পাব দেখি।,০.২৫
127,মীরা ১২.৫ সে.মি.. দৈর্ঘ্যের দড়ি থেকে ৮.৫ দৈর্ঘ্যের দড়ি কেটে নিল। এখন কত দৈর্ঘ্যের দড়ি পড়ে আছে দেখি।,৪
128,"বাড়িতে অনুষ্ঠানের জন্য বাবা ২০০ টাকার চাল, ১২৫.৫০ টাকার ডাল ও ২৪২.৫০ টাকার সবজি এনেছেন বাবা মোট কত টাকা খরচ করেছেন হিসাব করি।",৫৬৮
129,লংজাম্প প্রতিযোগিতায় শাহিল ১৮২.৮৮ সে.মি.. লাফিয়েছে আর মুন্না লাফিয়েছে ১৭৯.২৫ সে.মি..। শাহিল কত বেশি লাফিয়েছে।,৩.৬৩
130,৫ থেকে কত বিয়োগ করলে ২.১৭২ পাব দেখি।,২.৮২৮
131,৪.১৫ থেকে ২.৬৪৭ বিয়োগফলের সঙ্গে কত যোগ করলে ১০ পাব দেখি।,৮.৪৯৭
132,ইছামতী নদীর পাড়ের একটি অংশ বাঁধাই করতে ৪০ জন শ্রমিকের ৩৫ দিন সময় লাগে। ২৮ দিনের মধ্যে ওই অংশ বাঁধাতে কতজন শ্রমিক লাগবে হিসাব করি।,৫০
