Q No.,Question,Answer,Domain,Sub-Domain
14,জানুয়ারী মাসে জিসানের জন্মদিন হওয়ার সম্ভাবনা কত?,১/১২,Math,Probability
15,এপ্রিল মাসের ৩১ তারিখ  জিসানের জন্মদিন হওয়ার সম্ভাবনা কত?,০,Math,Probability
16,"যদি জিসানের জন্মদিন জানুয়ারী মাসে হয়, তবে জানুয়ারী মাসের ৩১ তারিখ  জিসানের জন্মদিন হওয়ার সম্ভাবনা কত?",১/৩১,Math,Probability
17,যদি আবির গড়ে ১০০ মি/সেকেন্ড গতিতে ১০০০ মিটার প্রতিযোগিতায় অংশ নেয় এবং প্রতিযোগিতায় জিতার জন্য ২০ সেকেন্ডের আগে প্রতিযোগিতা শেষ করতে হয় তবে আবিরের জিতার সম্ভাবনা কত?,১,Math,Probability
18,যদি আবির গড়ে ৫০ মি/সেকেন্ড গতিতে ১০০০ মিটার প্রতিযোগিতায় অংশ নেয় এবং প্রতিযোগিতায় জিতার জন্য ১০ সেকেন্ডের আগে প্রতিযোগিতা শেষ করতে হয় তবে আবিরের জিতার সম্ভাবনা কত?,০,Math,Probability
19,৩০ ডিগ্রি সেলসিয়াস তাপমাত্রা সমান কত ডিগ্রি ফারেনহাইট?,৮৬,Physics,Physics
20,-৮০.৬৫ ডিগ্রি সেলসিয়াস তাপমাত্রা সমান কত ডিগ্রি ফারেনহাইট?,-১১৩.১৭,Physics,Physics
21,৫০ ডিগ্রি ফারেনহাইট তাপমাত্রা সমান কত ডিগ্রি সেলসিয়াস ?,১০,Physics,Physics
22,৩০০ কেলভিন তাপমাত্রা সমান কত ডিগ্রি ফারেনহাইট?,৮০.৩৩,Physics,Physics
23,৩৩০.৭৬ কেলভিন তাপমাত্রা সমান কত ডিগ্রি সেলসিয়াস ?,৫৭.৬১,Physics,Physics
24,একটি ত্রিভুজের ভুমির দৈর্ঘ্য ১০ মিটার এবং উচ্চতা ২০০ মিটার। ত্রিভুজের ক্ষেত্রফল কত?,১০০০,Math,Solid Geometry
25,একটি আয়তক্ষেত্রের দৈর্ঘ্য ১১.৫ মিটার এবং প্রস্থ ২২ মিটার। আয়তক্ষেত্রের ক্ষেত্রফল কত?,২৫৩,Math,Solid Geometry
26,একটি বর্গক্ষেত্রের দৈর্ঘ্য ১১.৫ মিটার। বর্গক্ষেত্রের ক্ষেত্রফল কত? ,১৩২.২৫,Math,Solid Geometry
27,একটি বর্গক্ষেত্রের দৈর্ঘ্য ১১.৫ মিটার। বর্গক্ষেত্রের কর্ণের দৈর্ঘ্য কত? ,১৬.২৬,Math,Solid Geometry
28,"একটি ট্রেন স্থির অবস্থা হতে চলতে শুরু করে ৬০০ মি দুরুত্ত অতিক্রম করলে ট্রেনের বেগ ১২০ মি/সে হয়, ত্বরণ বের কর।",১২,Physics,Physics
29,৯.৮ মি/সে বেগে একটি পাথরকে উপরের দিকে নিক্ষেপ করা হল। এটি কত সময় পরে ভুমিতে ফিরে আসবে?,২,Physics,Physics
30,২০০০ মিটার উচ্চতার একটি টাওয়ার থেকে একটি পাথরকে নিচের দিকে ফেলে দেয়া হল। এটি কত সময় পরে ভুমিতে পতিত হবে (অভিকর্ষজ ত্বরণ g = ১০)?,২০,Physics,Physics
31,একটি বস্তুর ভর ১০ কেজি এবং আয়তন ১০০ ঘন মিটার। বস্তুটির ঘনত্ব কত?,০.১০ ,Physics,Physics
32,একটি সমকোণী ত্রিভুজের ভুমি ১২ লম্ব ৫ হলে অতিভুজ কত?,১৩,Math,Solid Geometry
33,কোন সেটের সদস্য সংখ্যা ৫ হলে এর প্রকৃত উপসেট সংখ্যা কত?,৩১,Math,Set Function
34,কোন সেটের সদস্য সংখ্যা ৩ হলে এর প্রকৃত উপসেট সংখ্যা কত?,৭,Math,Set Function
35,কোন সেটের সদস্য সংখ্যা ৬ হলে এর উপসেট সংখ্যা কত?,৬৪,Math,Set Function
36,কোন সেটের সদস্য সংখ্যা ৫ হলে এর উপসেট সংখ্যা কত?,৩২,Math,Set Function
37,"A = {১,২,৩,৪} হলে এর প্রকৃত উপসেট সংখ্যা কত?",১৫,Math,Set Function
38,"A = {-১,১৩,২০,৫৬,৮৯} হলে এর প্রকৃত উপসেট সংখ্যা কত?",৩১,Math,Set Function
39,"A = {-১,২০,১৩৭,৬৫৬,৯৮৯} হলে এর উপসেট সংখ্যা কত?",৩২,Math,Set Function
40,"A = {-১২৩৫,-২৯০,১৩৪৭,১৫৬৭,৮৯২২,২০৩৩৪} হলে এর উপসেট সংখ্যা কত?",৬৪,Math,Set Function
41,"A = {১,২,৩,৪,৫} সেটের শক্তি সেটের উপাদান সংখ্যা কত?",৩২,Math,Set Function
42,"A = {১,৪,৬,৮} হলে, A x A নির্ণয় করলে কয়টি ক্রমজোড় পাওয়া যাবে?",১৬,Math,Set Function
43,"A = {৩,৪,৫,৮} সেটের শক্তি সেটের উপাদান সংখ্যা কত?",১৬,Math,Set Function
44,"A = {১,২,৩} হলে, A x A নির্ণয় করলে কয়টি ক্রমজোড় পাওয়া যাবে?",৯,Math,Set Function
45,"কিছু সংখ্যক ছাত্র-ছাত্রীর মধ্যে ৬০ জন ক্রিকেট, ৪০ জন ফুটবল, ২৫ জন দুইটি খেলা পছন্দ করে। কমপক্ষে একটি খেলা কতজন পছন্দ করে?",৭৫,Math,Set Function
46,৬০ জন ছাত্রের ৪০জন বাংলা ও ৩০ জন ইংরেজিতে পাশ করেছে। উভয় বিষয়ে ২০ জন পাশ করেছে। তাহলে শুধু বাংলায় কতজন পাশ করেছে? ,২০,Math,Set Function
47,৬০ জন ছাত্রের ৪০জন বাংলা ও ৩০ জন ইংরেজিতে পাশ করেছে। উভয় বিষয়ে ২০ জন পাশ করেছে। তাহলে অন্তত একটি বিষয়ে কতজন পাশ করেছে? ,৫০,Math,Set Function
48,৬০ জন ছাত্রের ৪০জন বাংলা ও ৩০ জন ইংরেজিতে পাশ করেছে। উভয় বিষয়ে ২০ জন পাশ করেছে। তাহলে উভয় বিষয়ে কতজন ফেল করেছে? ,১০,Math,Set Function
49,"একটি চাকার ব্যাস ১৪ সে.মি. হলে, এর পরিধির আসন্ন মান কত সে.মি.?",৪৩.৯৮,Math,Trigonometry
50,"একটি চাকার ব্যাস ৩.১৪১৬ মিটার হলে,  চাকাটির পরিধি কত মিটার?",৯.৮৭,Math,Trigonometry
51,পৃথিবীর ব্যাসার্ধ ৬৪৪০ কি.মি.। ঢাকা ও চট্টগ্রাম পৃথিবীর কেন্দ্রে ৩ ডিগ্রি কোণ উৎপন্ন করে। ঢাকা ও চট্টগ্রামের দূরত্ব কত কি.মি.?,৩৩৭.২০,Math,Trigonometry
52,পৃথিবীর ব্যাসার্ধ ৬৪৪০ কি.মি.। দিনাজপুর ও রংপুর পৃথিবীর কেন্দ্রে ৬ ডিগ্রি কোণ উৎপন্ন করে। দিনাজপুর ও রংপুরের দূরত্ব কত কি.মি.?,৬৭৪.৩৯,Math,Trigonometry
53,"দুইটি চাকার পরিধির পার্থক্য ৯০ সে.মি. হলে, তাদের ব্যাসার্ধের পার্থক্য কত সে.মি. ?",১৪.৩২,Math,Trigonometry
54,"দুইটি চাকার পরিধির পার্থক্য ৪০ সে.মি. হলে, তাদের ব্যাসের পার্থক্য কত সে.মি. ?",১২.৭৩,Math,Trigonometry
55,"দুইটি চাকার পরিধির পার্থক্য ১২০ সে.মি. হলে, তাদের ব্যাসার্ধের পার্থক্য কত সে.মি. ?",১৯.০৯,Math,Trigonometry
56,"দুইটি চাকার পরিধির পার্থক্য ৭০ সে.মি. হলে, তাদের ব্যাসের পার্থক্য কত সে.মি. ?",২২.২৮,Math,Trigonometry
57,"দুইটি চাকার পরিধির পার্থক্য ১২০ সে.মি. হলে, তাদের ব্যাসের পার্থক্য কত সে.মি. ?",৩৮.১৯,Math,Trigonometry
58,"দুইটি চাকার পরিধির পার্থক্য ৭০ সে.মি. হলে, তাদের ব্যাসার্ধের পার্থক্য কত সে.মি. ?",১১.১৪,Math,Trigonometry
59,"একটি চাকা ১.৭৫ কি.মি. পথ যেতে ৪০ বার ঘুরে, চাকাটির ব্যাসার্ধ কত মিটার?",৬.৯৬,Math,Trigonometry
60,"একটি চাকা ১.৭৫ কি.মি. পথ যেতে ৩০ বার ঘুরে, চাকাটির ব্যাসার্ধ কত মিটার?",৯.২৮,Math,Trigonometry
61,"একটি চাকা ৪ কি.মি. পথ যেতে ৭০ বার ঘুরে, চাকাটির ব্যাস কত মিটার?",১৮.১৮,Math,Trigonometry
62,"একটি চাকা ৩.২৫ কি.মি. পথ যেতে ২৫ বার ঘুরে, চাকাটির ব্যাস কত মিটার?",৪১.৩৮,Math,Trigonometry
63,"একটি চাকা ১২০ সে.মি. পথ যেতে ১২ বার ঘুরে, চাকাটির ব্যাস কত সে.মি.? ",৩.১৮,Math,Trigonometry
64,একটি চাকা বৃত্তাকার পথে ২৫০ মিটার পথ যেতে ৩৫ বার ঘুরে। চাকার ব্যাসার্ধ কত মিটার?,১.১৩,Math,Trigonometry
65,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ১৪৪ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের পরিসীমা কত মিটার?,৪২.৫৩,Math,Trigonometry
66,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ২৫ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের পরিসীমা কত মিটার?,১৭.৭২,Math,Trigonometry
67,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ১৪৪ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের ব্যাসার্ধ কত মিটার?,৬.৭৭,Math,Trigonometry
68,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ২৫ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের ব্যাসার্ধ কত মিটার?,২.৮২,Math,Trigonometry
69,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ১৪৪ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের ব্যাস কত মিটার?,১৩.৫৪,Math,Trigonometry
70,একটি গরুকে রশি দিয়ে এমনভাবে বাঁধা হল যেন গরুটি ২৫ বর্গ মি বৃত্তাকার মাঠের ঘাস খেতে পারে। মাঠের ব্যাস কত মিটার?,৫.৬৪,Math,Trigonometry
71,৫ সে.মি. ব্যাসার্ধের একটি বৃত্তের পরিধি ও ব্যাসের অনুপাত কত?,৩.১৪:১,Math,Trigonometry
72,১৫ মি ব্যাসার্ধের একটি বৃত্তের পরিধি ও ব্যাসের অনুপাত কত?,৩.১৪:১,Math,Trigonometry
73,৫ সে.মি. ব্যাসার্ধের একটি বৃত্তের পরিধি ও ব্যাসার্ধের অনুপাত কত?,৬.২৮:১,Math,Trigonometry
74,২০ মি ব্যাসার্ধের একটি বৃত্তের পরিধি ও ব্যাসার্ধের অনুপাত কত?,৬.২৮:১,Math,Trigonometry
75,একটি বৃত্তের ব্যাসার্ধ ৫ সে.মি.। বৃত্তে ১৩ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত রেডিয়ান?,২.৬০,Math,Trigonometry
76,একটি বৃত্তের ব্যাসার্ধ ১৫ সে.মি.। বৃত্তে ৩ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত রেডিয়ান?,০.২০,Math,Trigonometry
77,একটি বৃত্তের ব্যাস ৫ সে.মি.। বৃত্তে ১৩ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত রেডিয়ান?,৫.২০,Math,Trigonometry
78,একটি বৃত্তের ব্যাস ৫ সে.মি.। বৃত্তে ১৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত রেডিয়ান?,৬,Math,Trigonometry
79,২ সে.মি. ব্যাসার্ধ বিশিষ্ট বৃত্তের ২ সে.মি. দৈর্ঘ্যের একটি চাপ কেন্দ্রে কত রেডিয়ান কোণ ধারণ করে?,১,Math,Trigonometry
80,২ সে.মি. ব্যাসার্ধ বিশিষ্ট বৃত্তের ৮ সে.মি. দৈর্ঘ্যের একটি চাপ কেন্দ্রে কত রেডিয়ান কোণ ধারণ করে?,৪,Math,Trigonometry
81,২ সে.মি. ব্যাস বিশিষ্ট বৃত্তের ২ সে.মি. দৈর্ঘ্যের একটি চাপ কেন্দ্রে কত রেডিয়ান কোণ ধারণ করে?,২,Math,Trigonometry
82,২ সে.মি. ব্যাস বিশিষ্ট বৃত্তের ৮ সে.মি. দৈর্ঘ্যের একটি চাপ কেন্দ্রে কত রেডিয়ান কোণ ধারণ করে?,৮,Math,Trigonometry
83,"২ সে.মি. ব্যাসার্ধ বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ৯০ ডিগ্রি কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",৩.১৪,Math,Trigonometry
84,"২ সে.মি. ব্যাস বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ৯০ ডিগ্রি কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",১.৫৭,Math,Trigonometry
85,"২ সে.মি. ব্যাসার্ধ বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ১৮০ ডিগ্রি কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",৬.২৮,Math,Trigonometry
86,"২ সে.মি. ব্যাস বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ১৮০ ডিগ্রি কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",৩.১৪,Math,Trigonometry
87,"৩ সে.মি. ব্যাস বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ২ রেডিয়ান কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",৩,Math,Trigonometry
88,"৫ সে.মি. ব্যাস বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ৩ রেডিয়ান কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",৭.৫০,Math,Trigonometry
89,"৩ মি ব্যাসার্ধ বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ২ রেডিয়ান কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",৬০০,Math,Trigonometry
90,"৫ মিটার ব্যাসার্ধ বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ৩ রেডিয়ান কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত মিটার (প্রায়)?",১৫,Math,Trigonometry
91,"৫ সে.মি. ব্যাসার্ধ বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ৬০ ডিগ্রি কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",৫.২৩,Math,Trigonometry
92,"৫ সে.মি. ব্যাস বিশিষ্ট বৃত্তের একটি চাপ কেন্দ্রে ৬০ ডিগ্রি কোণ ধারণ করে, চাপটির দৈর্ঘ্য কত সে.মি. (প্রায়)?",২.৬০,Math,Trigonometry
93,কোনো বৃত্তের ব্যাসার্ধ ৭ সে.মি.। বৃত্তের ১৪ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত ডিগ্রি?,১১৪.৫৯,Math,Trigonometry
94,কোনো বৃত্তের ব্যাসার্ধ ১০ সে.মি.। বৃত্তের ৩৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত ডিগ্রি?,২০০.৫৩,Math,Trigonometry
95,কোনো বৃত্তের ব্যাস ২০ সে.মি.। বৃত্তের ৫০ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত ডিগ্রি?,২৮৬.৪৭,Math,Trigonometry
96,কোনো বৃত্তের ব্যাস ৭০.৫ সে.মি.। বৃত্তের ১১০.২৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের পরিমাণ কত ডিগ্রি?,১৭৯.২০,Math,Trigonometry
97,কোনো বৃত্তের ব্যাসার্ধ ৯ সে.মি.। বৃত্তের ১৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের বৃত্তীয় পরিমাপ কত?,১.৬৭,Math,Trigonometry
98,কোনো বৃত্তের ব্যাস ৯ সে.মি.। বৃত্তের ১৫ সে.মি. দীর্ঘ চাপের কেন্দ্রস্থ কোণের বৃত্তীয় পরিমাপ কত?,৩.৩৩,Math,Trigonometry
99,পৃথিবীর ব্যাসার্ধ ৬৪৪০ কি.মি.। ঢাকা ও চট্টগ্রাম পৃথিবীর কেন্দ্রে ৫ ডিগ্রি কোণ উৎপন্ন করে। ঢাকা ও চট্টগ্রামের দূরত্ব কত কি.মি.?,৫৬১.৯৯,Math,Trigonometry
100,পৃথিবীর ব্যাস ১২৮০০ কি.মি.। ঢাকা ও চট্টগ্রাম পৃথিবীর কেন্দ্রে ৪ ডিগ্রি কোণ উৎপন্ন করে। ঢাকা ও চট্টগ্রামের দূরত্ব কত কি.মি.?,৪৪৬.৮০,Math,Trigonometry
101,৪৫০ কিলোমিটার দূরে একটি বিন্দুতে কোনো পাহাড় ৭ ডিগ্রি কোণ উৎপন্ন করে। পাহাড়টির উচ্চতা কত মিটার?,৫৪৯৭৭.৮৭,Math,Trigonometry
102,৫০০ কিলোমিটার দূরে একটি বিন্দুতে কোনো পাহাড় ৫ ডিগ্রি কোণ উৎপন্ন করে। পাহাড়টির উচ্চতা কত মিটার?,৪৩৬৩৩.২৩,Math,Trigonometry
103,২০০ কিলোমিটার দূরে একটি বিন্দুতে কোনো পাহাড় ২ রেডিয়ান কোণ উৎপন্ন করে। পাহাড়টি কত  কিলোমিটার উঁচু?,৪০০,Math,Trigonometry
104,১৫০ কিলোমিটার দূরে একটি বিন্দুতে কোনো পাহাড় ২.৫০ রেডিয়ান কোণ উৎপন্ন করে। পাহাড়টি কত  কিলোমিটার উঁচু?,৩৭৫,Math,Trigonometry
105,দুইটি কোণের সমষ্টি ৬০ ডিগ্রি এবং অন্তর ৩০ ডিগ্রি। বৃহত্তম কোণটি কত ডিগ্রি?,৪৫,Math,Trigonometry
106,দুইটি কোণের সমষ্টি ৬০ ডিগ্রি এবং অন্তর ৩০ ডিগ্রি। ক্ষুদ্রতম কোণটি কত ডিগ্রি?,১৫,Math,Trigonometry
107,একটি ত্রিভুজের কোণগুলো সমান্তর ধারাভুক্ত। ক্ষুদ্রতম কোণটি বৃহত্তম কোণের অর্ধেক । বৃহত্তম কোণের মান কত ডিগ্রি?,৮০,Math,Trigonometry
108,একটি ত্রিভুজের কোণগুলো সমান্তর ধারাভুক্ত। ক্ষুদ্রতম কোণটি বৃহত্তম কোণের অর্ধেক । ক্ষুদ্রতম কোণের মান কত ডিগ্রি?,৪০,Math,Trigonometry
109,৬০ ডিগ্রিকে রেডিয়ানে প্রকাশ করলে কত হবে?,১.০৪,Math,Trigonometry
110,১৮০ ডিগ্রিকে রেডিয়ানে প্রকাশ করলে কত হবে?,৩.১৪,Math,Trigonometry
111,২ রেডিয়ানকে ডিগ্রিতে প্রকাশ করলে কত হবে?,১১৪.৫৯,Math,Trigonometry
112,১ রেডিয়ানকে ডিগ্রিতে প্রকাশ করলে কত হবে?,৫৭.২৯,Math,Trigonometry
113,৫০ ডিগ্রি কোণের পুরক কোণ কত?,৪০,Math,Trigonometry
114,২৫.৫৫ ডিগ্রি কোণের পুরক কোণ কত?,৬৪.৪৫,Math,Trigonometry
115,৬০ ডিগ্রি কোণের সম্পুরক কোণ কত?,১২০,Math,Trigonometry
116,৭০.৫০ ডিগ্রি কোণের সম্পুরক কোণ কত?,১০৯.৫০,Math,Trigonometry
117,১১০ ডিগ্রি কোণের সম্পুরক কোণকে বৃত্তীয় পদ্ধতিতে প্রকাশ করলে কত হবে?,১.২২,Math,Trigonometry
118,৯০ ডিগ্রি কোণের সম্পুরক কোণকে বৃত্তীয় পদ্ধতিতে প্রকাশ করলে কত হবে?,১.৫৭,Math,Trigonometry
119,৫০ ডিগ্রি কোণের পুরক কোণকে বৃত্তীয় পদ্ধতিতে প্রকাশ করলে কত হবে?,০.৬৯,Math,Trigonometry
120,৭০ ডিগ্রি কোণের পুরক কোণকে বৃত্তীয় পদ্ধতিতে প্রকাশ করলে কত হবে?,০.৩৪,Math,Trigonometry
121,একটি গাড়ির চাকার ব্যাস ০.৮ মিটার এবং চাকাটি প্রতি সেকেন্ডে ৬ বার ঘুরে। গাড়িটির গতিবেগ কত কিলোমিটার/ঘণ্টা?,৫৪.২৮,Math,Trigonometry
122,একটি গাড়ির চাকার ব্যাস ০.৪ মিটার এবং চাকাটি প্রতি সেকেন্ডে ৪ বার ঘুরে। গাড়িটির গতিবেগ কত কিলোমিটার/ঘণ্টা?,১৮.০৯,Math,Trigonometry
123,একটি গাড়ির চাকার ব্যাসার্ধ ০.৮ মিটার এবং চাকাটি প্রতি সেকেন্ডে ৬ বার ঘুরে। গাড়িটির গতিবেগ কত কিলোমিটার/ঘণ্টা?,১০৮.৫৭,Math,Trigonometry
124,একটি গাড়ির চাকার ব্যাসার্ধ ০.২ মিটার এবং চাকাটি প্রতি সেকেন্ডে ৫ বার ঘুরে। গাড়িটির গতিবেগ কত কিলোমিটার/ঘণ্টা?,২২.৬১,Math,Trigonometry
125,৪ টার সময় ঘড়ির ঘণ্টা এবং মিনিটের কাঁটার অন্তর্ভুক্ত কোণ কত ডিগ্রি হবে?,১২০,Math,Trigonometry
126,সকাল ৮ঃ৩০ টার সময় ঘড়ির ঘণ্টা এবং মিনিটের কাঁটার অন্তর্ভুক্ত কোণ কত ডিগ্রি হবে?,৭৫,Math,Trigonometry
127,সকাল ৮ঃ২০ টার সময় ঘড়ির ঘণ্টা এবং মিনিটের কাঁটার অন্তর্ভুক্ত কোণ কত ডিগ্রি হবে?,১৩০,Math,Trigonometry
128,দুপুর ১ঃ২০ টার সময় ঘড়ির ঘণ্টা এবং মিনিটের কাঁটার অন্তর্ভুক্ত কোণ কত ডিগ্রি হবে?,৮০,Math,Trigonometry
129,০.৫০ মিটার ব্যাসার্ধ বিশিষ্ট একটি চাকা একবার ঘুরলে কত মিটার দূরত্ব অতিক্রম করবে? ,৩.১৪,Math,Trigonometry
130,০.২৫ মিটার ব্যাসার্ধ বিশিষ্ট একটি চাকা একবার ঘুরলে কত মিটার দূরত্ব অতিক্রম করবে? ,১.৫৭,Math,Trigonometry
131,০.৫০ মিটার ব্যাস বিশিষ্ট একটি চাকা একবার ঘুরলে কত মিটার দূরত্ব অতিক্রম করবে? ,১.৫৭,Math,Trigonometry
132,০.২০ মিটার ব্যাস বিশিষ্ট একটি চাকা একবার ঘুরলে কত মিটার দূরত্ব অতিক্রম করবে? ,০.৬২,Math,Trigonometry
133,একটি সমকোণী ত্রিভুজের লম্ব ও ভুমি যথাক্রমে ৩ ও ৪ হলে এর অতিভুজ কত?,৫,Math,Trigonometry
134,একটি সমকোণী ত্রিভুজের লম্ব ও ভুমি যথাক্রমে ৫ ও ১২ হলে এর অতিভুজ কত?,১৩,Math,Trigonometry
135,একটি সমকোণী ত্রিভুজের লম্ব ও অতিভুজ যথাক্রমে ৪ ও ৫ হলে এর ভুমি কত?,৩,Math,Trigonometry
136,একটি সমকোণী ত্রিভুজের লম্ব ও অতিভুজ যথাক্রমে ৫ ও ১৩ হলে এর ভুমি কত?,১২,Math,Trigonometry
137,একটি সমকোণী ত্রিভুজের ভুমি ও অতিভুজ যথাক্রমে ৩ ও ৫ হলে এর লম্ব কত?,৪,Math,Trigonometry
138,একটি সমকোণী ত্রিভুজের ভুমি ও অতিভুজ যথাক্রমে ১২ ও ১৩ হলে এর লম্ব কত?,৫,Math,Trigonometry
139,"একটি আয়তকার ঘনবস্তুর দৈর্ঘ্য ৫ সে.মি., প্রস্থ ৪ সে.মি. এবং উচ্চতা ৩ সে.মি. হলে এর কর্ণ কত সে.মি.?",৭.০৭,Math,Solid Geometry
140,"একটি আয়তকার ঘনবস্তুর দৈর্ঘ্য ১২ সে.মি., প্রস্থ ৫ সে.মি. এবং উচ্চতা ৪ সে.মি. হলে এর কর্ণ কত সে.মি.?",১৩.৬০,Math,Solid Geometry
141,"একটি আয়তকার ঘনবস্তুর দৈর্ঘ্য ৫ সে.মি., প্রস্থ ৫ সে.মি. এবং উচ্চতা ৫ সে.মি. হলে এর কর্ণ কত সে.মি.?",৮.৬৬,Math,Solid Geometry
142,"একটি আয়তকার ঘনবস্তুর দৈর্ঘ্য ১ সে.মি., প্রস্থ ১ সে.মি. এবং উচ্চতা ১ সে.মি. হলে এর কর্ণ কত সে.মি.?",১.৭৩,Math,Solid Geometry
143,"একটি আয়তকার ঘনবস্তুর দৈর্ঘ্য ৩ সে.মি., কর্ণ  ৫ সে.মি. এবং উচ্চতা ৩ সে.মি. হলে এর প্রস্থ কত সে.মি.?",২.৬৪,Math,Solid Geometry
144,"একটি আয়তকার ঘনবস্তুর দৈর্ঘ্য ৮ সে.মি., কর্ণ  ৯ সে.মি. এবং উচ্চতা ৪ সে.মি. হলে এর প্রস্থ কত সে.মি.?",১,Math,Solid Geometry
145,২ সে.মি. ব্যাসের একটি গোলক আকৃতির বল একটি সিলিন্ডার আকৃতির বাক্সে ঠিকভাবে এঁটে যায়। সিলিন্ডারটির আয়তন কত ঘন সে.মি.?,৬.২৮,Math,Solid Geometry
