Q No.,Premise,Hypothesis,Answer
146,"একদিন, রবিরাজ বাড়ি ছেড়ে ২০ কিমি দক্ষিণ দিকে সাইকেল চালান, ডান দিকে ঘুরলেন এবং ১০ কিমি সাইকেল চালান এবং ডানদিকে ঘুরলেন এবং ২০ কিমি সাইকেল চালান এবং বাম দিকে ঘুরলেন এবং ২০ কিমি সাইকেল চালান","একদিন, রবিরাজ বাড়ি ছেড়ে সাইকেল চালান ৮০ কিমি দক্ষিণ দিকে, ডানে ঘুরলেন এবং সাইকেল চালান ১০ কিমি এবং ডানে ঘুরলেন এবং ২০ কিমি সাইকেল চালান এবং বাম দিকে ঘুরলেন এবং ২০ কিমি সাইকেল চালান",contradiction
385,"জিল, যিনি সিটি সি-তে থাকেন, ৫টি ভিন্ন শহর, এম, এল, এস, এন এবং ও দেখার পরিকল্পনা করেছেন","সিটি সি-তে বসবাসকারী জিল, এম, এল, এস, এন, ও ও ৬টিরও কম ভিন্ন শহর দেখার পরিকল্পনা করেছেন",Entailment
372,"মার্টিনকে তার ৯ম শ্রেণীর পরীক্ষায় উত্তীর্ণ হতে ৮০% নম্বর পেতে হবে।
তিনি ২০০ নম্বর পেয়েছিলেন এবং ২০০ নম্বরে ফেল করেছিলেন।
সর্বোচ্চ নম্বর কত?",মার্টিনকে তার ৯ম শ্রেণীর পরীক্ষায় উত্তীর্ণ হতে ১০% এর বেশি নম্বর পেতে হবে। তিনি ২০০ নম্বর পেয়েছিলেন এবং ২০০ নম্বরে ফেল করেছিলেন। সর্বোচ্চ নম্বর কত?,Entailment
263,"জেনারেল ডাইনামিক্স, ল্যান্ড কমব্যাট সিস্টেম, যুদ্ধজাহাজ এবং গালফস্ট্রিম বিজনেস জেট নির্মাতা, তৃতীয় প্রান্তিকে $৩৭৪m বা শেয়ার প্রতি $১.৮৪ এর নেট আয়ের কথা জানিয়েছে।",জেনারেল ডাইনামিক্স $ ৩৭৪ মিলিয়ন হারায়।,neutral
127,"রেনু একটি কাজ ৮ দিনে করতে পারে, কিন্তু তার বন্ধু সুমার সাহায্যে, সে ৩ দিনে করতে পারে","রেনু একটি কাজ ৭ দিনের বেশি করতে পারে, কিন্তু তার বন্ধু সুমার সাহায্যে সে কাজটি করতে পারে ৩ দিনে।",Entailment
250,"এফ্রিদা এবং ফ্রেজার যারা ৫৩ মাইলেরও কম দূরত্বে বসবাস করেন, তারা একটি রেস্তোরাঁয় মিলিত হন যা এফ্রিদার বাড়ির উত্তরে এবং সরাসরি ফ্রেজারের বাড়ির পূর্বে অবস্থিত","এফ্রিদা এবং ফ্রেজার যারা ১৩ মাইল দূরে থাকেন, একটি রেস্তোরাঁয় দেখা করেন যেটি এফ্রিদার বাড়ির উত্তরে এবং ফ্রেজারের বাড়ির সরাসরি পূর্বে",neutral
300,"মাইক ৭.০ আপেল বাছাই করেছে, ন্যান্সি ৩.০ আপেল বাছাই করেছে, কিন্তু কিথ খামারে ৬.০ আপেল এবং ৪.০ নাশপাতি খেয়েছে।",৪.০ আপেল বাকি আছে,Entailment
94,৫ বছর পর অরুণের বয়স হবে ২৫ বছর,৭ বছর পর অরুণের বয়স হবে ২৫ বছর,contradiction
421,রহিম ৫০ টাকায় বই কিনল,রহিম টাকায় ৮০টি বই কিনলেন,contradiction
78,"ওভারল্যান্ড পার্ক, কানসাস (সিএনএন) -- কানসাসের দুটি ইহুদি-অনুষঙ্গিক স্থাপনায় তিনজনকে হত্যার অভিযোগে অভিযুক্ত ব্যক্তি তার বর্ণবাদী দৃষ্টিভঙ্গি গোপন করেননি, সংবাদপত্রে চিঠি লিখেছিলেন এবং তার বাড়িতে শ্বেতাঙ্গ-আধিপত্যবাদী সভায় লোকদের আমন্ত্রণ জানিয়েছিলেন, তারা বলে যারা তাকে চিনত।",ক্রসের বিরুদ্ধে দুটি ইহুদি-অনুষঙ্গিক স্থাপনায় তিনজনকে হত্যার অভিযোগ রয়েছে,neutral
342,৬ জন ছেলে ও ৪ জন মেয়ের একটি দলে ৪ জনের একটি কমিটি গঠন করতে হবে,৬ জনের কম ছেলে এবং ৪ জন মেয়ের একটি গ্রুপে ৪ জনের একটি কমিটি গঠন করতে হবে,contradiction
315,৮ বছর আগে জেসন ১২ গুণ বড় ছিল,৮ বছরেরও বেশি আগে জেসন ১২ গুণ বড় ছিল,contradiction
318,"ওলমার্টকে বিশ্বাসভঙ্গের দায়ে দোষী সাব্যস্ত করা হয়েছিল, কিন্তু দুর্নীতি-সংক্রান্ত দুটি অভিযোগ থেকে তাকে খালাস দেওয়া হয়েছিল।",তিনি বিশ্বাসভঙ্গের জন্য দোষী সাব্যস্ত হয়েছেন এবং দুটি দুর্নীতি-সংক্রান্ত অভিযোগ থেকে খালাস পেয়েছেন,Entailment
422,একই সময়ে জয়েস একই বিল্ডিংয়ের ৮১ তম তলায় একটি লিফটে উঠে এবং প্রতি মিনিটে ৭৮ তলায় রাইড করে,একই সময়ে জয়েস একই বিল্ডিংয়ের ৬১ তম তলায় একটি লিফটে ওঠেন এবং প্রতি মিনিটে ৭৮ তলা বেগে নেমে যান,neutral
219,অ্যাডামস এর ইন্টারনেট প্রদানকারী সীমাহীন ট্রাফিক অফার করে যার খরচ প্রতিদিন $০.৫ চার্জ বন্ধ ৪২ a এর কম,অ্যাডামসের ইন্টারনেট প্রদানকারী সীমাহীন ট্র্যাফিক অফার করে যার খরচ $০.৫ প্রতি দিন চার্জ বন্ধ করে ১২ এ,neutral
149,অলকা ১৫টা বই কিনেছে,অলকা টাকায় ৭৫টিরও কম বই কিনেছেন,Entailment
79,"ভিক্টরের আছে ১৫ কাপ যদি ময়দা, ১৬ কাপ চিনি এবং ৮ কাপ দুধ","ময়দা, ১৬ কাপ চিনি এবং ৮ কাপ দুধ থাকলে ভিক্টরের ৬৫ কাপের কম",Entailment
74,"ডেভিড ইংরেজি , গণিত , পদার্থ বিজ্ঞান , রসায়ন এবং জীববিদ্যায় ৫৬ , ৬৫ , ৮২ , ৬৭ এবং ৮৫ নম্বর ( ১০০ এর মধ্যে ) বেশি পেয়েছে তার গড় নম্বর কত?","ডেভিড ইংরেজি, গণিত, পদার্থবিদ্যা, রসায়ন এবং জীববিদ্যায় ৭৬, ৬৫, ৮২, ৬৭ এবং ৮৫ নম্বর (১০০-এর মধ্যে) পেয়েছে। তার গড় নম্বর কত?",neutral
34,"জেসমিনের দুটি স্লট সহ একটি টোস্টার রয়েছে যা একবারে প্রতিটি রুটির একপাশে টোস্ট করে এবং এটি করতে এক মিনিট সময় লাগে।
যদি সে টোস্টের ৩ টুকরো বানাতে চায়, তবে সেগুলিকে উভয় দিকে টোস্ট করতে তার সর্বনিম্ন কত সময় লাগবে?","জেসমিনের দুটি স্লট সহ একটি টোস্টার রয়েছে যা একবারে প্রতিটি রুটির একপাশে টোস্ট করে এবং এটি করতে এক মিনিট সময় লাগে। যদি সে ৩ টুকরো টোস্টের বেশি বানাতে চায়, তবে সেগুলিকে উভয় দিকে টোস্ট করতে তার সর্বনিম্ন কত সময় লাগবে?",contradiction
117,মেলানি বাগান থেকে ৭.০ বরই এবং ৪.০ কমলা বাছাই করেছে এবং স্যাম তাকে ৩.০ বরই দিয়েছে,তার এখন ১৪.০ বরই আছে,contradiction
295,বাড়ি থেকে কত মাইল দূরে হারুন জগিং করতে পারেন যাতে তিনি মোট ৩ ঘন্টা জগিং এবং হাঁটাতে ব্যয় করেন?,বাড়ি থেকে কত মাইল দূরে অ্যারন জগিং করতে পারেন যাতে তিনি মোট ৪ ঘন্টা জগিং এবং হাঁটাতে ব্যয় করেন?,Entailment
77,"প্রতি সপ্তাহে, হ্যারিকে প্রথম ১৮ ঘন্টার জন্য প্রতি ঘন্টা x ডলার এবং সেই সপ্তাহে কাজ করা প্রতিটি অতিরিক্ত ঘন্টার জন্য ১.৫ x ডলার প্রদান করা হয়","প্রতি সপ্তাহে, হ্যারিকে প্রথম ৬৮ ঘন্টার কম সময়ের জন্য প্রতি ঘন্টা x ডলার এবং সেই সপ্তাহে কাজ করা প্রতিটি অতিরিক্ত ঘন্টার জন্য ১.৫ x ডলার প্রদান করা হয়।",Entailment
238,"ভিনসেন্ট প্রাণীদের সম্পর্কে ১০.০টি বই, ১.০টি মহাকাশ সম্পর্কে বই এবং ৩.০টি ট্রেন সম্পর্কে বই কিনেছিলেন এবং তিনি সমস্ত বইয়ের জন্য $১৬.০ প্রদান করেছিলেন",১.০ বইয়ের গড় মূল্য ৪.৬,contradiction
413,অ্যান্ড্রু ৭০ কেজি দরে ৮ কেজি আঙ্গুর এবং ৫৫ কেজি দরে ৯ কেজি আম কিনেছিলেন,অ্যান্ড্রু ৭০ কেজি দরে ৫ কেজির বেশি আঙ্গুর এবং ৫৫ কেজি দরে ৯ কেজি আম কিনেছিলেন,Entailment
16,টুম্পার বয়স ১৪ বছর।,টুম্পার বয়স ১৫ বছর।,contradiction
230,হেইলির ২৫.০ মিটবল আছে এবং কার্স্টেন তাকে আরও ১১.০ দিয়েছেন,হেইলির এখন ৩৬.০ মিটবল আছে,Entailment
351,"জিলের কোয়ার্ট, হাফ-গ্যালন এবং এক গ্যালন জারে ২১ গ্যালন জল সঞ্চিত রয়েছে","জিলের কোয়ার্ট, হাফ-গ্যালন এবং এক গ্যালন জারে ৩১ গ্যালন জল সঞ্চিত রয়েছে",contradiction
1,"যেহেতু আপনি ভালো, আপনি নাজমুলকে ২ টি বেসবল কার্ড দিয়েছেন।","যেহেতু আপনি ভালো, আপনি নাজমুলকে ২টির বেশি বেসবল কার্ড দিয়েছেন।",contradiction
20,এর পর থেকে ১.২ মিলিয়নেরও বেশি মানুষ এটি দেখেছেন।,ইউটিউবে ১.২ মিলিয়নেরও বেশি মানুষ এটি দেখেছেন,Entailment
273,কৃষকরা জানিয়েছেন যে তারা প্রতিদিন বাগানের ৮.০ ভাগের প্রতিটি থেকে ৪৫.০ বস্তা আপেল সংগ্রহ করে।,প্রতিদিন ৩৬০.০ বস্তা কাটা হয়,Entailment
281,"কায়ার শিক্ষকের ডেস্কে ৬৪টিরও কম গোলাপী হাইলাইটার, ২৮টি হলুদ হাইলাইটার এবং ২৫টি নীল হাইলাইটার রয়েছে","কায়ার শিক্ষকের ডেস্কে ২৪টি গোলাপী হাইলাইটার, ২৮টি হলুদ হাইলাইটার এবং ২৫টি নীল হাইলাইটার রয়েছে",neutral
57,"যদি সুনীলের বয়স ৪ বছরের মধ্যে শ্যামের বয়সের চেয়ে দ্বিগুণ হয়, তাহলে সুনীলের বয়স কত?","সুনীলের বয়সের দ্বিগুণ হলে শ্যামের বয়স ২ বছরের বেশি হলে, সুনীলের বয়স কত?",Entailment
337,ইউরোপিয়ান চ্যাম্পিয়ন্স লিগে বুলগেরিয়ান আন্ডারডগ লুডোগোরেটসের কাছে ঘরের মাঠে শেষ-হাঁসির মাঝামাঝি জয়ের পর ওয়েস্ট হ্যামের কাছে ৩-১ ব্যবধানে পরাজয় ছিল ব্রেন্ডন রজার্স দলের জন্য পাঁচটি ম্যাচে তৃতীয়।,লিভারপুল টানা দ্বিতীয় ম্যাচে ওয়েস্ট হ্যামের কাছে ৩-১ ব্যবধানে হেরেছে,neutral
83,"ফাইজার কাছে ৫টির বেশি পার্স রয়েছে, সে উপহার হিসেবে ৩টি পার্স দিয়েছে","ফাইজার ৭টি পার্স আছে, সে উপহার হিসেবে ৩টি পার্স দেয়",neutral
240,একটি স্কুলে ৫৪২.০ মেয়ে এবং ৩৮৭.০ ছেলে।,সেই স্কুলে ৯২৮.০ ছাত্র আছে,contradiction
368,"৮ মাস পরে অ্যালেক্স তার সাথে যোগ দেন, রুপি বিনিয়োগ করে","অ্যালেক্স ৭ মাসেরও বেশি সময় পরে তার সাথে যোগ দেন, রুপি বিনিয়োগ করে",Entailment
80,"২০০০ এর কম, ইসাবেলার রাজধানী কি?","১০০০, ইসাবেলার রাজধানী কি?",neutral
91,প্রীতি ম্যাচ চলাকালীন এসি মিলানের এই মিডফিল্ডার রেফারিকে তিনবার বলেছিলেন তার সঙ্গে দুর্ব্যবহার করা হচ্ছে।,জার্মান বংশোদ্ভূত বোয়াটেং রেফারিকে তিনবার বলেছিলেন যে তার সাথে দুর্ব্যবহার করা হচ্ছে,neutral
362,"যদি ফ্রেড ঘণ্টায় ৫ মাইল বেগে হাঁটেন এবং স্যাম ঘণ্টায় ৫ মাইল বেগে হাঁটেন, তাহলে স্যাম কত মাইল হেঁটেছে যখন তারা মিলিত হয়েছে?","যদি ফ্রেড ঘণ্টায় ১ মাইলের বেশি গতিতে হাঁটেন এবং স্যাম ঘণ্টায় ৫ মাইল গতিতে হাঁটেন, তাহলে স্যাম কত মাইল হেঁটেছে যখন তারা মিলিত হয়েছে?",Entailment
26,জেক ১৬ দিনে একটি কূপ খনন করতে পারে,জেক ৬৬ দিনেরও কম সময়ে একটি কূপ খনন করতে পারে,Entailment
174,মোনা এবং সোনা ১৮ কিমি এবং ৩৬ কিমি প্রতি ঘণ্টা গতিতে একটি বাইকে ৪০০ মিটার দৈর্ঘ্যের একটি বৃত্তাকার ট্র্যাকের চারপাশে যান,মোনা এবং সোনা ১৮ কিলোমিটার এবং ৩৬ কিলোমিটার প্রতি ঘণ্টা গতিতে একটি বাইকে ৪০০ মিটারের কম দৈর্ঘ্যের একটি বৃত্তাকার ট্র্যাকের চারপাশে যান,contradiction
181,"যদি ইয়োলান্ডার হাঁটার হার ঘণ্টায় ৩ মাইল এবং ববের প্রতি ঘণ্টায় ৪ মাইল হয়, তাহলে বব কত মাইল হেঁটেছিল যখন তারা দেখা করেছিল?","যদি ইয়োলান্ডার হাঁটার হার ঘণ্টায় ৭ মাইলের কম হয় এবং বব-এর প্রতি ঘণ্টায় ৪ মাইল হয়, তাহলে বব কত মাইল হেঁটেছিল যখন তারা দেখা করেছিল?",Entailment
176,"শ্রীহরি যদি তার বাড়ি থেকে ৪.৫ কিমি/ঘন্টা বেগে হেঁটে যায়, তাহলে কত সময়ে সে তার বাড়ি থেকে ৭৫০ মিটার লম্বা তার স্কুলে পৌঁছাবে?","শ্রীহরি যদি তার বাড়ি থেকে ৪.৫ কিমি/ঘন্টা বেগে হেঁটে যান, তাহলে কত সময়ে তিনি তার বাড়ি থেকে ৮৫০ মিটারের কম লম্বা তার স্কুলে পৌঁছাবেন?",Entailment
43,এর্নাকুলাম এবং চেন্নাইয়ের মধ্যে ২৪টি স্টেশন রয়েছে,এর্নাকুলাম এবং চেন্নাইয়ের মধ্যে ৪৪টি স্টেশন রয়েছে,contradiction
210,"বারবারার কয়টি পোশাকের সংমিশ্রণ আছে, যদি তিনি ৫টি নির্দিষ্ট প্যান্টের সাথে ২টির বেশি নির্দিষ্ট শার্ট না পরেন?","বারবারার কয়টি পোশাকের সংমিশ্রণ আছে, যদি সে ৫টি নির্দিষ্ট প্যান্টের সাথে ৬টি নির্দিষ্ট শার্ট না পরে?",neutral
414,রহিম টাকায় ২৫টিরও বেশি বই কিনলেন,রহিম ৬৫টি বই কিনলেন টাকায়,neutral
105,স্যান্ডি ৬.০ গাজর বেড়েছে এবং স্যাম ৩.০ গাজর নিয়েছে,স্যান্ডির ৩.০ গাজর বাকি আছে,Entailment
166,শোভার বাবার বয়স ছিল ৩৮ বছর যখন তিনি জন্মগ্রহণ করেছিলেন এবং তার মায়ের বয়স ছিল ৩৬ বছর যখন তার ভাই তার থেকে চার বছরের ছোট জন্মগ্রহণ করেছিলেন,শোভার জন্মের সময় তার বাবার বয়স ছিল ২৮ বছরের বেশি এবং তার মায়ের বয়স ছিল ৩৬ বছর যখন তার ভাই তার থেকে চার বছরের ছোট জন্মগ্রহণ করেছিলেন,Entailment
417,"সব মিলিয়ে, স্টিভ রাস্তায় দিনে ৭ ঘণ্টারও কম সময় কাটাচ্ছেন","সব মিলিয়ে, স্টিভ প্রতিদিন ৬ ঘন্টা রাস্তায় কাটাচ্ছেন",neutral
275,"খেলনার দোকানে ৩ ধরনের বল এবং ৬ ধরনের বোর্ড গেম থাকলে, আমান্ডা ৪টি আইটেমের মধ্যে কতগুলি ভিন্ন নির্বাচন করতে পারে?","খেলনার দোকানে ৪ ধরনের বল এবং ৬ ধরনের বোর্ড গেম থাকলে, আমান্ডা ৪টি আইটেমের মধ্যে কতগুলি ভিন্ন নির্বাচন করতে পারে?",contradiction
23,রেবেকার বার্ষিক আয় কতটা বাড়াতে হবে যাতে এটি রেবেকা এবং জিমির সম্মিলিত আয়ের ৫৫% গঠন করে?,রেবেকার বার্ষিক আয় কতটা বাড়াতে হবে যাতে এটি রেবেকা এবং জিমির সম্মিলিত আয়ের ৫৫% এর কম হয়?,contradiction
47,"স্থানীয় কর্তৃপক্ষের উদ্ধৃতি দিয়ে সংবাদ প্রতিবেদনে বলা হয়েছে, কিছু কাঁচা সবজিতে ই. কোলাইয়ের কারণে ১৬ জনের মৃত্যু হয়েছে।","মিডিয়া রিপোর্টে ১৬ জন মারা গেছে প্রাদুর্ভাবের সাথে যুক্ত, যার মধ্যে ১ সুইডেনে রয়েছে",neutral
376,"যাইহোক, বেশিরভাগ বিলাসবহুল অন্তর্বাস ৪% এর কম তুলা দিয়ে তৈরি করা হয় -- এবং অনুমতি দেওয়া হবে না।",এর মধ্যে রয়েছে সূক্ষ্ম অন্তর্বাস -- বেশির ভাগই ৪% তুলা এবং তার চেয়ে কম সামগ্রী দিয়ে তৈরি,Entailment
114,জিল একটি বাস্কেটবল খেলার জন্য তার ৬৬-এর কম - ব্যক্তি শ্রেণিকে সমান আকারের দুটি দলে ভাগ করছে,জিল একটি বাস্কেটবল খেলার জন্য তার ১৬-ব্যক্তি শ্রেণীকে সমান আকারের দুটি দলে ভাগ করছে,neutral
95,কামাল ২০ দিনের মধ্যে কাজ শেষ করবেন,কামাল ২০ দিনের বেশি সময় কাজ শেষ করবেন,contradiction
375,"যদি ইয়োলান্ডার হাঁটার হার ঘণ্টায় ৩ মাইল এবং ববের প্রতি ঘণ্টায় ৪ মাইল হয়, তাহলে বব কত মাইল হেঁটেছিল যখন তারা দেখা করেছিল?","যদি ইয়োলান্ডার হাঁটার হার ঘণ্টায় ২ মাইলের বেশি হয় এবং বব-এর ঘণ্টায় ৪ মাইল হয়, তাহলে বব কত মাইল হেঁটেছিল যখন তারা দেখা করেছিল?",Entailment
58,"যেহেতু আপনি চমৎকার, আপনি জন ৭ বেসবল কার্ড দেন","যেহেতু আপনি চমৎকার, আপনি জন কে ৭টির বেশি বেসবল কার্ড দিয়েছেন",contradiction
