Q No.,Question,Answer,Domain,Sub-Domain
63,"एक पहिया १२० से.मी. रास्ता तय करने में १२ बार घूमता है, पहिये का व्यास कितने से.मी. है?",३.१८,Math,Trigonometry
64,एक पहिया वृत्ताकार पथ पर २५० मीटर रास्ता तय करने में ३५ बार घूमता है। पहिये की त्रिज्या कितने मीटर है?,१.१३,Math,Trigonometry
65,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय १४४ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान की परिधि कितने मीटर है?,४२.५३,Math,Trigonometry
66,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय २५ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान की परिधि कितने मीटर है?,१७.७२,Math,Trigonometry
67,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय १४४ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान की त्रिज्या कितने मीटर है?,६.७७,Math,Trigonometry
68,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय २५ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान की त्रिज्या कितने मीटर है?,२.८२,Math,Trigonometry
69,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय १४४ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान का व्यास कितने मीटर है?,१३.५४,Math,Trigonometry
70,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय २५ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान का व्यास कितने मीटर है?,५.६४,Math,Trigonometry
71,५ से.मी. त्रिज्या वाले एक वृत्त की परिधि और व्यास का अनुपात कितना है?,३.१४:१,Math,Trigonometry
72,१५ मीटर त्रिज्या वाले एक वृत्त की परिधि और व्यास का अनुपात कितना है?,३.१४:१,Math,Trigonometry
73,५ से.मी. त्रिज्या वाले एक वृत्त की परिधि और त्रिज्या का अनुपात कितना है?,६.२८:१,Math,Trigonometry
74,२० मीटर त्रिज्या वाले एक वृत्त की परिधि और त्रिज्या का अनुपात कितना है?,६.२८:१,Math,Trigonometry
75,एक वृत्त की त्रिज्या ५ से.मी. है। वृत्त में १३ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने रेडियन है?,२.६०,Math,Trigonometry
76,एक वृत्त की त्रिज्या १५ से.मी. है। वृत्त में ३ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने रेडियन है?,०.२०,Math,Trigonometry
77,एक वृत्त का व्यास ५ से.मी. है। वृत्त में १३ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने रेडियन है?,५.२०,Math,Trigonometry
78,एक वृत्त का व्यास ५ से.मी. है। वृत्त में १५ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने रेडियन है?,६,Math,Trigonometry
79,२ से.मी. त्रिज्या वाले वृत्त का २ से.मी. लंबा एक चाप केंद्र पर कितने रेडियन का कोण बनाता है?,१,Math,Trigonometry
80,२ से.मी. त्रिज्या वाले वृत्त का ८ से.मी. लंबा एक चाप केंद्र पर कितने रेडियन का कोण बनाता है?,४,Math,Trigonometry
81,२ से.मी. व्यास वाले वृत्त का २ से.मी. लंबा एक चाप केंद्र पर कितने रेडियन का कोण बनाता है?,२,Math,Trigonometry
82,२ से.मी. व्यास वाले वृत्त का ८ से.मी. लंबा एक चाप केंद्र पर कितने रेडियन का कोण बनाता है?,८,Math,Trigonometry
83,"२ से.मी. त्रिज्या वाले वृत्त का एक चाप केंद्र पर ९० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",३.१४,Math,Trigonometry
84,"२ से.मी. व्यास वाले वृत्त का एक चाप केंद्र पर ९० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",१.५७,Math,Trigonometry
85,"२ से.मी. त्रिज्या वाले वृत्त का एक चाप केंद्र पर १८० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",६.२८,Math,Trigonometry
86,"२ से.मी. व्यास वाले वृत्त का एक चाप केंद्र पर १८० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",३.१४,Math,Trigonometry
87,"३ से.मी. व्यास वाले वृत्त का एक चाप केंद्र पर २ रेडियन का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",३,Math,Trigonometry
88,"५ से.मी. व्यास वाले वृत्त का एक चाप केंद्र पर ३ रेडियन का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",७.५०,Math,Trigonometry
89,"३ मीटर त्रिज्या वाले वृत्त का एक चाप केंद्र पर २ रेडियन का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",६००,Math,Trigonometry
90,"५ मीटर त्रिज्या वाले वृत्त का एक चाप केंद्र पर ३ रेडियन का कोण बनाता है, चाप की लंबाई कितने मीटर है (लगभग)?",१५,Math,Trigonometry
91,"५ से.मी. त्रिज्या वाले वृत्त का एक चाप केंद्र पर ६० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",५.२३,Math,Trigonometry
92,"५ से.मी. व्यास वाले वृत्त का एक चाप केंद्र पर ६० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",२.६०,Math,Trigonometry
93,किसी वृत्त की त्रिज्या ७ से.मी. है। वृत्त के १४ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने डिग्री है?,११४.५९,Math,Trigonometry
94,किसी वृत्त की त्रिज्या १० से.मी. है। वृत्त के ३५ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने डिग्री है?,२००.५३,Math,Trigonometry
95,किसी वृत्त का व्यास २० से.मी. है। वृत्त के ५० से.मी. लंबे चाप के केंद्रीय कोण का मान कितने डिग्री है?,२८६.४७,Math,Trigonometry
96,किसी वृत्त का व्यास ७०.५ से.मी. है। वृत्त के ११०.२५ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने डिग्री है?,१७९.२०,Math,Trigonometry
97,किसी वृत्त की त्रिज्या ९ से.मी. है। वृत्त के १५ से.मी. लंबे चाप के केंद्रीय कोण का वृत्तीय माप कितना है?,१.६७,Math,Trigonometry
98,किसी वृत्त का व्यास ९ से.मी. है। वृत्त के १५ से.मी. लंबे चाप के केंद्रीय कोण का वृत्तीय माप कितना है?,३.३३,Math,Trigonometry
99,पृथ्वी की त्रिज्या ६४४० कि.मी. है। दिल्ली और जयपुर पृथ्वी के केंद्र पर ५ डिग्री का कोण बनाते हैं। दिल्ली और जयपुर की दूरी कितने कि.मी. है?,५६१.९९,Math,Trigonometry
100,पृथ्वी का व्यास १२८०० कि.मी. है। दिल्ली और जयपुर पृथ्वी के केंद्र पर ४ डिग्री का कोण बनाते हैं। दिल्ली और जयपुर की दूरी कितने कि.मी. है?,४४६.८०,Math,Trigonometry
101,४५० किलोमीटर दूर एक बिंदु पर कोई पहाड़ ७ डिग्री का कोण बनाता है। पहाड़ की ऊँचाई कितने मीटर है?,५४९७७.८७,Math,Trigonometry
102,५०० किलोमीटर दूर एक बिंदु पर कोई पहाड़ ५ डिग्री का कोण बनाता है। पहाड़ की ऊँचाई कितने मीटर है?,४३६३३.२३,Math,Trigonometry
103,२०० किलोमीटर दूर एक बिंदु पर कोई पहाड़ २ रेडियन का कोण बनाता है। पहाड़ कितने किलोमीटर ऊँचा है?,४००,Math,Trigonometry
104,१५० किलोमीटर दूर एक बिंदु पर कोई पहाड़ २.५० रेडियन का कोण बनाता है। पहाड़ कितने किलोमीटर ऊँचा है?,३७५,Math,Trigonometry
105,दो कोणों का योग ६० डिग्री और अंतर ३० डिग्री है। बड़ा कोण कितने डिग्री है?,४५,Math,Trigonometry
106,दो कोणों का योग ६० डिग्री और अंतर ३० डिग्री है। छोटा कोण कितने डिग्री है?,१५,Math,Trigonometry
107,एक त्रिभुज के कोण समांतर श्रेणी में हैं। सबसे छोटा कोण सबसे बड़े कोण का आधा है। सबसे बड़े कोण का मान कितने डिग्री है?,८०,Math,Trigonometry
108,एक त्रिभुज के कोण समांतर श्रेणी में हैं। सबसे छोटा कोण सबसे बड़े कोण का आधा है। सबसे छोटे कोण का मान कितने डिग्री है?,४०,Math,Trigonometry
109,६० डिग्री को रेडियन में व्यक्त करने पर कितना होगा?,१.०४,Math,Trigonometry
110,१८० डिग्री को रेडियन में व्यक्त करने पर कितना होगा?,३.१४,Math,Trigonometry
111,२ रेडियन को डिग्री में व्यक्त करने पर कितना होगा?,११४.५९,Math,Trigonometry
112,१ रेडियन को डिग्री में व्यक्त करने पर कितना होगा?,५७.२९,Math,Trigonometry
113,५० डिग्री कोण का पूरक कोण कितना है?,४०,Math,Trigonometry
114,२५.५५ डिग्री कोण का पूरक कोण कितना है?,६४.४५,Math,Trigonometry
115,६० डिग्री कोण का संपूरक कोण कितना है?,१२०,Math,Trigonometry
116,७०.५० डिग्री कोण का संपूरक कोण कितना है?,१०९.५०,Math,Trigonometry
117,११० डिग्री कोण के संपूरक कोण को वृत्तीय पद्धति में व्यक्त करने पर कितना होगा?,१.२२,Math,Trigonometry
118,९० डिग्री कोण के संपूरक कोण को वृत्तीय पद्धति में व्यक्त करने पर कितना होगा?,१.५७,Math,Trigonometry
119,५० डिग्री कोण के पूरक कोण को वृत्तीय पद्धति में व्यक्त करने पर कितना होगा?,०.६९,Math,Trigonometry
120,७० डिग्री कोण के पूरक कोण को वृत्तीय पद्धति में व्यक्त करने पर कितना होगा?,०.३४,Math,Trigonometry
121,एक गाड़ी के पहिये का व्यास ०.८ मीटर है और पहिया प्रति सेकंड ६ बार घूमता है। गाड़ी की गति कितने किलोमीटर/घंटा है?,५४.२८,Math,Trigonometry
122,एक गाड़ी के पहिये का व्यास ०.४ मीटर है और पहिया प्रति सेकंड ४ बार घूमता है। गाड़ी की गति कितने किलोमीटर/घंटा है?,१८.०९,Math,Trigonometry
123,एक गाड़ी के पहिये की त्रिज्या ०.८ मीटर है और पहिया प्रति सेकंड ६ बार घूमता है। गाड़ी की गति कितने किलोमीटर/घंटा है?,१०८.५७,Math,Trigonometry
124,एक गाड़ी के पहिये की त्रिज्या ०.२ मीटर है और पहिया प्रति सेकंड ५ बार घूमता है। गाड़ी की गति कितने किलोमीटर/घंटा है?,२२.६१,Math,Trigonometry
125,४ बजे घड़ी की घंटे और मिनट की सुइयों के बीच का कोण कितने डिग्री होगा?,१२०,Math,Trigonometry
126,सुबह ८:३० बजे घड़ी की घंटे और मिनट की सुइयों के बीच का कोण कितने डिग्री होगा?,७५,Math,Trigonometry
127,सुबह ८:२० बजे घड़ी की घंटे और मिनट की सुइयों के बीच का कोण कितने डिग्री होगा?,१३०,Math,Trigonometry
128,दोपहर १:२० बजे घड़ी की घंटे और मिनट की सुइयों के बीच का कोण कितने डिग्री होगा?,८०,Math,Trigonometry
129,०.५० मीटर त्रिज्या वाला एक पहिया एक बार घूमने पर कितने मीटर की दूरी तय करेगा?,३.१४,Math,Trigonometry
130,०.२५ मीटर त्रिज्या वाला एक पहिया एक बार घूमने पर कितने मीटर की दूरी तय करेगा?,१.५७,Math,Trigonometry
131,०.५० मीटर व्यास वाला एक पहिया एक बार घूमने पर कितने मीटर की दूरी तय करेगा?,१.५७,Math,Trigonometry
132,०.२० मीटर व्यास वाला एक पहिया एक बार घूमने पर कितने मीटर की दूरी तय करेगा?,०.६२,Math,Trigonometry
133,एक समकोण त्रिभुज के लंब और आधार क्रमशः ३ और ४ हों तो इसका कर्ण कितना है?,५,Math,Trigonometry
134,एक समकोण त्रिभुज के लंब और आधार क्रमशः ५ और १२ हों तो इसका कर्ण कितना है?,१३,Math,Trigonometry
135,एक समकोण त्रिभुज के लंब और कर्ण क्रमशः ४ और ५ हों तो इसका आधार कितना है?,३,Math,Trigonometry
136,एक समकोण त्रिभुज के लंब और कर्ण क्रमशः ५ और १३ हों तो इसका आधार कितना है?,१२,Math,Trigonometry
137,एक समकोण त्रिभुज के आधार और कर्ण क्रमशः ३ और ५ हों तो इसका लंब कितना है?,४,Math,Trigonometry
138,एक समकोण त्रिभुज के आधार और कर्ण क्रमशः १२ और १३ हों तो इसका लंब कितना है?,५,Math,Trigonometry
139,"एक आयताकार ठोस की लंबाई ५ से.मी., चौड़ाई ४ से.मी. और ऊँचाई ३ से.मी. हो तो इसका विकर्ण कितने से.मी. है?",७.०७,Math,Solid Geometry
140,"एक आयताकार ठोस की लंबाई १२ से.मी., चौड़ाई ५ से.मी. और ऊँचाई ४ से.मी. हो तो इसका विकर्ण कितने से.मी. है?",१३.६०,Math,Solid Geometry
141,"एक आयताकार ठोस की लंबाई ५ से.मी., चौड़ाई ५ से.मी. और ऊँचाई ५ से.मी. हो तो इसका विकर्ण कितने से.मी. है?",८.६६,Math,Solid Geometry
142,"एक आयताकार ठोस की लंबाई १ से.मी., चौड़ाई १ से.मी. और ऊँचाई १ से.मी. हो तो इसका विकर्ण कितने से.मी. है?",१.७३,Math,Solid Geometry
143,"एक आयताकार ठोस की लंबाई ३ से.मी., विकर्ण ५ से.मी. और ऊँचाई ३ से.मी. हो तो इसकी चौड़ाई कितने से.मी. है?",२.६४,Math,Solid Geometry
144,"एक आयताकार ठोस की लंबाई ८ से.मी., विकर्ण ९ से.मी. और ऊँचाई ४ से.मी. हो तो इसकी चौड़ाई कितने से.मी. है?",१,Math,Solid Geometry
145,२ से.मी. व्यास की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर का आयतन कितने घन से.मी. है?,६.२८,Math,Solid Geometry
146,४ से.मी. व्यास की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर का आयतन कितने घन से.मी. है?,५०.२६,Math,Solid Geometry
147,२ से.मी. त्रिज्या की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर का आयतन कितने घन से.मी. है?,५०.२६,Math,Solid Geometry
148,४ से.मी. त्रिज्या की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर का आयतन कितने घन से.मी. है?,४०२.१२,Math,Solid Geometry
149,२ से.मी. व्यास की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर के खाली भाग का आयतन कितने घन से.मी. है?,२.०९,Math,Solid Geometry
150,४ से.मी. व्यास की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर के खाली भाग का आयतन कितने घन से.मी. है?,१६.७५,Math,Solid Geometry
151,२ से.मी. त्रिज्या की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर के खाली भाग का आयतन कितने घन से.मी. है?,१६.७४,Math,Solid Geometry
152,४ से.मी. त्रिज्या की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर के खाली भाग का आयतन कितने घन से.मी. है?,१३४.०४,Math,Solid Geometry
153,६ से.मी. व्यास वाले एक धातु के ठोस गोले को पिघलाकर ३ से.मी. त्रिज्या का एक लंब वृत्तीय सिलिंडर बनाया गया। बने सिलिंडर की ऊँचाई कितने से.मी. है?,४,Math,Solid Geometry
154,५ से.मी. व्यास वाले एक धातु के ठोस गोले को पिघलाकर ३ से.मी. त्रिज्या का एक सिलिंडर बनाया गया। बने सिलिंडर की ऊँचाई कितने से.मी. है?,२.३१,Math,Solid Geometry
155,३ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर १ से.मी. त्रिज्या का एक सिलिंडर बनाया गया। बने सिलिंडर की ऊँचाई कितने से.मी. है?,३६,Math,Solid Geometry
156,६ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३ से.मी. त्रिज्या का एक सिलिंडर बनाया गया। बने सिलिंडर की ऊँचाई कितने से.मी. है?,३२,Math,Solid Geometry
157,६ से.मी. व्यास वाले एक धातु के ठोस गोले को पिघलाकर ४ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर की त्रिज्या कितने से.मी. है?,३,Math,Solid Geometry
158,३ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३६ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर की त्रिज्या कितने से.मी. है?,१,Math,Solid Geometry
159,६ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३२ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर की त्रिज्या कितने से.मी. है?,३,Math,Solid Geometry
160,६ से.मी. व्यास वाले एक धातु के ठोस गोले को पिघलाकर ३ से.मी. त्रिज्या का एक लंब वृत्तीय सिलिंडर बनाया गया। बने सिलिंडर के वक्र पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,७५.३९,Math,Solid Geometry
161,५ से.मी. व्यास वाले एक धातु के ठोस गोले को पिघलाकर ३ से.मी. त्रिज्या का एक सिलिंडर बनाया गया। बने सिलिंडर के वक्र पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,२१.७७,Math,Solid Geometry
162,३ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर १ से.मी. त्रिज्या का एक सिलिंडर बनाया गया। बने सिलिंडर के वक्र पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,२२६.१९,Math,Solid Geometry
163,६ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३ से.मी. त्रिज्या का एक सिलिंडर बनाया गया। बने सिलिंडर के वक्र पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,६०३.१८,Math,Solid Geometry
164,६ से.मी. व्यास वाले एक धातु के ठोस गोले को पिघलाकर ४ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर के वक्र पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,७५.३९,Math,Solid Geometry
