Q No.,Question,Answer,option1,option2
56,বিউটি কুইন ১৫ মিটার/সেকেন্ড গতিতে মার্বেল মেঝে জুড়ে কিন্তু কাঠের মেঝেতে ১০০০ সেমি/সেকেন্ড গতিতে হেঁটেছিলেন কারণ এটি ছিল?,Option 1,বেশী প্রতিরোধী,কম প্রতিরোধী
57,মার্কাসের ছেলে পুল টেবিল থেকে পুল বল নিয়ে গেল ঘরের চারপাশে খেলার জন্য। ছেলেটি লক্ষ্য করল যে পুল বলটি মার্বেল মেঝেতে ১৮০ সেন্টিমিটার এবং বালিতে ২৭ সেন্টিমিটার দূরত্ব যায়। কোনটি বেশী মসৃণ তল?,Option 1,মার্বেল মেঝে,বালি
58,রেঞ্জার এবং রাস্টলার উভয়েই ঘোড়ায় চড়ছিল যেগুলি একই গতিতে ছুটছিল। রাস্টলার ০২:০০ এ চলে যায় যেখানে রেঞ্জার ০১ঃ০০ টায় চলে যায়। কে বেশি ভ্রমণ করেছেন?,Option 1,রেঞ্জার,রাস্টলার
59,একই শস্যাগার থেকে দুটি ঘোড়া চড়ে বের হচ্ছে। সাদা ঘোড়া ধূসর ঘোড়ার মতোই গতিতে যাচ্ছে। ধূসর ঘোড়াটি ১৯ মিনিটের জন্য ভ্রমণ করেছিল এবং সাদা ঘোড়াটি ২৮ মিনিটের জন্য ভ্রমণ করেছিল। কোন ঘোড়া এগিয়ে গেল?,Option 1,সাদা ঘোড়া,ধূসর ঘোড়া
60,"শেরি তার বলকে দুই লেনের নিচে নিয়ে যায়। বলটি ১৫ সেকেন্ডে লাল লেনকে ঢেকে দেয়, কিন্তু ২০ সেকেন্ডে সবুজ লেনকে কভার করে। উভয় লেন একই দৈর্ঘ্যের। সবুজ গলিতে বল ধীরগতির হয় বলে?",Option 1,বেশী ঘর্ষণ,কম ঘর্ষণ
61,একটি ছোট বাচ্চা ঘাসের উপর ১ মিনিটের বেশি সময় ধরে একটি বল ঘূর্ণায়মান করে এবং এটিকে বালির উপর রোল করে যেখানে এটি ৪৩ সেকেন্ড পরে থামে। বালি বল থামিয়েছে কারণ এতে ঘাসের চেয়ে _____ আছে।,Option 1,বেশী ঘর্ষণ,কম ঘর্ষণ
62,মাহির ওজন ৬৭৮ নিউটন যেখানে তার বন্ধু মুসার ওজন ৮৫২ নিউটন। যার ভর বেশি হওয়ার সম্ভাবনা আছে?,Option 2,মাহি,মুসা
63,জিম একটি ট্রাক এবং একটি গাড়ি উভয়েরই মালিক। ট্রাকটির ওজন গাড়ির থেকে ১১৭৬ কেজি কম। গ্যাসের প্যাডেলে চাপ দিলে কোন গাড়িটি বেশি গতিতে ত্বরান্বিত হবে?,Option 1,ট্রাক,গাড়ী
64,একটি ঘোড়দৌড়ের ঘোড়া এবং একটি ঘোড়ার গাড়ি উভয়ই একই সময়ে সেলুন থেকে প্রস্থান করে। ঘোড়ার গাড়ি ৮ মিটার যেতে পারে এবং ঘোড়দৌড়ের ঘোড়া একই সময়ে ১৯ মিটার যেতে পারে। পরবর্তী শহরে কোনটি শেষে পৌঁছাবে?,Option 1,ঘোড়ার গাড়িটি পরবর্তী শহরে পৌঁছতে আরও সময় নেবে,ঘোড়দৌড়ের ঘোড়াটি পরবর্তী শহরে পৌঁছাতে আরও সময় নেবে
65,একটি বোলিং বলের ভর ১২০ পাউন্ড এবং একটি বেসবলের ভর ১৩ পাউন্ড। কোনটির মাধ্যাকর্ষণ বল দুর্বল?,Option 1,বেসবল,বোলিং বল
66,এফ-১৬ এর ওজন সাধারণত ৯০৩৪ কেজি এবং জাম্বো জেটের ওজন ৪৩৯৯৮৭ কেজি। তাই এফ-১৬ ছিল?,Option 2,ধীর গতিশীল,দ্রুত গতিশীল
67,"একটি মুরগি ১৪০ সেমি/সেকেন্ড গতিতে ছুটতে পারে এবং একটি টার্কি ৪ মি/সেকেন্ড বেগে দৌড়াতে পারে। যদি দুজনেই শস্যাগার থেকে চালার দিকে দৌড়ে যায়, তাহলে সেখানে কে তাড়াতাড়ি পৌঁছাবে?",Option 2,মুরগি,টার্কি
68,একটি বাচ্চা একটি বল রোল করছে। এটি ঘাসের উপর প্রায় ৫ সেকেন্ড ঘুরতে থাকে এবং থেমে যায়। এটি কংক্রিটের আচ্ছাদিত বালিতে গড়িয়ে যায় যেখানে এটি ০.৩ ঘন্টা পরে থামে। বালি বল থামিয়েছে কারণ এতে ঘাসের চেয়ে _____ আছে?,Option 2,বেশী ঘর্ষণ,কম ঘর্ষণ
69,"জন এবং স্টিভেন একটি পরীক্ষা করার সিদ্ধান্ত নিয়েছে। তারা ৩০ গ্রাম ওজনের ইটের একটি অংশ এবং ৪০০ গ্রাম ওজনের নুড়ির গুচ্ছ নিয়ে তাদের জানালা দিয়ে ফেলে দিল, যখন তারা নীচে তাকালো তখন তারা আবিষ্কার করল যে নুড়ির বান্ডিলটি ইটের চেয়ে আগেই মেঝেতে পৌঁছেছে কারণ ইটের চেয়ে _____?",Option 1,এর ভর কম,এর ভর বেশী
70,জিম্বো জানে যে তার মার্বেলের ভর ৬ গ্রাম এবং পাথরের ভর ৪ গ্রাম। এর মানে?,Option 1,মার্বেলে বেশী মাধ্যাকর্ষণ আছে,পাথরে বেশী মাধ্যাকর্ষণ আছে
71,কেটের নৌকার প্রপেলারটি সমুদ্রে ১৩০০ ঘূর্ণন গতিতে এবং নদীতে প্রতি সেকেন্ডে ১৩০ ঘূর্ণন গতিতে চলেছিল। এর মানে কোথায় প্রপেলার কম গরম হয়?,Option 2,সাগর,নদী
72,একটি সেডানের ওজন ২৫০০ কেজি এবং একটি আবর্জনা ট্রাক যার ওজন ১০০০ কেজি ট্রাফিক লাইটের আলো সবুজ হয়ে গেলে উভয় গাড়ির বেগ প্রতি ঘণ্টায় ৫০ মাইল পর্যন্ত পৌঁছায়। কোন গাড়ি রেস জিতবে?,Option 2,সেডান,আবর্জনার ট্রাক
73,এলিয়ট লক্ষ্য করেন যে তিনি একটি হ্যান্ডকার্টকে সিমেন্টের উপর ১৯ মি/সেকেন্ড এবং কার্পেটে ২৩ মি/সেকেন্ড গতিতে ধাক্কা দিতে সক্ষম। হ্যান্ডকার্টটি কোথায় বেশী তাপ উৎপন্ন করবে?,Option 2,কার্পেটে,সিমেন্টে
74,"একটি রেস কার এবং একটি পিকআপ উভয়ই একই গতিতে হাইওয়েতে চলেছিল। রেস কারের চালক ক্লান্ত হয়ে পড়েন এবং ২৯ মিনিট পরে পার্ক করেন, যখন পিকআপের চালক ৪৩ মিনিট ধরে গাড়ি চালিয়েছিলেন। কোন গাড়িটি শেষ পর্যন্ত বেশি দূরত্ব অতিক্রম করেছে?",Option 2,রেস গাড়ী,পিকআপ
75,মার্সি তার হলুদ বলটি তার পাকা ড্রাইভওয়ের নিচে নিয়ে যাচ্ছে এবং বলটি ১৪ মিটার গড়িয়েছে। তারপর মার্সি হলুদ বলটিকে কর্দমাক্ত ফুটপাতে নামিয়ে দেয় এবং বলটি ০.২ মিটারের পরে গড়িয়ে পড়া বন্ধ করে দেয়। কর্দমাক্ত ফুটপাতে বল থেমে গেছে কারণ?,Option 1,বেশী ঘর্ষণ,কম ঘর্ষণ
76,মার্কাসের ছেলে পুল টেবিল থেকে পুল বল নিয়ে গেল ঘরের চারপাশে খেলার জন্য। ছেলেটি লক্ষ্য করলো যে পুল বলটি মার্বেল মেঝেতে ৫ মিটার এবং শ্যাগ রাগের উপর ২ মিটার দূরত্বে গড়িয়েছে। বেশী মসৃণ পৃষ্ঠ কোনটি?,Option 1,মার্বেল মেঝে,শাগ পাটি
77,একজন প্রশিক্ষক প্রতিদিন তার ঘোড়া দৌড়াতে দেখেছেন। ঘোড়াটি ৬ সেকেন্ডের মধ্যে বেশি গতিতে উঠতে সক্ষম হয়েছিল যখন কেউ তাকে চড়ছিল না এবং যখন কেউ তাকে চড়েছিল তখন এটি ১২ সেকেন্ড সময় নেয়।ঘোড়ার ওজন কম ছিল যখন?,Option 2,এর একজন রাইডার ছিল,যখন কেউ তাকে চড়ছিল না
78,"গাড়ি চালিয়ে, মেরি জানতে পেরেছিলেন যে জঙ্গলের ঘর্ষণ সহগ ০.৮, যেখানে রাস্তার সহগ ০.৪ আছে। কথা তার গাড়ি উপর দ্রুত চালানো যায়?",Option 2,জঙ্গলে,রাস্তায়
79,"ডগ তার বাড়ি থেকে তার বাইসাইকেলে বন্ধুর বাড়িতে যান এবং তিনি এক ঘন্টায় ৭ মিটার যেতে পারেন এবং যখন তিনি পায়ে হেঁটে একই ট্রিপ করেন, তখন তিনি এক ঘন্টায় ২ মাইল অতিক্রম করেন। কীভাবে ডগ তাড়াতাড়ি তার বন্ধুর বাড়িতে যাবে?",Option 1,হেঁটে,সাইকেলে
80,লিসা দুটি মডেলের রকেট নিয়ে খেলছিল। তিনি একই সময়ে রকেট দুটি আঁকাশে নিক্ষেপ করলে ৩০ সেকেন্ড পরে কালোটি মাটি থেকে ২ মিটার উপরে এবং লালটি মাটি থেকে ২৩ সেমি উপরে ছিল। কোনটির গতি বেশি ছিল?,Option 2,লালটা,কালোটা
81,মহসিন একটি পাথরের ভর এবং একটি নুড়ির ভর তুলনা করছিল। তিনি দেখতে পান যে পাথরের ভর ছিল ১২৯ পাউন্ড এবং নুড়ির ভর ছিল ১২ পাউন্ড। কোনটিতে শক্তিশালী মাধ্যাকর্ষণ আছে?,Option 1,পাথরে,নুড়িতে
82,"শিলোহ স্যান্ডপেপারের একটি অংশের উপর একটি বল রোল করে এবং লক্ষ্য করে যে বলটি ২ মিটার/সেকেন্ডে বেগে ঘূর্ণায়মান হয়, তারপরে শিলো তার বলটিকে একটি কাঁচের টুকরার উপর দিয়ে ঘুরিয়ে দেয় এবং বলটি ৫ মিটার/সেকেন্ড বেগে ঘূর্ণায়মান হয়। বল দ্রুত ঘুরল কারণ কাঁচের টুকরোয়?",Option 2,বেশী ঘর্ষণ,কম ঘর্ষণ
83,লিন্ডা এবং মেলিন্ডা একটি হ্রদ জুড়ে কায়াক করার সিদ্ধান্ত নিয়েছে। লিন্ডা এটি ৪ মিলিসেকেন্ডে লেক জুড়ে তৈরি করেছিলেন এবং মেলিন্ডা ৯৮ মিলিসেকেন্ডে এটি করেছিলেন। তাদের মধ্যে কে অন্যের মতো দ্রুত যায় নি?,Option 2,লিন্ডা,মেলিন্ডা
84,"এমিলি ছাদে একটি কলা ছুঁড়ে ফেলে এবং এটি ৫ সেমি গড়িয়ে যায়, কিন্তু যখন তিনি এটিকে পুরানো স্লাইডে ফেলে দেন, তখন এটি ১১ মিমি গড়িয়ে যায়। তিনি বুঝতে পারেন যে কম ঘর্ষণ ছিল?",Option 1,ছাদে,স্লাইডে
85,টিমের রিংটি মাঠে ৪.৫ সেন্টিমিটার এবং তার মেঝেতে ১.২ সেন্টিমিটার গড়িয়ে যায়। টিমের _____ বেশী মসৃণ।,Option 2,মেঝে,মাঠ
86,জিম ৬৭ সেমি/সেকেন্ড গতিতে দৌড়াতে পারতেন এবং তার বোন জেন ১২ সেমি/সেকেন্ড বেগে দৌড়াতে পারতেন। একটি বিপজ্জনক ভাইরাসের বিস্তার বন্ধ করার জন্য তাদের পরবর্তী শহরে কিছু জরুরি ভ্যাকসিন সরবরাহ করতে হয়েছিল। স্বল্প সময়ে সেখানে পৌঁছানোর জন্য টিকা নিয়ে কে যাওয়া উচিত?,Option 1,জিম,জেন
87,জোশ লক্ষ্য করেছেন যে তার ভাগ্নিকে (ওজন ৩৯ পাউন্ড) তার ছেলের (৩৩ পাউন্ড ওজন) তুলনায় তাকে তোলা কঠিন। তার ভাগ্নির _____ মাধ্যাকর্ষণ টান আছে?,Option 1,বেশি,কম
88,একটি গলফ বলের ভর ৫৬ গ্রাম এবং একটি বেসবলের ভর ১৮৪ গ্রাম। কোনটির দুর্বল মহাকর্ষীয় বল আছে?,Option 1,গলফবল,বেসবল
89,একটি সেডানের ওজন ৩৩৫১ পাউন্ড এবং একটি আবর্জনা ট্রাক যার ওজন ৬৪০০০ পাউন্ড ট্রাফিক লাইটে আলো সবুজ হয়ে গেলে উভয় গাড়ির বেগ প্রতি ঘণ্টায় ৫০ মাইল পর্যন্ত পৌঁছায়। কোন গাড়ি রেস জিতবে?,Option 1,সেডান,আবর্জনার ট্রাক
90,ট্যাঙ্কের সর্বোচ্চ গতি ৫ মি/সে এবং ফাইটার জেটের সর্বোচ্চ গতি ৫০ মি/সে। ধরুন তাদের দুজনকে একটি নির্দিষ্ট দূরত্ব অতিক্রম করতে হয়েছিল?,Option 1,ট্যাঙ্কটি সেই যাত্রা করতে জেটের চেয়ে বেশি সময় নেবে,ট্যাঙ্কটি সেই যাত্রা করতে জেটের চেয়ে কম সময় নেবে
91,একটি রোবট ৭ মিনিটে টাইলস এবং ১০০ সেকেন্ডে প্লাশ কার্পেট পরিষ্কার করে কারণ এটি আছে?,Option 1,বেশী ঘর্ষণ,কম ঘর্ষণ
92,"একটি মুরগি ১৪ মিটার/সেকেন্ড বেগে দৌড়াতে পারে এবং একটি টার্কি ৪ মি/সেকেন্ড বেগে দৌড়াতে পারে। যদি দুজনেই শস্যাগার থেকে চালার দিকে দৌড়ে যায়, তাহলে সেখানে কে তাড়াতাড়ি পৌঁছাবে?",Option 1,মুরগি,টার্কি
93,একই শস্যাগার থেকে দুটি ঘোড়া চড়ে বের হচ্ছে। সাদা ঘোড়া ধূসর ঘোড়ার মতোই গতিতে যাচ্ছে। ধূসর ঘোড়াটি ৯ মিনিটের জন্য ভ্রমণ করেছিল এবং সাদা ঘোড়াটি ৫ মিনিটের জন্য ভ্রমণ করেছিল। কোন ঘোড়া এগিয়ে গেল?,Option 2,সাদা ঘোড়া,ধূসর ঘোড়া
