Q No.,Premise,Hypothesis,Answer
38,ফ্রেড এবং স্যাম ৭০ মাইলেরও কম দূরে দাঁড়িয়ে আছে এবং তারা একই সময়ে একে অপরের দিকে একটি সরল রেখায় হাঁটতে শুরু করে,ফ্রেড এবং স্যাম ৫০ মাইল দূরে দাঁড়িয়ে আছে এবং তারা একই সময়ে একে অপরের দিকে একটি সরল রেখায় হাঁটতে শুরু করে,neutral
39,জোয়ানের কাছে ৮.০টি কমলা বেলুন আছে এবং তার বন্ধু তাকে ২.০টি দেয়৷,জোয়ানের কাছে এখন ৫.০ কমলা বেলুন আছে,contradiction
40,একটি জুতার দোকানে অ্যাডিডাসের জুতা প্রতিটি $৬০ এবং পুমা জুতা $৫০ প্রতিটিতে বিক্রি করে,একটি জুতার দোকানে অ্যাডিডাস জুতা প্রতিটি $১০ এবং পুমা জুতা $৫০ প্রতিটিতে বিক্রি করে,contradiction
41,"লালী শুধুমাত্র লাল, সবুজ এবং নীল খেলনা ইট ব্যবহার করে ৭ : ৩ : ১ অনুপাতে একটি টাওয়ার তৈরি করেন","লালী শুধুমাত্র লাল, সবুজ এবং নীল খেলনা ইট ব্যবহার করে ৪ : ৩ : ১ অনুপাতে একটি টাওয়ার তৈরি করেন",neutral
42,"জোন্স এলিমেন্টারির ছেলেরা যদি মোট স্কুল জনসংখ্যার x ছাত্রদের ৬০% এর কম হয়, তাহলে x কত?","জোন্স এলিমেন্টারির ছেলেরা যদি মোট স্কুল জনসংখ্যার x ছাত্রদের ২০% হয়, তাহলে x কত?",neutral
43,এর্নাকুলাম এবং চেন্নাইয়ের মধ্যে ২৪টি স্টেশন রয়েছে,এর্নাকুলাম এবং চেন্নাইয়ের মধ্যে ৪৪টি স্টেশন রয়েছে,contradiction
44,"লালী ইংরেজি, গণিত, পদার্থবিদ্যা, রসায়ন এবং জীববিদ্যায় ৩৬, ৬৫, ৮২, ৬৭ এবং ৮৫ নম্বর (১০০-এর মধ্যে) বেশি পেয়েছে","লালী ইংরেজি, গণিত, পদার্থবিদ্যা, রসায়ন এবং জীববিদ্যায় ৭৬, ৬৫, ৮২, ৬৭ এবং ৮৫ নম্বর (১০০-এর মধ্যে) পেয়েছে।",neutral
45,ফ্রেড দিনে ৮ ঘন্টা কাজ করে ৫০ দিনের মধ্যে ২ কিলোমিটার হাইওয়ে তৈরি করতে ১০০ জন লোক নিয়োগ করেছে,ফ্রেড দিনে ৮ ঘন্টা কাজ করে ৫০ দিনের মধ্যে ২ কিমি হাইওয়ে তৈরি করতে ৪০০ জন লোক নিয়োগ করেছে,contradiction
46,"৮% স্টকে ১৬২০, মাইকেল রুপি আয় করেন","৮% স্টকে ১৬২০ এর বেশি, মাইকেল রুপি আয় করেন",contradiction
47,"স্থানীয় কর্তৃপক্ষের উদ্ধৃতি দিয়ে সংবাদ প্রতিবেদনে বলা হয়েছে, কিছু কাঁচা সবজিতে ই. কোলাইয়ের কারণে ১৬ জনের মৃত্যু হয়েছে।","মিডিয়া রিপোর্টে ১৬ জন মারা গেছে প্রাদুর্ভাবের সাথে যুক্ত, যার মধ্যে ১ সুইডেনে রয়েছে",neutral
48,"যদি সনুপ খুচরা বিক্রেতার কাছে ২ টি-শার্ট ফেরত দেয়, এবং অবশিষ্ট টি-শার্টের গড় মূল্য ছিল রুপি।",যদি সানূপ খুচরা বিক্রেতার কাছে ৩টির কম টি-শার্ট ফেরত দেয় এবং অবশিষ্ট টি-শার্টের গড় মূল্য ছিল রুপি।,Entailment
49,ফ্রেড এবং স্যাম ৪০ মাইল দূরে দাঁড়িয়ে আছে এবং তারা একই সময়ে একে অপরের দিকে একটি সরল রেখায় হাঁটতে শুরু করে,ফ্রেড এবং স্যাম ২০ মাইল দূরে দাঁড়িয়ে আছে এবং তারা একই সময়ে একে অপরের দিকে একটি সরল রেখায় হাঁটতে শুরু করে,contradiction
50,"বেকারত্বের হার ৫.৪ শতাংশে নেমে আসায় নিয়োগকর্তারা আগস্ট মাসে ১৪৪,০০০টি নতুন বেতনের চাকরি তৈরি করেছেন, যা জুলাই মাসে ৫.৫ শতাংশ বেকারত্বের হারের তুলনায় একটি সামান্য উন্নতি, শ্রম বিভাগ শুক্রবার জানিয়েছে৷","শ্রম বিভাগ জানিয়েছে, গত ১২ মাসে সৃষ্ট নতুন কর্মসংস্থানের প্রতি ৫টির মধ্যে প্রায় ১টি যোগ হয়েছে এই সেক্টরে।",neutral
51,একটি রেস্তোরাঁ দুপুরের খাবারের সময় ৫.০ কেক বেক করেছিল এবং আজ রাতের খাবারের সময় ৬.০টি বিক্রি করেছিল এবং গতকাল রেস্তোরাঁটি ৩.০ কেক বেক করেছিল,২.০ কেক বাকি আছে,Entailment
52,৮৫% এর কম মুনাফা অর্জনের জন্য স্যালিকে প্রতিটি আইটেম বিক্রি করতে হবে কি?,১৫% লাভের জন্য স্যালিকে প্রতিটি আইটেম বিক্রি করতে হবে কি?,neutral
53,১৯৫৬ সালে অ্যাকার্ডো জেনেভা প্রতিযোগিতায় জয়লাভ করেন এবং ১৯৫৮ সালে জেনোয়াতে প্যাগানিনি প্রতিযোগিতায় প্রথম পুরস্কার বিজয়ী হন। তিনি একক বেহালার জন্য প্যাগানিনির বিখ্যাত ২৪টি ক্যাপ্রিসেস (১৯৯৯ সালে পুনরায় রেকর্ড করা) রেকর্ড করেছেন এবং প্যাগানিনি বেহালা কনসার্টসের ছয়টিই রেকর্ড করা প্রথম।,অ্যাকার্ডো ২৪টি ক্যাপ্রিসেস রচনা করেছে।,neutral
54,"অনুষ্ঠানটি সুপারস্টর্ম স্যান্ডি দ্বারা প্রভাবিত ১,০০০ টিরও বেশি নিউ ইয়র্কবাসীকে খাবার সরবরাহ করেছিল এবং এটি ছিল ফুড ব্যাংক ফর নিউইয়র্ক সিটি, ফিডিং আমেরিকা, ফুড নেটওয়ার্ক, কুকিং চ্যানেল এবং সাউদার্ন ওয়াইন অ্যান্ড স্পিরিটস অফ আমেরিকার মধ্যে একটি সহযোগিতামূলক প্রচেষ্টা।",৫০ সেন্ট সুপারস্টর্ম স্যান্ডি দ্বারা ক্ষতিগ্রস্ত নিউ ইয়র্কবাসীদের খাবার পরিবেশন করেছে,neutral
55,"একটি পরীক্ষায়, অমর ৭৪ শতাংশের কম, ভবন ৩৬ শতাংশ এবং চেতন ৪৪ শতাংশ নম্বর পেয়েছে।","একটি পরীক্ষায়, অমর ৬৪ শতাংশ, ভবন ৩৬ শতাংশ এবং চেতন ৪৪ শতাংশ নম্বর পেয়েছে।",neutral
56,দুই কোরিয়ার মধ্যে উত্তেজনা শুরু হওয়ার পর এই বৈঠকটি কিম ও চীনের কোনো শীর্ষ কর্মকর্তার মধ্যে প্রথম বৈঠক।,উত্তেজনার পর দুই দেশের মধ্যে এই প্রথম বৈঠক,Entailment
57,"যদি সুনীলের বয়স ৪ বছরের মধ্যে শ্যামের বয়সের চেয়ে দ্বিগুণ হয়, তাহলে সুনীলের বয়স কত?","সুনীলের বয়সের দ্বিগুণ হলে শ্যামের বয়স ২ বছরের বেশি হলে, সুনীলের বয়স কত?",Entailment
58,"যেহেতু আপনি চমৎকার, আপনি জন ৭ বেসবল কার্ড দেন","যেহেতু আপনি চমৎকার, আপনি জন কে ৭টির বেশি বেসবল কার্ড দিয়েছেন",contradiction
59,জিল স্থানীয় ডিনারে একজন পরিচারিকার কাজ করেন যেখানে তিনি প্রতি ঘন্টায় $৪.০০ মজুরি পান এবং যে অর্ডারগুলি তিনি পরিবেশন করেন তার মূল্যের ১৫% একটি আদর্শ টিপ রেট পান,জিল স্থানীয় ডিনারে একজন পরিচারিকার কাজ করেন যেখানে তিনি প্রতি ঘন্টায় $৪.০০ মজুরি পান এবং তিনি যে অর্ডারগুলি পরিবেশন করেন তার মূল্যের ৮৫% একটি স্ট্যান্ডার্ড টিপ রেট পান,contradiction
60,"ইংরেজি, বিজ্ঞান, গণিত এবং ইতিহাসে গণেশের গড় স্কোর ইংরেজি, ইতিহাস, ভূগোল এবং গণিতে তার স্কোর থেকে ৮৮-এর কম।","ইংরেজি, বিজ্ঞান, গণিত এবং ইতিহাসে গণেশের গড় স্কোর ইংরেজি, ইতিহাস, ভূগোল এবং গণিতে তার স্কোর থেকে ১৮-এর কম।",neutral
61,তদন্তকারীরা তার সম্পদে একটি মানচিত্র খুঁজে পেয়েছেন যাতে ৩৪টি অবস্থানকে লক্ষ্য হিসাবে চিহ্নিত করা হয়েছে,"তিনি বলেন, তদন্তকারীরা ম্যাককুইলিয়ামসের সম্পত্তির লক্ষ্যবস্তু হিসেবে চিহ্নিত ৩৪টি স্থান অন্তর্ভুক্ত করে এমন একটি মানচিত্র খুঁজে পেয়েছেন।",Entailment
62,একটি ট্রেন দিল্লি ছাড়ে ৯টায়,একটি ট্রেন দিল্লি ছাড়ে ৮টারও বেশি সময়,Entailment
63,৯০০০ যা তিনি এবং ডেভ ১ বছরের শেষে উপার্জন করেছেন,৪০০০ এরও বেশি যা তিনি এবং ডেভ ১ বছরের শেষে উপার্জন করেছিলেন,Entailment
64,"ফ্লাইট ৩৭০ বিষয়ে একটি তদন্ত শুরু করা হয়েছিল, মালয়েশিয়া এবং বিমান কর্তৃপক্ষ ভিডিও এবং অন্যান্য ডকুমেন্টেশন পর্যালোচনা করে শুধু যে যাত্রীরা চুরি যাওয়া পাসপোর্ট ব্যবহার করেছিল তা নয় বরং অবৈধ পাসপোর্টগুলি কীভাবে নিরাপত্তা সাফ করেছে তা শনাক্ত করার চেষ্টা করে।",নিখোঁজ মালয়েশিয়ান এয়ারলাইন্সের ফ্লাইটের দুই যাত্রী চুরি যাওয়া পাসপোর্ট নিয়ে ভ্রমণ করছিলেন,neutral
65,"২০০৩ সালে, জেফারসন হাই স্কুলে পড়া মেয়েদের সংখ্যা ছিল ছেলেদের সংখ্যার সমান","৬০০৩ সালে, জেফারসন হাই স্কুলে পড়া মেয়েদের সংখ্যা ছিল ছেলেদের সংখ্যার সমান",contradiction
66,রহিম ৪০টিরও বেশি বই কিনলেন,রহিম ৫০ টাকায় বই কিনল,neutral
67,"এই পরিকল্পনা প্রায় ৩,০০০ সেনা পাঠাতে পারে, প্রস্তাবের সাথে পরিচিত আরেক মার্কিন সামরিক কর্মকর্তা বলেছেন।","পরিকল্পনা প্রায় ৩,০০০ সৈন্য পাঠাতে পারে, সূত্র বলছে",Entailment
68,"জো যদি তার ৬ বছর বয়সী যমজ ভাইদের সাথে যায়, এবং তারা প্রত্যেকে মোট ৩টি রাইড নিয়েছিল","জো যদি তার ১ বছরের বেশি বয়সী যমজ ভাইদের সাথে যায়, এবং তারা প্রত্যেকে মোট ৩টি রাইড নিয়েছিল",Entailment
69,"এন' বছর শেষে, স্যান্ডি আসল বিনিয়োগের ৫ গুণ ফেরত পেয়েছে","এন' বছর শেষে, স্যান্ডি মূল বিনিয়োগের ৩ গুণেরও বেশি ফেরত পেয়েছে",Entailment
70,"হংকং (সিএনএন) -- চীনের পুলিশ একটি নিষিদ্ধ ধর্মীয় গোষ্ঠীর প্রায় ১,০০০ সন্দেহভাজন সদস্যকে গ্রেপ্তার করেছে, রাষ্ট্রীয় গণমাধ্যম জানিয়েছে।",চীনে নিষিদ্ধ একটি ধর্মীয় গোষ্ঠীর প্রায় এক হাজার সদস্যকে গ্রেপ্তার করা হয়েছে,Entailment
71,স্যালির ৯.০টি কমলা বেলুন এবং ৪.০টি নীল বেলুন রয়েছে এবং তিনি আরও ২.০টি কমলা বেলুন খুঁজে পেয়েছেন,স্যালি এখন ১৩.০ কমলা বেলুন আছে,contradiction
72,"পিনো বলেন, দাগযুক্ত ঈগল রশ্মির ওজন প্রায় ৭৫ থেকে ৮০ পাউন্ড এবং এর ডানা ৬-ফুট ছিল।","দাগযুক্ত ঈগল রশ্মির ওজন ৭৫ থেকে ৮০ পাউন্ড, কর্মকর্তা বলেছেন",Entailment
73,"অভিযুক্তদের মধ্যে এমএস-১৩-এর ১৫৮ জন সদস্য এবং সহযোগী রয়েছে, অন্য ১০৫ জন অন্য গ্যাংয়ের সাথে জড়িত বলে অভিযোগ রয়েছে।","গ্যাং সুইপ কুখ্যাত এমএস-১৩ গ্যাং এর ১৫৮ সদস্য ও সহযোগীদের গ্রেফতার করেছে, অন্যদের মধ্যে",Entailment
74,"ডেভিড ইংরেজি , গণিত , পদার্থ বিজ্ঞান , রসায়ন এবং জীববিদ্যায় ৫৬ , ৬৫ , ৮২ , ৬৭ এবং ৮৫ নম্বর ( ১০০ এর মধ্যে ) বেশি পেয়েছে তার গড় নম্বর কত?","ডেভিড ইংরেজি, গণিত, পদার্থবিদ্যা, রসায়ন এবং জীববিদ্যায় ৭৬, ৬৫, ৮২, ৬৭ এবং ৮৫ নম্বর (১০০-এর মধ্যে) পেয়েছে। তার গড় নম্বর কত?",neutral
75,পল ৮২ সেকেন্ডেরও কম সময়ে কোর্সের প্রথম লেগ চালান,পল কোর্সের প্রথম লেগ ২২ সেকেন্ডে চালান,neutral
76,"শ্রীনিবাস সপ্তাহের প্রথম দিনে ৪-এর বেশি একটি কয়েন, সপ্তাহের দ্বিতীয় দিনে ৫-এর তিনটি কয়েন সংরক্ষণ করেন। তৃতীয় দিনে ৫ এর পাঁচটি মুদ্রা ইত্যাদি","শ্রীনিবাস প্রথম দিনে ৫ টাকার একটি কয়েন সংরক্ষণ করেন
সপ্তাহ, সপ্তাহের দ্বিতীয় দিনে ৫ এর তিনটি কয়েন।
তৃতীয় দিনে ৫ এর পাঁচটি মুদ্রা ইত্যাদি",neutral
77,"প্রতি সপ্তাহে, হ্যারিকে প্রথম ১৮ ঘন্টার জন্য প্রতি ঘন্টা x ডলার এবং সেই সপ্তাহে কাজ করা প্রতিটি অতিরিক্ত ঘন্টার জন্য ১.৫ x ডলার প্রদান করা হয়","প্রতি সপ্তাহে, হ্যারিকে প্রথম ৬৮ ঘন্টার কম সময়ের জন্য প্রতি ঘন্টা x ডলার এবং সেই সপ্তাহে কাজ করা প্রতিটি অতিরিক্ত ঘন্টার জন্য ১.৫ x ডলার প্রদান করা হয়।",Entailment
78,"ওভারল্যান্ড পার্ক, কানসাস (সিএনএন) -- কানসাসের দুটি ইহুদি-অনুষঙ্গিক স্থাপনায় তিনজনকে হত্যার অভিযোগে অভিযুক্ত ব্যক্তি তার বর্ণবাদী দৃষ্টিভঙ্গি গোপন করেননি, সংবাদপত্রে চিঠি লিখেছিলেন এবং তার বাড়িতে শ্বেতাঙ্গ-আধিপত্যবাদী সভায় লোকদের আমন্ত্রণ জানিয়েছিলেন, তারা বলে যারা তাকে চিনত।",ক্রসের বিরুদ্ধে দুটি ইহুদি-অনুষঙ্গিক স্থাপনায় তিনজনকে হত্যার অভিযোগ রয়েছে,neutral
79,"ভিক্টরের আছে ১৫ কাপ যদি ময়দা, ১৬ কাপ চিনি এবং ৮ কাপ দুধ","ময়দা, ১৬ কাপ চিনি এবং ৮ কাপ দুধ থাকলে ভিক্টরের ৬৫ কাপের কম",Entailment
80,"২০০০ এর কম, ইসাবেলার রাজধানী কি?","১০০০, ইসাবেলার রাজধানী কি?",neutral
81,"আমেরিকার নিঃসঙ্গতম রাস্তা, ইউএস রুট ৫০, নেভাদা","ইউএস রুট ৫০ এর নেভাদা প্রসারিত ""আমেরিকাতে একাকী রাস্তা"" নামে ডাকা হয়েছে",Entailment
82,কিন্তু ভেটেল মাঠে গর্জন করে ষষ্ঠ স্থান অর্জন করে এবং শিরোপা প্রতিদ্বন্দ্বী ফার্নান্দো আলোনসোকে তিন পয়েন্টে অস্বীকার করে দ্বিতীয় স্থানে থাকা স্প্যানিয়ার্ড রেস শেষ করে।,ফার্নান্দো আলোনসো দ্বিতীয় স্থানে রয়েছেন এবং তিন পয়েন্ট হারিয়েছেন,neutral
83,"ফাইজার কাছে ৫টির বেশি পার্স রয়েছে, সে উপহার হিসেবে ৩টি পার্স দিয়েছে","ফাইজার ৭টি পার্স আছে, সে উপহার হিসেবে ৩টি পার্স দেয়",neutral
84,"যদি দ্রাবিড় টুলটি ভাড়া দেওয়ার জন্য বিক্রয় কর বাদ দিয়ে মোট $ ৮৮ এর কম দেন, তাহলে তিনি কত ঘণ্টার জন্য ভাড়া নিয়েছেন?","দ্রাবিড় যদি টুলটি ভাড়া দেওয়ার জন্য বিক্রয় কর ব্যতীত মোট $ ৩৮ পরিশোধ করেন, তাহলে তিনি কত ঘণ্টার জন্য ভাড়া নিয়েছেন?",neutral
85,আয়েশার বাবার বয়স ৬০ বছরের কম ছিল যখন তিনি জন্মগ্রহণ করেছিলেন এবং তার মায়ের বয়স ছিল ৩২ বছর যখন তার ভাই তার থেকে ছয় বছরের ছোট জন্মগ্রহণ করেছিলেন,আয়েশার বাবার বয়স ছিল ৪০ বছর যখন তিনি জন্মগ্রহণ করেন এবং তার মায়ের বয়স ছিল ৩২ বছর যখন তার ভাই তার থেকে ছয় বছরের ছোট জন্মগ্রহণ করেন,neutral
86,"সিটি এ থেকে সিটি বি পর্যন্ত গাড়ি চালানোর সময়, কারা প্রতি ঘন্টায় ৩০ মাইল গতিতে গাড়ি চালায়","সিটি এ থেকে সিটি বি পর্যন্ত গাড়ি চালানোর সময়, ক্যারা প্রতি ঘন্টায় ৩০ মাইলেরও কম গতিতে গাড়ি চালায়",contradiction
87,অ্যাঞ্জেলার গ্রেড তার ক্লাসে ৮০ গ্রেডের মধ্যে ৪০ তম পার্সেন্টাইলের বেশি ছিল,অ্যাঞ্জেলার গ্রেড তার ক্লাসে ৮০ গ্রেডের মধ্যে ৯০ তম পার্সেন্টাইলে ছিল,neutral
88,কিম একটি কাজ ১ দিনের বেশি করতে পারে যখন ডেভিড একই কাজ ২ দিনে করতে পারে,কিম একটি কাজ ৩ দিনে করতে পারে যখন ডেভিড একই কাজ ২ দিনে করতে পারে,neutral
