Q No.,Question,Answer,option1,option2
142,एक रेस का घोड़ा और एक घोड़ा गाड़ी दोनों एक ही समय पर सैलून से निकलते हैं। घोड़ा गाड़ी की गति २१ मी/से और रेस के घोड़े की गति ३४ मी/से है। अगले शहर में कौन बाद में पहुँचेगा?,Option 1,घोड़ा गाड़ी को अगले शहर पहुँचने में अधिक समय लगेगा,रेस के घोड़े को अगले शहर पहुँचने में अधिक समय लगेगा
382,टॉड सोमवार को अपनी गाड़ी में बैठता है और १२ घंटे गाड़ी चलाता है। वह मंगलवार को भी वही करता है लेकिन उस दिन ९ घंटे बाद रुक जाता है। किस दिन वह कम दूर जाएगा?,Option 2,सोमवार,मंगलवार
56,ब्यूटी क्वीन संगमरमर के फर्श पर १५ मीटर/सेकंड की गति से चली लेकिन लकड़ी के फर्श पर १००० सेमी/सेकंड की गति से चली क्योंकि वह था?,Option 1,अधिक प्रतिरोधी,कम प्रतिरोधी
77,एक प्रशिक्षक ने प्रतिदिन अपने घोड़े को दौड़ते देखा। घोड़ा ६ सेकंड में अधिक गति पकड़ सका जब कोई उस पर सवार नहीं था और जब कोई उस पर सवार था तब उसे १२ सेकंड लगे। घोड़े का वज़न कम था जब?,Option 2,उस पर एक सवार था,जब कोई उस पर सवार नहीं था
26,१२३४५६७८०९० से ९८७६५४३२१ संख्या?,Option 1,छोटी है,बड़ी है
83,लिंडा और मेलिंडा ने एक झील के आर-पार कयाक चलाने का निर्णय लिया। लिंडा ने ४ मिलीसेकंड में झील पार की और मेलिंडा ने ९८ मिलीसेकंड में। इनमें से कौन दूसरे जितनी तेज़ नहीं गई?,Option 2,लिंडा,मेलिंडा
383,"जॉन और रीता दौड़ रहे हैं। रीता थक जाती है और ४५ मिनट जॉगिंग करने के बाद पार्क की बेंच पर आराम करती है। जॉन पार्क में ३८ मिनट से दौड़ रहा है, कौन अधिक दौड़ा?",Option 2,जॉन,रीता
149,"टेड पार्क में अपनी बाइक चला रहा था। जब वह सीमेंट के रास्ते पर था, तब वह २८ मिनट में पार्क का चक्कर लगा सका और घास पर उसे १७ मिनट लगे। बाइक कहाँ अधिक गर्म होगी?",Option 1,सीमेंट के रास्ते पर,घास पर
182,टीना अपने दो कुत्तों की दौड़ करा रही है। ग्रेहाउंड का वज़न ६० पाउंड और रॉटवीलर का वज़न १०० पाउंड है। कौन अधिक तेज़ जा सकेगा?,Option 2,रॉटवीलर,ग्रेहाउंड
23,२२२२२२२ से ५५५५५५ संख्या?,Option 2,बड़ी है,छोटी है
174,मैं एक गाड़ी में ३९ सेमी/सेकंड की गति से और साइकिल पर २ मी/सेकंड की गति से यात्रा कर सकता हूँ। कौन-सा धीमा है?,Option 2,साइकिल,गाड़ी
47,"एक ट्रेन कंडक्टर एक ट्रैक से मिट्टी पर पहियों का रास्ता बदलकर देखता है कि वह ५८ कि.मी./घंटा की गति से यात्रा कर रहा है, जबकि उतनी ही ऊर्जा से वह ३९ कि.मी./घंटा की गति से यात्रा कर रहा है। कौन-सा अधिक चिकना था?",Option 2,ट्रैक,मिट्टी
322,एक झींगुर एक सेकंड में १५ मीटर और एक मुर्गी एक सेकंड में ७८ मीटर पार कर सकती है। यदि दोनों एक ही यात्रा करें तो कौन बाद में पहुँचेगा?,Option 2,मुर्गी,झींगुर
339,"केट सिनेमा में है और गलती से अपना कप फर्श पर गिरा देती है। कप कंक्रीट के फर्श पर ४ सेकंड में लुढ़कता है जो ३ मीटर लंबा है, लेकिन कार्पेट वाले फर्श से टकराने के बाद वह ७ सेकंड में २ मीटर जाता है। कप कंक्रीट के फर्श पर तेज़ था क्योंकि कंक्रीट के फर्श पर था?",Option 2,अधिक घर्षण,कम घर्षण
71,केट की नाव का प्रोपेलर समुद्र में १३०० चक्कर की गति से और नदी में प्रति सेकंड १३० चक्कर की गति से चला। इसका मतलब प्रोपेलर कहाँ कम गर्म होता है?,Option 2,समुद्र,नदी
375,केविन ने न्यूयॉर्क से शिकागो के लिए ०८:०० बजे एक विमान लिया और एस्थर ने ०७:०० बजे न्यूयॉर्क से लॉस एंजेलेस जाने वाला एक विमान लिया। दोनों एक ही प्रकार के विमान से यात्रा कर रहे हैं इसलिए उनकी यात्रा की गति एक ही है। दोनों एक ही समय पर अपने गंतव्य पर पहुँच गए। किसने अधिक समय यात्रा की?,Option 2,केविन,एस्थर
40,मोहित एक दुकान से २० रुपये में ६ केले खरीद लाया। लेकिन राजू ने दूसरी दुकान से २ दर्जन केले ७२ रुपये में खरीदे। केले खरीदने में किसने अधिक रुपये दिए?,Option 2,राजू,मोहित
224,"एक रेस कार और एक पिकअप दोनों एक ही गति से हाईवे पर चल रही थीं। रेस कार का चालक थककर ५ मिनट बाद पार्क कर देता है, जबकि पिकअप का चालक १० मिनट तक चलाता रहा। अंत में किस वाहन ने अधिक दूरी तय की?",Option 2,रेस कार,पिकअप
173,"जो रात में शहर लौट रहा है। १४ किमी दूर से जो शहर के पास २.५ किमी की दूरी पर पहुँचे, तो उसे शहर की बत्तियाँ और _____ लगेंगी।",Option 2,धुँधली,चमकदार
31,मेरे घर से १०० फुट की दूरी से पुलिस का सायरन मेरे घर से १७५ फुट की दूरी पर चले जाने से सायरन की आवाज़?,Option 2,बढ़ गई,कम हो गई
153,"बॉब स्ट्रीट लाइट से २९० सेमी दूर था। वह थोड़ा हट गया और अब वह १५ मीटर दूर है, उसने देखा कि बत्ती _____ दिख रही है?",Option 2,चमकदार,धुँधली
125,कार्यस्थल तक गाड़ी से जाने में २ घंटे और बस से जाने में ४ घंटे लगते हैं। कौन-सी गाड़ी अधिक गति से चलती है?,Option 2,बस,कार
295,"मैमथ पानी के गड्ढे में से १८ किमी प्रति घंटे की गति से चला, लेकिन कठोर मिट्टी पर २७ किमी प्रति घंटे की गति से चला क्योंकि कठोर मिट्टी थी?",Option 1,कम प्रतिरोधी,अधिक प्रतिरोधी
256,"मिट्टी पर लुढ़कता एक कंचा ५ न्यूटन का प्रतिरोध उत्पन्न करता है, जबकि रेत पर यह १७ न्यूटन का प्रतिरोध उत्पन्न करता है। कंचा कहाँ अधिक दूर जा सकेगा?",Option 2,रेत,मिट्टी
79,"डग अपने घर से अपनी साइकिल पर दोस्त के घर जाता है और वह एक घंटे में ७ मीटर जा सकता है, और जब वह पैदल वही यात्रा करता है, तो वह एक घंटे में २ मील पार करता है। डग जल्दी अपने दोस्त के घर कैसे पहुँचेगा?",Option 1,पैदल,साइकिल से
102,एक बिलियर्ड बॉल का द्रव्यमान ६ औंस और बास्केटबॉल का द्रव्यमान ०.५ औंस है। किस गेंद का गुरुत्वाकर्षण क्षेत्र अधिक है?,Option 1,बिलियर्ड बॉल,बास्केटबॉल
32,बाल के एक टुकड़े का व्यास ०.०६ मि.मी. है जबकि एक रस्सी का व्यास ११ मि.मी. है। इसलिए बाल?,Option 2,मज़बूत है,कमज़ोर है
353,एक बाज़ को अपना भोजन पाने में ६००० नैनोसेकंड लगते हैं और एक स्लॉथ को १०० मिलीसेकंड लगते हैं। क्यों?,Option 2,बाज़ स्लॉथ से तेज़ है,बाज़ स्लॉथ से धीमा है
269,रॉड अपने कुत्ते की ओर एक गेंद लुढ़का रहा था। वह सीमेंट पर १२ मीटर की दूरी तक और घास पर १० मीटर की दूरी तक गेंद लुढ़का सका। तो क्या सीमेंट है?,Option 2,खुरदरा,चिकना
395,"एक काउबॉय और एक हिप्पी दोनों सैन फ्रांसिस्को में चल रहे थे, और एक ही ऊँचाई के होने के कारण वे एक ही गति से चल रहे थे। लेकिन काउबॉय भोर में उठा और ५ बजे चलना शुरू किया जबकि हिप्पी ने दोपहर १ बजे चलना शुरू किया। अब शाम के ७ बजे हैं, यानी?",Option 2,काउबॉय ने कम दूरी तय की है,हिप्पी ने कम दूरी तय की है
74,"एक रेस कार और एक पिकअप दोनों एक ही गति से हाईवे पर चल रही थीं। रेस कार का चालक थक गया और २९ मिनट बाद पार्क कर दिया, जबकि पिकअप का चालक ४३ मिनट तक गाड़ी चलाता रहा। अंत में किस गाड़ी ने अधिक दूरी तय की?",Option 2,रेस कार,पिकअप
321,मेरी की डोंगी खुले समुद्र में ४ मील की तुलना में खाड़ी में ईंधन खत्म होने से पहले १० मील की दूरी तय कर सकती है। इसका मतलब यह है कि _____ अधिक खुरदरा है?,Option 2,खाड़ी,खुला समुद्र
141,एक ही अस्तबल से दो घोड़े निकल रहे हैं। सफेद घोड़ा धूसर घोड़े जितनी ही गति से जा रहा है। धूसर घोड़े ने १ घंटा ३० मिनट यात्रा की और सफेद घोड़े ने ३ घंटे ४८ मिनट यात्रा की। कौन-सा घोड़ा अधिक दूर गया?,Option 1,सफेद घोड़ा,धूसर घोड़ा
6,जॉन १० इंच मोटी बर्फ और एक इंच मोटी बर्फ पर खड़ा है। किस बर्फ के टूटने की संभावना सबसे कम है?,Option 1,१० इंच मोटी बर्फ,१ इंच मोटी बर्फ
46,दो बर्तनों में कुछ पानी है। एक में पानी के साथ सोडियम क्लोराइड और दूसरे में पानी के साथ सल्फ्यूरिक एसिड मिला हुआ है। यहाँ कौन-सा मिश्रित पानी पीना सुरक्षित है?,Option 2,सल्फ्यूरिक एसिड मिला पानी,सोडियम क्लोराइड वाला पानी
389,"दो विमान एक ही एयरफील्ड से उड़ान भरते हैं और ऊँचाई पर पहुँचकर एक ही वेग से उड़ते हैं। लाल विमान ५७ मिनट उड़कर पास के एक शहर में उतर जाता है, जबकि हरा विमान ३८ मिनट उड़ान में रहता है और उससे पहले के शहर में उतरता है। इसका मतलब क्या है?",Option 1,लाल विमान अधिक दूरी तक उड़ा,हरा विमान अधिक दूरी तक उड़ा
247,खरपतवार में से लुढ़कते समय मेरी की वैगन ३७ डिग्री सेल्सियस तापमान तक गर्म होती है और कंकड़ों में से लुढ़कते समय १११.३ डिग्री फ़ारेनहाइट तक। इसका मतलब उसकी वैगन धीमी गति से चलने को कहाँ मजबूर होती है?,Option 2,खरपतवार,कंकड़
228,एफ-१६ का वज़न आमतौर पर ३४७८६ पाउंड होता है और जंबो जेट का वज़न ४३९९८७ किलो होता है। इसलिए एफ-१६ था?,Option 2,धीमी गति वाला,तेज़ गति वाला
370,एक गोल्फ बॉल का द्रव्यमान ७८ ग्राम और एक बेसबॉल का द्रव्यमान ०.१५९ किग्रा है। किसका तुलनात्मक रूप से कमज़ोर गुरुत्वीय क्षेत्र है?,Option 1,गोल्फ बॉल का,बेसबॉल का
177,यदि एक ट्रेन ०.४ किमी प्रति घंटे और एक बाइक ०.१२ किमी प्रति घंटे की गति से चले तो बाइक जाएगी?,Option 2,अधिक दूरी,कम दूरी
290,"दो विमान एक ही एयरफील्ड से उड़ान भरते हैं और ऊँचाई पर पहुँचकर एक ही वेग से उड़ते हैं। लाल विमान ४२ मिनट उड़कर पास के एक शहर में उतर जाता है, जबकि हरा विमान १९ मिनट और उड़ता रहता है और अधिक दूर अगले शहर में उतरता है। इसका मतलब क्या है?",Option 2,लाल विमान अधिक दूरी तक उड़ा,हरा विमान अधिक दूरी तक उड़ा
4,पृथ्वी का सबसे तेज़ थल प्राणी चीता एक खरगोश के विरुद्ध १०० मीटर की दौड़ लगा रहा था। इस दौड़ में कौन जीतेगा?,Option 1,चीता,खरगोश
19,१२३४५६७८९० संख्या ९८७६५४३२१० संख्या से?,Option 1,छोटी है,बड़ी है
203,खरपतवार में से लुढ़कते समय मेरी की वैगन ४० डिग्री सेल्सियस तापमान तक और कंकड़ों में से लुढ़कते समय ५० डिग्री सेल्सियस तापमान तक पहुँचती है। इसका मतलब उसकी वैगन धीमी गति से लुढ़कने को कहाँ मजबूर होती है?,Option 2,खरपतवार,कंकड़
251,"एक वॉलीबॉल खिलाड़ी ने जिम के फर्श पर १.२ मीटर की छलांग लगाई, लेकिन समुद्र किनारे रेत की तुलना में ८ सेमी अधिक छलांग लगाई। क्योंकि वह था?",Option 2,अधिक प्रतिरोधी,कम प्रतिरोधी
275,लिंडा और मेलिंडा ने एक झील के आर-पार कयाक चलाने का निर्णय लिया। लिंडा ने ४००० मिलीसेकंड में झील पार की और मेलिंडा ने २ सेकंड में। इनमें से कौन दूसरे जितनी तेज़ नहीं गई?,Option 1,लिंडा,मेलिंडा
64,एक रेस का घोड़ा और एक घोड़ा गाड़ी दोनों एक ही समय पर सैलून से निकलते हैं। घोड़ा गाड़ी ८ मीटर जा सकती है और रेस का घोड़ा उतने ही समय में १९ मीटर जा सकता है। अगले शहर में कौन बाद में पहुँचेगा?,Option 1,घोड़ा गाड़ी को अगले शहर पहुँचने में अधिक समय लगेगा,रेस के घोड़े को अगले शहर पहुँचने में अधिक समय लगेगा
249,"डायना और डेव एक ही स्टेशन से चढ़ने के बाद एक ही ट्रेन में सवार हुए। यदि डायना ७५ मिनट बाद ट्रेन से उतर जाए और डेव ८८ मिनट यात्रा करके फिर उतरे, तो किसने कम दूरी की यात्रा की?",Option 1,डायना,डेव
302,मेरी के पास एक बिल्ली है जिसके साथ वह खेलना पसंद करती है। कभी-कभी वह बिल्ली के खिलौने को फर्श पर खींचती है ताकि बिल्ली उसका पीछा कर सके। जब वह बिल्ली के खिलौने को खेल के कमरे के फर्श पर खींचती है तो वह ४९ सेंटीमीटर की दूरी तक जाता है। जब वह उसे रम्पस रूम के फर्श पर खींचती है तो वह २१ सेंटीमीटर खिसकता है। कौन-सा अधिक चिकना है?,Option 1,खेल के कमरे का फर्श,रम्पस रूम का फर्श
109,जिम रायट सर्वर से १० मील दूर रहता है। रजनी रायट सर्वर से २००० मील दूर रहती है। दोनों की इंटरनेट स्पीड एक ही है। किसका पिंग अधिक होगा?,Option 2,जिम,रजनी
91,एक रोबोट ७ मिनट में टाइलें और १०० सेकंड में प्लश कार्पेट साफ करता है क्योंकि उसमें है?,Option 1,अधिक घर्षण,कम घर्षण
234,एक भूरा चूहा और एक काला चूहा दोनों ५० फुट की सुरंग में से जितनी तेज़ी से हो सके दौड़ते हैं। काला चूहा १८ सेकंड में दूसरे छोर पर पहुँचा और भूरा चूहा ४५ सेकंड में सुरंग पार कर गया। कौन-सा चूहा अधिक तेज़ नहीं दौड़ सकता?,Option 1,भूरा चूहा,काला चूहा
336,"यदि सारा और जेनी दोनों एक ही गति से दौड़ें, सारा ४८ मिनट दौड़ती है और जेनी सारा से ५६ मिनट अधिक दौड़ती है, तो किसने अधिक दूर यात्रा की?",Option 2,सारा,जेनी
119,महेश का सिक्का उसकी सिरेमिक प्लेट पर २ सेमी/मिनट की गति से और कागज़ की प्लेट पर १ सेमी/मिनट की गति से घूमता प्रतीत होता है। इसका मतलब उसका सिक्का कहाँ अधिक गर्म हो जाता है?,Option 1,कागज़ की प्लेट,सिरेमिक प्लेट
221,शेरी अपनी गेंद को दो लेनों में लुढ़काती है। गेंद लाल लेन में ३२ मी/से की गति से और हरी लेन में २७ मी/से की गति से चलती है। गेंद की गति लाल लेन में अधिक क्यों है?,Option 2,अधिक घर्षण,कम घर्षण
181,"यदि एक नाव की गति ४ मीटर/सेकंड और एक पनडुब्बी की गति ४७ मीटर/सेकंड हो, तो किस जलयान को एक ही यात्रा करने में अधिक समय लगेगा?",Option 1,नाव,पनडुब्बी
315,एक तैराक ५ मिनट में एक झील पार करता है और ३० सेकंड में गीली कीचड़ पार करता है। कौन-सी कम चिकनी है?,Option 1,झील,गीली कीचड़
374,"मीता और रीता दौड़ रही हैं। रीता थक जाती है और २५ मिनट जॉगिंग करने के बाद पार्क की बेंच पर आराम करती है। मीता पार्क में ३५ मिनट से दौड़ रही है, कौन अधिक दौड़ी?",Option 1,मीता,रीता
381,जिम सर्वर से ३७ मील दूर रहता है। रजनी सर्वर से ६८०० मील दूर रहती है। दोनों की इंटरनेट स्पीड एक ही है। किसका पिंग अधिक होगा?,Option 2,जिम,रजनी
240,एक तैराक १२ मिनट में एक झील पार करता है और ३१ मिनट में गीली कीचड़ पार करता है क्योंकि _____ अधिक चिकनी है?,Option 1,झील,गीली कीचड़
76,मार्कस का बेटा पूल टेबल से पूल बॉल लेकर घर के चारों ओर खेलने चला गया। लड़के ने देखा कि पूल बॉल संगमरमर के फर्श पर ५ मीटर और शैग रग (रोएँदार कालीन) पर २ मीटर की दूरी तक लुढ़की। अधिक चिकनी सतह कौन-सी है?,Option 1,संगमरमर का फर्श,शैग रग
248,महेश एक लालटेन से ४० सेमी और एक स्ट्रीट लाइट से ८९ सेमी की दूरी पर खड़ा है। कौन-सा प्रकाश स्रोत उसे अधिक चमकदार लगता है?,Option 1,लालटेन,स्ट्रीट लाइट
111,"बिल ३०० ग्राम द्रव्यमान का एक छोटा पत्थर और ४०० ग्राम द्रव्यमान का एक कंकड़ फेंकता है। कंकड़ पत्थर से तेज़ गिरता है, इसका मतलब?",Option 1,उसका वज़न अधिक है,उसका वज़न कम है
17,१२३४५६ संख्या ९८७६५४ संख्या से?,Option 2,बड़ी है,छोटी है
67,"एक मुर्गी १४० सेमी/सेकंड की गति से दौड़ सकती है और एक टर्की ४ मी/सेकंड की गति से दौड़ सकता है। यदि दोनों अस्तबल से छप्पर की ओर दौड़ें, तो वहाँ कौन जल्दी पहुँचेगा?",Option 2,मुर्गी,टर्की
154,जिम १ इंच चौड़ाई का एक मोटा कवच पहनता है। जैक केवल ३ सेंटीमीटर की एक सूती शर्ट पहनता है। कौन-सा एक गोली रोकेगा?,Option 1,कवच,शर्ट
