Q No.,Premise,Hypothesis,Answer
372,मार्टिन को अपनी ९वीं कक्षा की परीक्षा में उत्तीर्ण होने के लिए ८०% अंक पाने होंगे। उसने २०० अंक पाए और २०० अंकों से फेल हो गया। अधिकतम अंक कितने हैं?,मार्टिन को अपनी ९वीं कक्षा की परीक्षा में उत्तीर्ण होने के लिए १०% से अधिक अंक पाने होंगे। उसने २०० अंक पाए और २०० अंकों से फेल हो गया। अधिकतम अंक कितने हैं?,Entailment
263,"जनरल डायनेमिक्स, लैंड कॉम्बैट सिस्टम, युद्धपोत और गल्फस्ट्रीम बिजनेस जेट निर्माता, ने तीसरी तिमाही में $३७४m या $१.८४ प्रति शेयर की शुद्ध आय की जानकारी दी।",जनरल डायनेमिक्स को $ ३७४ मिलियन की हानि होती है।,neutral
127,"रेणु एक काम ८ दिनों में कर सकती है, लेकिन अपनी सहेली सुमा की मदद से, वह ३ दिनों में कर सकती है","रेणु एक काम ७ दिनों से अधिक में कर सकती है, लेकिन अपनी सहेली सुमा की मदद से वह काम ३ दिनों में कर सकती है।",Entailment
250,"एफ्रिडा और फ्रेज़र जो ५३ मील से कम दूरी पर रहते हैं, एक रेस्तराँ में मिलते हैं जो एफ्रिडा के घर के उत्तर में और सीधे फ्रेज़र के घर के पूर्व में स्थित है","एफ्रिडा और फ्रेज़र जो १३ मील दूर रहते हैं, एक रेस्तराँ में मिलते हैं जो एफ्रिडा के घर के उत्तर में और फ्रेज़र के घर के सीधे पूर्व में है",neutral
300,"माइक ने ७.० सेब तोड़े, नैन्सी ने ३.० सेब तोड़े, लेकिन कीथ ने फार्म पर ६.० सेब और ४.० नाशपाती खा लिए।",४.० सेब बचे हैं,Entailment
94,५ साल बाद अरुण की आयु २५ वर्ष होगी,७ साल बाद अरुण की आयु २५ वर्ष होगी,contradiction
421,मोहन ने ५० रुपये में किताबें खरीदीं,मोहन ने रुपयों में ८० किताबें खरीदीं,contradiction
78,"ओवरलैंड पार्क, कैनसस (सीएनएन) -- कैनसस के दो यहूदी-संबद्ध प्रतिष्ठानों में तीन लोगों की हत्या के आरोपी व्यक्ति ने अपने नस्लवादी विचार नहीं छिपाए, अखबारों में चिट्ठियाँ लिखीं और अपने घर में श्वेत-वर्चस्ववादी सभाओं में लोगों को आमंत्रित किया, ऐसा वे लोग कहते हैं जो उसे जानते थे।",क्रॉस पर दो यहूदी-संबद्ध प्रतिष्ठानों में तीन लोगों की हत्या का आरोप है,neutral
342,६ लड़कों और ४ लड़कियों के एक समूह में से ४ लोगों की एक समिति बनानी है,६ से कम लड़कों और ४ लड़कियों के एक समूह में से ४ लोगों की एक समिति बनानी है,contradiction
315,८ साल पहले जेसन १२ गुना बड़ा था,८ साल से भी अधिक पहले जेसन १२ गुना बड़ा था,contradiction
318,"ओल्मर्ट को विश्वासघात के लिए दोषी ठहराया गया था, लेकिन भ्रष्टाचार से जुड़े दो आरोपों से उन्हें बरी कर दिया गया था।",उन्हें विश्वासघात के लिए दोषी ठहराया गया है और दो भ्रष्टाचार-संबंधी आरोपों से बरी किया गया है,Entailment
422,उसी समय जॉयस उसी इमारत की ८१वीं मंज़िल पर एक लिफ्ट में चढ़ती है और प्रति मिनट ७८ मंज़िल की गति से चलती है,उसी समय जॉयस उसी इमारत की ६१वीं मंज़िल पर एक लिफ्ट में चढ़ती हैं और प्रति मिनट ७८ मंज़िल की गति से नीचे उतरती हैं,neutral
219,"एडम्स का इंटरनेट प्रदाता असीमित ट्रैफिक ऑफर करता है जिसकी लागत प्रतिदिन $०.५ है, चार्ज बंद ४२ a से कम","एडम्स का इंटरनेट प्रदाता असीमित ट्रैफिक ऑफर करता है जिसकी लागत $०.५ प्रति दिन है, चार्ज बंद १२ पर",neutral
149,अलका ने १५ किताबें खरीदीं,अलका ने रुपयों में ७५ से कम किताबें खरीदीं,Entailment
79,"विक्टर के पास १५ कप मैदा, १६ कप चीनी और ८ कप दूध है","मैदा, १६ कप चीनी और ८ कप दूध हो तो विक्टर के पास ६५ कप से कम है",Entailment
74,"डेविड ने अंग्रेज़ी, गणित, भौतिकी, रसायन और जीव विज्ञान में ५६, ६५, ८२, ६७ और ८५ अंकों (१०० में से) से अधिक पाए। उसके औसत अंक कितने हैं?","डेविड ने अंग्रेज़ी, गणित, भौतिकी, रसायन और जीव विज्ञान में ७६, ६५, ८२, ६७ और ८५ अंक (१०० में से) पाए। उसके औसत अंक कितने हैं?",neutral
34,"जैसमीन के पास दो स्लॉट वाला एक टोस्टर है जो एक बार में प्रत्येक ब्रेड का एक तरफ टोस्ट करता है और ऐसा करने में एक मिनट लगता है। यदि वह टोस्ट के ३ टुकड़े बनाना चाहे, तो उन्हें दोनों तरफ टोस्ट करने में उसे न्यूनतम कितना समय लगेगा?","जैसमीन के पास दो स्लॉट वाला एक टोस्टर है जो एक बार में प्रत्येक ब्रेड का एक तरफ टोस्ट करता है और ऐसा करने में एक मिनट लगता है। यदि वह ३ टुकड़ों से अधिक टोस्ट बनाना चाहे, तो उन्हें दोनों तरफ टोस्ट करने में उसे न्यूनतम कितना समय लगेगा?",contradiction
117,मेलानी ने बगीचे से ७.० आलूबुखारे और ४.० संतरे तोड़े और सैम ने उसे ३.० आलूबुखारे दिए,उसके पास अब १४.० आलूबुखारे हैं,contradiction
295,एरन घर से कितने मील दूर तक जॉगिंग कर सकता है ताकि वह जॉगिंग और चलने में कुल ३ घंटे बिताए?,एरन घर से कितने मील दूर तक जॉगिंग कर सकता है ताकि वह जॉगिंग और चलने में कुल ४ घंटे बिताए?,Entailment
77,"हर सप्ताह, हैरी को पहले १८ घंटों के लिए प्रति घंटे x डॉलर और उस सप्ताह काम किए गए प्रत्येक अतिरिक्त घंटे के लिए १.५ x डॉलर दिए जाते हैं","हर सप्ताह, हैरी को पहले ६८ घंटों से कम समय के लिए प्रति घंटे x डॉलर और उस सप्ताह काम किए गए प्रत्येक अतिरिक्त घंटे के लिए १.५ x डॉलर दिए जाते हैं।",Entailment
238,"विंसेंट ने जानवरों के बारे में १०.० किताबें, अंतरिक्ष के बारे में १.० किताब और ट्रेनों के बारे में ३.० किताबें खरीदीं और उसने सभी किताबों के लिए $१६.० चुकाए",१.० किताब का औसत मूल्य ४.६ है,contradiction
413,एंड्रयू ने ७० रुपये प्रति किलो की दर से ८ किलो अंगूर और ५५ रुपये प्रति किलो की दर से ९ किलो आम खरीदे थे,एंड्रयू ने ७० रुपये प्रति किलो की दर से ५ किलो से अधिक अंगूर और ५५ रुपये प्रति किलो की दर से ९ किलो आम खरीदे थे,Entailment
16,टिया की आयु १४ वर्ष है।,टिया की आयु १५ वर्ष है।,contradiction
230,हेली के पास २५.० मीटबॉल हैं और किर्स्टन ने उसे ११.० और दिए,हेली के पास अब ३६.० मीटबॉल हैं,Entailment
351,"जिल के पास क्वार्ट, हाफ-गैलन और एक गैलन के जारों में २१ गैलन पानी जमा है","जिल के पास क्वार्ट, हाफ-गैलन और एक गैलन के जारों में ३१ गैलन पानी जमा है",contradiction
1,"चूँकि आप अच्छे हैं, आपने नकुल को २ बेसबॉल कार्ड दिए।","चूँकि आप अच्छे हैं, आपने नकुल को २ से अधिक बेसबॉल कार्ड दिए।",contradiction
20,उसके बाद से १.२ मिलियन से अधिक लोगों ने इसे देखा है।,यूट्यूब पर १.२ मिलियन से अधिक लोगों ने इसे देखा है,Entailment
273,किसानों ने बताया कि वे प्रतिदिन बगीचे के ८.० हिस्सों में से प्रत्येक से ४५.० बोरी सेब इकट्ठा करते हैं।,प्रतिदिन ३६०.० बोरियाँ काटी जाती हैं,Entailment
281,"काया के शिक्षक की डेस्क पर ६४ से कम गुलाबी हाइलाइटर, २८ पीले हाइलाइटर और २५ नीले हाइलाइटर हैं","काया के शिक्षक की डेस्क पर २४ गुलाबी हाइलाइटर, २८ पीले हाइलाइटर और २५ नीले हाइलाइटर हैं",neutral
57,"यदि ४ साल में सुनील की आयु श्याम की आयु से दोगुनी हो जाए, तो सुनील की आयु कितनी है?","यदि सुनील की आयु के दोगुने से श्याम की आयु २ साल अधिक हो, तो सुनील की आयु कितनी है?",Entailment
337,यूरोपीय चैंपियंस लीग में बुल्गारियाई अंडरडॉग लुडोगोरेट्स के विरुद्ध घरेलू मैदान पर अंतिम क्षणों में जीत के बाद वेस्ट हैम से ३-१ की हार ब्रेंडन रॉजर्स की टीम के लिए पाँच मैचों में तीसरी थी।,लिवरपूल लगातार दूसरे मैच में वेस्ट हैम से ३-१ से हारा,neutral
83,"फैज़ा के पास ५ से अधिक पर्स हैं, उसने उपहार के रूप में ३ पर्स दिए हैं","फैज़ा के पास ७ पर्स हैं, वह उपहार के रूप में ३ पर्स देती है",neutral
240,एक स्कूल में ५४२.० लड़कियाँ और ३८७.० लड़के हैं।,उस स्कूल में ९२८.० विद्यार्थी हैं,contradiction
368,८ महीने बाद एलेक्स रुपये निवेश करके उसके साथ जुड़ जाता है,एलेक्स ७ महीने से अधिक समय बाद रुपये निवेश करके उसके साथ जुड़ जाता है,Entailment
80,"२००० से कम, इसाबेला की पूँजी क्या है?","१०००, इसाबेला की पूँजी क्या है?",neutral
91,प्रीति मैच के दौरान एसी मिलान के इस मिडफील्डर ने रेफरी से तीन बार कहा कि उसके साथ दुर्व्यवहार हो रहा है।,जर्मन मूल के बोआटेंग ने रेफरी से तीन बार कहा कि उसके साथ दुर्व्यवहार हो रहा है,neutral
362,"यदि फ्रेड ५ मील प्रति घंटे की गति से चले और सैम ५ मील प्रति घंटे की गति से चले, तो जब वे मिले तब तक सैम कितने मील चला था?","यदि फ्रेड १ मील प्रति घंटे से अधिक गति से चले और सैम ५ मील प्रति घंटे की गति से चले, तो जब वे मिले तब तक सैम कितने मील चला था?",Entailment
26,जेक १६ दिनों में एक कुआँ खोद सकता है,जेक ६६ दिनों से भी कम समय में एक कुआँ खोद सकता है,Entailment
174,मोना और सोना १८ किमी और ३६ किमी प्रति घंटे की गति से एक बाइक पर ४०० मीटर लंबाई के एक वृत्ताकार ट्रैक के चारों ओर जाती हैं,मोना और सोना १८ किलोमीटर और ३६ किलोमीटर प्रति घंटे की गति से एक बाइक पर ४०० मीटर से कम लंबाई के एक वृत्ताकार ट्रैक के चारों ओर जाती हैं,contradiction
181,"यदि योलांडा की चलने की दर ३ मील प्रति घंटा और बॉब की ४ मील प्रति घंटा हो, तो जब वे मिले तब तक बॉब कितने मील चला था?","यदि योलांडा की चलने की दर ७ मील प्रति घंटे से कम हो और बॉब की ४ मील प्रति घंटा हो, तो जब वे मिले तब तक बॉब कितने मील चला था?",Entailment
176,"यदि श्रीहरि अपने घर से ४.५ किमी/घंटा की गति से पैदल चले, तो वह कितने समय में अपने घर से ७५० मीटर दूर अपने स्कूल पहुँचेगा?","यदि श्रीहरि अपने घर से ४.५ किमी/घंटा की गति से पैदल चलें, तो वे कितने समय में अपने घर से ८५० मीटर से कम दूर अपने स्कूल पहुँचेंगे?",Entailment
43,एर्नाकुलम और चेन्नई के बीच २४ स्टेशन हैं,एर्नाकुलम और चेन्नई के बीच ४४ स्टेशन हैं,contradiction
210,"बारबरा के पास कपड़ों के कितने संयोजन हैं, यदि वह ५ निश्चित पैंटों के साथ २ से अधिक निश्चित शर्ट न पहने?","बारबरा के पास कपड़ों के कितने संयोजन हैं, यदि वह ५ निश्चित पैंटों के साथ ६ निश्चित शर्ट न पहने?",neutral
414,मोहन ने रुपयों में २५ से अधिक किताबें खरीदीं,मोहन ने रुपयों में ६५ किताबें खरीदीं,neutral
105,सैंडी ने ६.० गाजरें उगाईं और सैम ने ३.० गाजरें ले लीं,सैंडी के पास ३.० गाजरें बची हैं,Entailment
166,शोभा के जन्म के समय उसके पिता की आयु ३८ वर्ष थी और उसकी माँ की आयु ३६ वर्ष थी जब उससे चार साल छोटे उसके भाई का जन्म हुआ,शोभा के जन्म के समय उसके पिता की आयु २८ वर्ष से अधिक थी और उसकी माँ की आयु ३६ वर्ष थी जब उससे चार साल छोटे उसके भाई का जन्म हुआ,Entailment
417,"कुल मिलाकर, स्टीव सड़क पर दिन में ७ घंटे से कम समय बिता रहा है","कुल मिलाकर, स्टीव प्रतिदिन ६ घंटे सड़क पर बिता रहा है",neutral
275,"यदि खिलौनों की दुकान में ३ प्रकार की गेंदें और ६ प्रकार के बोर्ड गेम हों, तो अमांडा ४ वस्तुओं के कितने अलग-अलग चयन कर सकती है?","यदि खिलौनों की दुकान में ४ प्रकार की गेंदें और ६ प्रकार के बोर्ड गेम हों, तो अमांडा ४ वस्तुओं के कितने अलग-अलग चयन कर सकती है?",contradiction
23,रेबेका की वार्षिक आय कितनी बढ़ानी होगी ताकि वह रेबेका और जिमी की संयुक्त आय का ५५% हो जाए?,रेबेका की वार्षिक आय कितनी बढ़ानी होगी ताकि वह रेबेका और जिमी की संयुक्त आय के ५५% से कम हो जाए?,contradiction
47,स्थानीय अधिकारियों का हवाला देते हुए समाचार रिपोर्ट में कहा गया है कि कुछ कच्ची सब्ज़ियों में ई. कोलाई के कारण १६ लोगों की मृत्यु हुई है।,"मीडिया रिपोर्ट में प्रकोप से जुड़े १६ लोग मारे गए हैं, जिनमें से १ स्वीडन में है",neutral
376,"लेकिन, अधिकांश विलासी अंतर्वस्त्र ४% से कम कपास से बनाए जाते हैं -- और अनुमति नहीं दी जाएगी।",इनमें बारीक अंतर्वस्त्र शामिल हैं -- अधिकांश ४% कपास और उससे कम सामग्री से बने,Entailment
114,जिल एक बास्केटबॉल खेल के लिए अपनी ६६ से कम व्यक्तियों वाली कक्षा को बराबर आकार की दो टीमों में बाँट रही है,जिल एक बास्केटबॉल खेल के लिए अपनी १६ व्यक्तियों वाली कक्षा को बराबर आकार की दो टीमों में बाँट रही है,neutral
95,कमल २० दिनों में काम पूरा करेंगे,कमल २० दिनों से अधिक समय में काम पूरा करेंगे,contradiction
375,"यदि योलांडा की चलने की दर ३ मील प्रति घंटा और बॉब की ४ मील प्रति घंटा हो, तो जब वे मिले तब तक बॉब कितने मील चला था?","यदि योलांडा की चलने की दर २ मील प्रति घंटे से अधिक हो और बॉब की ४ मील प्रति घंटा हो, तो जब वे मिले तब तक बॉब कितने मील चला था?",Entailment
58,"चूँकि आप शानदार हैं, आप जॉन को ७ बेसबॉल कार्ड देते हैं","चूँकि आप शानदार हैं, आपने जॉन को ७ से अधिक बेसबॉल कार्ड दिए हैं",contradiction
125,"यदि अब से पाँच साल बाद, उनकी आयु का योग ५१ होगा, तो स्टेफनी की आयु कितनी है?","यदि अब से पाँच साल बाद, उनकी आयु का योग ७१ से कम हो, तो स्टेफनी की आयु कितनी है?",Entailment
25,नाइन वेस्ट के प्रतिष्ठित महिला फुटवियर डिज़ाइनर और सह-संस्थापक विंस कैमूटो का निधन हो गया।,विंस कैमूटो का ७८ वर्ष की आयु में निधन हो गया,neutral
18,वेरिडैक्स कॉर्पोरेशन में २५० कर्मचारी हैं,वेरिडैक्स कॉर्पोरेशन में ६५० से भी कम कर्मचारी हैं।,Entailment
67,"यह योजना लगभग ३,००० सैनिक भेज सकती है, प्रस्ताव से परिचित एक अन्य अमेरिकी सैन्य अधिकारी ने कहा।","योजना लगभग ३,००० सैनिक भेज सकती है, सूत्रों का कहना है",Entailment
133,"यदि जोन्स एलिमेंटरी के लड़के कुल स्कूल जनसंख्या के x छात्रों के ६०% से अधिक हों, तो x कितना है?","यदि जोन्स एलिमेंटरी के लड़के x छात्रों की कुल स्कूल जनसंख्या का ७०% हों, तो x कितना है?",neutral
223,"मार्टिन ने ८० से कम कॉन्सर्ट टिकट खरीदे, कुछ $२.०० प्रति टिकट के पूरे मूल्य पर, और कुछ $१.६० प्रति टिकट के छूट वाले मूल्य पर।","मार्टिन ने १० कॉन्सर्ट टिकट खरीदे, कुछ टिकट $२.०० के पूरे मूल्य पर, और कुछ $१.६० प्रति टिकट के छूट वाले मूल्य पर।",neutral
32,१६ नाटो सदस्य और प्रतिद्वंद्वी वारसा संधि बनाने वाले १४ देश इस बात पर सहमत हुए कि यूरोप में मूल संधि के अंतर्गत लागू क्षेत्र में उल्लेखनीय रूप से कम उपकरणों की अनुमति दी जाएगी।,नाटो के सदस्यों की संख्या १६ है।,Entailment
85,आयशा के जन्म के समय उसके पिता की आयु ६० वर्ष से कम थी और उसकी माँ की आयु ३२ वर्ष थी जब उससे छह साल छोटे उसके भाई का जन्म हुआ,आयशा के जन्म के समय उसके पिता की आयु ४० वर्ष थी और उसकी माँ की आयु ३२ वर्ष थी जब उससे छह साल छोटे उसके भाई का जन्म हुआ,neutral
292,"यदि उनके घरों के बीच की दूरी ६१० किलोमीटर से कम हो, मैक्सवेल की चलने की गति ४ किमी/घंटा हो, और ब्रैड की दौड़ने की गति ७ किमी/घंटा हो, तो ब्रैड की यात्रा की दूरी कितनी है?","यदि उनके घरों के बीच की दूरी ११० किलोमीटर हो, मैक्सवेल की चलने की गति ४ किमी/घंटा हो, और ब्रैड की दौड़ने की गति ७ किमी/घंटा हो, तो ब्रैड की यात्रा की दूरी कितनी है?",neutral
212,"यदि घर वापसी की यात्रा में समुद्र तट की यात्रा से १/२ घंटा अधिक लगे, तो कार्ल ने प्रत्येक रास्ते में कितने किलोमीटर गाड़ी चलाई?","यदि घर वापसी की यात्रा में समुद्र तट की यात्रा से १/२ घंटे से अधिक लगे, तो कार्ल ने प्रत्येक रास्ते में कितने किलोमीटर गाड़ी चलाई?",contradiction
299,"यदि अरुण की वर्तमान आयु में से ६ वर्ष घटाए जाएँ और शेष को १८ से भाग दिया जाए, तो उनके पोते गोकुल की वर्तमान आयु मिलती है।","यदि अरुण की वर्तमान आयु में से ७ वर्ष से कम घटाया जाए और शेष को १८ से भाग दिया जाए, तो उनके पोते गोकुल की वर्तमान आयु मिलती है।",Entailment
412,४००० से अधिक जो उसने और डेव ने १ साल के अंत में कमाए थे,९००० जो उसने और डेव ने १ साल के अंत में कमाए,neutral
245,कैड के पास ८७.० कंचे थे और उसे डिलन से ८.० मिले,उसके पास अब ९८.० कंचे हैं,contradiction
403,कुल फैसला ८५ मिलियन डॉलर से अधिक का था।,प्रत्येक को ७ मिलियन डॉलर से अधिक का पुरस्कार दिया गया था,neutral
352,"मार्फा, अल्पाइन और मैराथन यूएस ९० के किनारे हिचिंग पोस्ट की तरह बसे हैं।","मार्फा, अल्पाइन और मैराथन शहर यूएस ९० के किनारे हिचिंग पोस्ट की तरह बसे हैं",Entailment
6,अशोक और प्यारेलाल ने मिलकर एक व्यवसाय में पैसा निवेश किया था और अशोक की पूँजी प्यारेलाल की १/९ है।,अशोक और प्यारेलाल ने एक व्यवसाय में मिलकर पैसा निवेश किया था और अशोक की पूँजी प्यारेलाल के ३/९ से कम है।,Entailment
46,"८% स्टॉक में १६२०, माइकल रुपये कमाते हैं","८% स्टॉक में १६२० से अधिक, माइकल रुपये कमाते हैं",contradiction
297,एक लाइब्रेरी में १४२४०.० किताबें हैं और वे अलमारियों पर इस तरह सजाई गई हैं कि प्रत्येक में ८.० किताबें हैं,लाइब्रेरी में १७८०.० अलमारियाँ हैं,Entailment
156,"सैंडी को ६०० मीटर की दूरी पार करने में कितने सेकंड लगते हैं, यदि सैंडी १८ किमी/घंटा की गति से दौड़े?",यदि सैंडी १८ किमी/घंटा की गति से दौड़े तो ६०० मीटर से कम दूरी पार करने में उसे कितने सेकंड लगते हैं?,contradiction
367,"विभाग शहर के केंद्र के पास बाढ़ग्रस्त नाले के किनारे के दो इलाकों को खाली करा रहा है, उन्होंने कहा।",भीषण बाढ़ शहर के पास के दो इलाकों को खाली कराने का अनुरोध करती है।,neutral
399,८ से कम लड़कों और ४ लड़कियों के एक समूह में से ४ लोगों की एक समिति बनानी है,६ लड़कों और ४ लड़कियों के एक समूह में से ४ लोगों की एक समिति बनानी है,neutral
