Q No.,Question,Answer,Domain,Sub-Domain
673,लिंकन के खिलौनों के बॉक्स में बाइनरी संख्या प्रणाली के प्रत्येक अंक का प्रतिनिधित्व करने वाले खिलौने हैं। लिंकन के पास भाई-बहनों के लिए ऐसे ६ और खिलौनों के बॉक्स हैं। उनके पास कितने खिलौने हैं?,१४,CS,CS
605,२०० ग्राम चूना पत्थर को खुले बर्तन में गर्म करने पर कितनी मात्रा में कैल्शियम ऑक्साइड प्राप्त होगा?,११२,Chemistry,Chemistry
357,एक तल पर रखी ८ किग्रा द्रव्यमान की किसी वस्तु पर ३० न्यूटन बल लगाने पर वस्तु ३ मी./से.^२ त्वरण प्राप्त करती है। वस्तु और तल के बीच घर्षण बल कितने न्यूटन है?,६,Physics,Physics
98,किसी वृत्त का व्यास ९ से.मी. है। वृत्त के १५ से.मी. लंबे चाप के केंद्रीय कोण का वृत्तीय माप कितना है?,३.३३,Math,Trigonometry
228,एक सिक्के को ७५० बार उछालने पर ३०० बार हेड आता है। तो हेड की आपेक्षिक बारंबारता कितनी है?,०.४०,Math,Probability
426,एक हाइड्रोलिक प्रेस के छोटे और बड़े पिस्टन का क्षेत्रफल क्रमशः ५ वर्ग से.मी. और २५ वर्ग से.मी. है। छोटे पिस्टन पर १०० न्यूटन बल लगाने पर बड़े पिस्टन पर कितना बल प्राप्त होगा?,५००,Physics,Physics
79,२ से.मी. त्रिज्या वाले वृत्त का २ से.मी. लंबा एक चाप केंद्र पर कितने रेडियन का कोण बनाता है?,१,Math,Trigonometry
255,दो सिक्के एक साथ उछाले जाएँ तो कम से कम एक टेल आने की प्रायिकता कितनी है?,३/४,Math,Probability
110,१८० डिग्री को रेडियन में व्यक्त करने पर कितना होगा?,३.१४,Math,Trigonometry
64,एक पहिया वृत्ताकार पथ पर २५० मीटर रास्ता तय करने में ३५ बार घूमता है। पहिये की त्रिज्या कितने मीटर है?,१.१३,Math,Trigonometry
410,"जूते पहने किसी महिला का द्रव्यमान ४० किग्रा है, उसके जूते के तले का क्षेत्रफल २०० वर्ग से.मी. और शरीर का क्षेत्रफल १.५ वर्ग मीटर है। यदि महिला एक पैर पर खड़ी हो तो दाब कितने पास्कल होगा?",१९६००,Physics,Physics
471,६ मोल नाइट्रोजन का आणविक भार कितना है?,१६८,Chemistry,Chemistry
514,५ ग्राम हाइड्रोजन गैस को ७५ ग्राम क्लोरीन गैस के बीच प्रवाहित किया गया। अभिक्रिया में कितने मोल हाइड्रोजन शेष रहती है?,१.४४,Chemistry,Chemistry
610,१०० मिली विलयन में ०.४ ग्राम सोडियम हाइड्रॉक्साइड की सांद्रता कितनी है?,०.१०,Chemistry,Chemistry
356,एक पर्वत शिखर पर गुरुत्वीय त्वरण का मान ९.७७ मी./से.^२ है। पर्वत शिखर की ऊँचाई कितने मीटर है?,१९४९०.४७,Physics,Physics
341,५४ कि.मी./घंटा के वेग से चल रही गाड़ी के चालक ने ४६ मीटर दूर एक पैदल यात्री को देखकर तुरंत ब्रेक लगा दिया। इससे गाड़ी पैदल यात्री से १ मीटर पहले आकर रुक गई। गाड़ी का त्वरण कितना था?,-२.५०,Physics,Physics
197,यदि प्रिज्म के आधार का क्षेत्रफल ६ वर्ग से.मी. और ऊँचाई ८ से.मी. हो तो प्रिज्म का आयतन कितने घन से.मी. है?,४८,Math,Solid Geometry
675,लिंकन के खिलौनों के बॉक्स में बाइनरी संख्या प्रणाली के प्रत्येक अंक का प्रतिनिधित्व करने वाले खिलौने हैं। लिंकन के पास भाई-बहनों के लिए ऐसे ११ और खिलौनों के बॉक्स हैं। उनके पास कितने खिलौने हैं?,२४,CS,CS
183,यदि एक वर्ग के विकर्ण की लंबाई ५√२ से.मी. हो तो इसका क्षेत्रफल कितने वर्ग से.मी. है?,२५,Math,Solid Geometry
175,६ से.मी. त्रिज्या की एक गोलाकार गेंद एक घन आकार के बॉक्स में ठीक से समा जाती है। बॉक्स का आयतन कितने घन से.मी. है?,१७२८,Math,Solid Geometry
592,६४ ग्राम ऑक्सीजन से सोडियम ऑक्साइड बनाने के लिए ४६ ग्राम सोडियम मिलाया जाए तो शेष ऑक्सीजन की मात्रा कितनी है?,४८,Chemistry,Chemistry
496,अमोनिया के १२ मोल का आणविक भार कितना है?,२०४,Chemistry,Chemistry
370,एक वस्तु को धागे से बाँधकर ऊर्ध्वाधर तल में एक बार घुमाकर लाने पर किए गए कार्य की मात्रा कितने जूल है?,०,Physics,Physics
193,यदि एक घन का एक किनारा २ से.मी. हो तो संपूर्ण पृष्ठ का क्षेत्रफल कितने वर्ग मीटर है?,२४,Math,Solid Geometry
319,एक गाड़ी का वेग १५ मी./से. से समान रूप से बढ़कर १० से. बाद ७५ मी./से. हो जाए तो गाड़ी का त्वरण कितने मी./से.^२ है?,६,Physics,Physics
693,पवन ने कहा कि उसके पास १००००० (बाइनरी में) केले थे। उसने १००० (बाइनरी में) लोगों के बीच केले बाँट दिए। हमारी संख्या प्रणाली के अनुसार प्रत्येक को कितने केले मिलेंगे?,४,CS,CS
251,एक सिक्के को तीन बार उछाला जाए तो कम से कम एक हेड आने की प्रायिकता कितनी है?,७/८,Math,Probability
538,मानक तापमान और दाब पर ८८ ग्राम कार्बन डाइऑक्साइड गैस का आयतन कितना है?,२,Chemistry,Chemistry
11,एल्युमिनियम हाइड्रॉक्साइड में एल्युमिनियम का भार प्रतिशत में ज्ञात कीजिए।,३४.६,Chemistry,Chemistry
648,५ ग्राम कोक और ५ ग्राम ऑक्सीजन की अभिक्रिया कराकर कार्बन डाइऑक्साइड बनाई गई। अभिक्रिया के अंत में कितने ग्राम कोक शेष रहेगा?,३.१२,Chemistry,Chemistry
235,पहली पच्चीस प्राकृतिक संख्याओं में से यादृच्छिक चयन में पूर्ण वर्ग संख्या आने की प्रायिकता कितनी है?,१/५,Math,Probability
432,"एक तालाब की लंबाई, चौड़ाई और ऊँचाई क्रमशः ३० मीटर, २० मीटर, ३ मीटर है। यदि तालाब आधा भरा हो तो तली के किसी बिंदु पर दाब कितने पास्कल है?",१४७००,Physics,Physics
512,मानक अवस्था में २ ग्राम हाइड्रोजन गैस का आयतन कितना है?,२२.४०,Chemistry,Chemistry
330,१०० मीटर की ऊँचाई से एक वस्तु नीचे गिराई जाए तो यह कितने मी./से. के वेग से ज़मीन पर गिरेगी?,४४.२७,Physics,Physics
85,"२ से.मी. त्रिज्या वाले वृत्त का एक चाप केंद्र पर १८० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",६.२८,Math,Trigonometry
433,"यदि तापमान का अंतर १ डिग्री सेल्सियस हो, तो केल्विन स्केल पर यह अंतर कितना होगा?",१,Physics,Physics
584,पानी में हाइड्रोजन की प्रतिशत मात्रा कितनी है?,११.११,Chemistry,Chemistry
656,१००० मिली में पोटैशियम कार्बोनेट का ०.१२५ मोलर विलयन बनाया गया। विलयन में कितने ग्राम पोटैशियम कार्बोनेट है?,१७.२५,Chemistry,Chemistry
642,सल्फ्यूरिक एसिड का २०० मिली का ०.५ मोलर विलयन बनाया गया। विलयन में १० ग्राम सोडियम हाइड्रॉक्साइड मिलाने पर कितनी मात्रा में सोडियम हाइड्रॉक्साइड विलयन में रह जाएगा?,२,Chemistry,Chemistry
602,कार्बन डाइऑक्साइड अणु के निर्माण में ३ ग्राम ऑक्सीजन के साथ कितना कार्बन जुड़ेगा?,८,Chemistry,Chemistry
295,"एक तार के अनुप्रस्थ काट का क्षेत्रफल ज्ञात करने में स्क्रू गेज के रैखिक स्केल का पाठ्यांक २ मि.मी., वृत्ताकार स्केल का पाठ्यांक ०.४० मि.मी. प्राप्त होता है, वृत्ताकार स्केल के कुल भागों की संख्या १०० और यंत्र का पिच १ मि.मी. है। वृत्ताकार स्केल का कौन-सा नंबर का चिह्न रैखिक स्केल से हूबहू मिल जाता है?",४०,Physics,Physics
363,एक ही सड़क पर परस्पर विपरीत दिशाओं से आती १५ किग्रा और १० किग्रा द्रव्यमान की दो वस्तुएँ क्रमशः ३ मी./से. और ५ मी./से. के वेग से आती हैं और आमने-सामने टकराकर एक साथ चिपक जाती हैं। टक्कर से पहले दूसरी वस्तु की गतिज ऊर्जा कितने जूल है?,१२५,Physics,Physics
611,यदि २ लीटर में ८० ग्राम सोडियम हाइड्रॉक्साइड हो तो सांद्रता कितनी है?,१,Chemistry,Chemistry
307,एक वस्तु सरल पथ पर १० मीटर आगे बढ़कर वहाँ से उसी पथ पर ४ मीटर वापस आई। दूरी और विस्थापन का अंतर कितने मीटर है?,८,Physics,Physics
260,एक पासा और एक सिक्का एक साथ फेंके जाएँ तो पासे पर विषम संख्या और सिक्के पर हेड आने की प्रायिकता कितनी है?,१/४,Math,Probability
661,१ ग्राम हाइड्रोजन और ८५ ग्राम क्लोरीन की अभिक्रिया से हाइड्रोक्लोरिक एसिड उत्पन्न हुआ। अधिकतम कितनी मात्रा में क्लोरीन हाइड्रोजन के साथ जुड़ेगी?,३५.५०,Chemistry,Chemistry
522,२०० ग्राम कैल्शियम कार्बोनेट के मोलों की संख्या कितनी है?,२,Chemistry,Chemistry
637,हाइड्रोक्लोरिक एसिड बनाने के लिए १ ग्राम हाइड्रोजन के साथ ७० ग्राम क्लोरीन मिलाई गई। कितने ग्राम क्लोरीन शेष रहेगी?,३४.५०,Chemistry,Chemistry
87,"३ से.मी. व्यास वाले वृत्त का एक चाप केंद्र पर २ रेडियन का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",३,Math,Trigonometry
73,५ से.मी. त्रिज्या वाले एक वृत्त की परिधि और त्रिज्या का अनुपात कितना है?,६.२८:१,Math,Trigonometry
32,एक समकोण त्रिभुज का आधार १२ और लंब ५ हो तो कर्ण कितना है?,१३,Math,Solid Geometry
292,०.५० मि.मी. पिच और ०.०१ मि.मी. अल्पतमांक वाले एक स्क्रू गेज की सहायता से तार का व्यास ७.२८ मि.मी. प्राप्त हुआ। वृत्ताकार स्केल के खानों की संख्या कितनी है?,५०,Physics,Physics
429,२०० घन मीटर आयतन की एक गोलाकार वस्तु आधी पानी में डूबी तैर रही है। गोले द्वारा हटाए गए पानी का भार कितने न्यूटन है?,०.९८,Physics,Physics
345,१ किग्रा द्रव्यमान की एक वस्तु सीधे ऊपर की ओर फेंकी गई। यह १० सेकंड बाद भूमि पर गिरी। अधिकतम ऊँचाई पर वस्तु की स्थितिज ऊर्जा कितने जूल होगी?,१२००.५०,Physics,Physics
381,एक मोटर २ किग्रा द्रव्यमान की वस्तु को ५ मीटर की ऊँचाई तक उठाने में कुल १०७ जूल ऊर्जा खर्च करती है। मोटर में कुल कितने जूल ऊर्जा का अपव्यय होता है?,९,Physics,Physics
146,४ से.मी. व्यास की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर का आयतन कितने घन से.मी. है?,५०.२६,Math,Solid Geometry
221,एक सिक्के को २००० बार उछालने पर १०३० बार हेड आता है। सिक्के को एक बार उछालने पर टेल आने की प्रायिकता कितनी है?,९७०/२०००,Math,Probability
56,"यदि दो पहियों की परिधि का अंतर ७० से.मी. हो, तो उनके व्यासों का अंतर कितने से.मी. है?",२२.२८,Math,Trigonometry
669,५६ ग्राम कैल्शियम ऑक्साइड उत्पन्न करने के लिए कितने ग्राम ऑक्सीजन की आवश्यकता है?,१६,Chemistry,Chemistry
328,एक मुक्त रूप से गिरती हुई वस्तु ५ सेकंड में २५ मीटर दूरी तय करती है। छठे सेकंड में वस्तु और कितनी दूरी जाएगी?,११,Physics,Physics
667,५६ ग्राम कैल्शियम ऑक्साइड उत्पन्न करने के लिए कितने मोल ऑक्सीजन की आवश्यकता है?,०.५०,Chemistry,Chemistry
77,एक वृत्त का व्यास ५ से.मी. है। वृत्त में १३ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने रेडियन है?,५.२०,Math,Trigonometry
3,मीना २० मी/से की गति से १० मिनट दौड़े तो कितना रास्ता पार करेगी?,१२०००,Physics,Physics
282,"यदि मूल स्केल का पाठ्यांक १४ मि.मी., वर्नियर स्थिरांक ०.१ मि.मी. और वर्नियर पाठ्यांक ३ हो तो कुल पाठ्यांक कितने मि.मी. है?",१४.३०,Physics,Physics
303,"प्रयोगशाला में एक नया स्लाइड कैलिपर्स बनाया गया, जिसके मूल स्केल के १५ भाग वर्नियर के १६ भागों के बराबर हैं। मूल स्केल के सबसे छोटे एक भाग की लंबाई १ मि.मी. है। इस स्केल की सहायता से एक रुपये के सिक्के का व्यास मापा गया। उसमें मूल स्केल का पाठ्यांक १५ मिलीमीटर और वर्नियर संपातन ७ प्राप्त हुआ। वर्नियर स्थिरांक का मान कितने मि.मी. है?",०.०६२५,Physics,Physics
546,यदि १ लीटर विलयन में ०.१ मोल विलेय घुला हो तो विलयन की सांद्रता कितनी होगी?,०.१०,Chemistry,Chemistry
701,विभा की क्लास में २५० (ऑक्टल में) विद्यार्थी हैं। प्रत्येक के पास ११ (हेक्साडेसिमल में) किताबें हैं। हमारी संख्या प्रणाली के अनुसार उन सबके पास कुल कितनी किताबें हैं?,२८५६,CS,CS
334,"एक वस्तु को ९.८ मी./से. के वेग से सीधे ऊपर की ओर फेंका जाए, तो वह कितनी ऊपर जाएगी?",४.९,Physics,Physics
333,५० मीटर ऊँची इमारत की छत से कोई वस्तु छोड़ी जाए तो यह कितने वेग से भूतल से टकराएगी?,३१.३०,Physics,Physics
287,मीटर स्केल के साथ १ वर्नियर स्केल का उपयोग किया गया है जिसके १० खाने ९ मि.मी. के बराबर हैं। इसकी सहायता से न्यूनतम कितने मि.मी. लंबाई तक मापा जा सकता है?,०.१०,Physics,Physics
702,विभा की क्लास में १३ (ऑक्टल में) विद्यार्थी हैं। प्रत्येक के पास ५६ (हेक्साडेसिमल में) कलम हैं। डेसिमल संख्या प्रणाली के अनुसार उन सबके पास कुल कितनी कलम हैं?,९४६,CS,CS
214,१ से १० तक क्रमिक संख्या वाले टिकटों को अच्छी तरह मिलाकर यादृच्छिक रूप से एक टिकट निकालने पर टिकट के २ अथवा ३ के गुणज होने की प्रायिकता कितनी है?,७/१०,Math,Probability
350,"१ किग्रा द्रव्यमान की एक बंदूक से ५ ग्राम द्रव्यमान की एक गोली चलाने पर बंदूक २ मी./से. का प्रतिक्षेप वेग प्राप्त करती है, गोली का अंतिम वेग कितने मी./से. है?",४००,Physics,Physics
102,५०० किलोमीटर दूर एक बिंदु पर कोई पहाड़ ५ डिग्री का कोण बनाता है। पहाड़ की ऊँचाई कितने मीटर है?,४३६३३.२३,Math,Trigonometry
494,क्लोरीन के १५ मोल का आणविक भार कितना है?,१०६५,Chemistry,Chemistry
633,१० ग्राम सोडियम हाइड्रॉक्साइड के साथ ५ ग्राम कार्बन डाइऑक्साइड की अभिक्रिया कराई गई। अभिक्रिया के अंत में कितने ग्राम सोडियम हाइड्रॉक्साइड शेष रहेगा?,०.९०,Chemistry,Chemistry
91,"५ से.मी. त्रिज्या वाले वृत्त का एक चाप केंद्र पर ६० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",५.२३,Math,Trigonometry
182,यदि एक वर्ग के विकर्ण की लंबाई √२ से.मी. हो तो इसका क्षेत्रफल कितने वर्ग से.मी. है?,१,Math,Solid Geometry
312,१० मीटर त्रिज्या के एक वृत्ताकार पथ पर परिधि का एक-चौथाई भाग पार करने पर विस्थापन कितने मीटर होगा?,७.०७,Physics,Physics
61,"एक पहिया ४ कि.मी. रास्ता तय करने में ७० बार घूमता है, पहिये का व्यास कितने मीटर है?",१८.१८,Math,Trigonometry
297,त्रुटि रहित स्लाइड कैलिपर्स की सहायता से एक छड़ की लंबाई मापते समय मूल स्केल का पाठ्यांक ५ मि.मी. और वर्नियर संपातन १६ प्राप्त हुआ। मूल स्केल के सबसे छोटे एक खाने की लंबाई ०.५ मि.मी. है और मूल स्केल के १९ खाने वर्नियर स्केल के २० खानों के बराबर हैं। वर्नियर स्थिरांक कितने मि.मी. है?,०.०२५,Physics,Physics
31,एक वस्तु का द्रव्यमान १० किग्रा और आयतन १०० घन मीटर है। वस्तु का घनत्व कितना है?,०.१०,Physics,Physics
70,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय २५ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान का व्यास कितने मीटर है?,५.६४,Math,Trigonometry
508,२ मोल कॉपर सल्फेट का आणविक भार कितना है?,३१९,Chemistry,Chemistry
236,पहली सौ प्राकृतिक संख्याओं में से यादृच्छिक चयन में पूर्ण वर्ग संख्या आने की प्रायिकता कितनी है?,१/१०,Math,Probability
45,"कुछ छात्र-छात्राओं में से ६० को क्रिकेट, ४० को फुटबॉल और २५ को दोनों खेल पसंद हैं। कम से कम एक खेल कितनों को पसंद है?",७५,Math,Set Function
399,४० किग्रा द्रव्यमान का एक लड़का सीढ़ी से १५ सेकंड में छत पर चढ़ता है। सीढ़ी में सीढ़ियों की संख्या २० है और प्रत्येक सीढ़ी की ऊँचाई १६ से.मी. है। लड़के की शक्ति कितने वाट है?,८३.६२,Physics,Physics
71,५ से.मी. त्रिज्या वाले एक वृत्त की परिधि और व्यास का अनुपात कितना है?,३.१४:१,Math,Trigonometry
165,३ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३६ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर के वक्र पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,२२६.१९,Math,Solid Geometry
290,वास्तविक क्षेत्रफल २०० वर्ग मीटर है। लेकिन मापने पर १९२ वर्ग मीटर प्राप्त हुआ। आपेक्षिक त्रुटि प्रतिशत में कितनी है?,४,Physics,Physics
213,एक टेस्ट क्रिकेट मैच के ड्रॉ होने की प्रायिकता कितनी है?,१/३,Math,Probability
137,एक समकोण त्रिभुज के आधार और कर्ण क्रमशः ३ और ५ हों तो इसका लंब कितना है?,४,Math,Trigonometry
212,एक पासा फेंकने पर ३ से विभाज्य संख्या आने के अनुकूल परिणाम कितने हैं?,२,Math,Probability
517,०.१ मोल सोडियम हाइड्रॉक्साइड का भार कितना है?,४,Chemistry,Chemistry
149,२ से.मी. व्यास की एक गोलाकार गेंद एक सिलिंडर आकार के बॉक्स में ठीक से समा जाती है। सिलिंडर के खाली भाग का आयतन कितने घन से.मी. है?,२.०९,Math,Solid Geometry
576,कार्बन मोनोऑक्साइड में कार्बन की मात्रा कितने प्रतिशत है?,४२.८५,Chemistry,Chemistry
335,एक वस्तु को कितने वेग से सीधे ऊपर की ओर फेंका जाए कि वह १० सेकंड बाद भूतल से टकराए?,४९,Physics,Physics
585,पानी में ऑक्सीजन का प्रतिशत संघटन कितना है?,८८.८८,Chemistry,Chemistry
666,४ ग्राम मैग्नीशियम ऑक्साइड बनाने के लिए २ ग्राम मैग्नीशियम और २ ग्राम ऑक्सीजन गैस उपयुक्त वातावरण में मिलाई गई। लेकिन अपेक्षित मात्रा में उत्पाद नहीं मिला। अभिक्रिया में कितने ग्राम ऑक्सीजन ने अभिक्रिया की है?,१.३३,Chemistry,Chemistry
66,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय २५ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान की परिधि कितने मीटर है?,१७.७२,Math,Trigonometry
526,०.१ मोल सल्फ्यूरिक एसिड कितने ग्राम सल्फ्यूरिक एसिड के बराबर है?,९.८०,Chemistry,Chemistry
50,"यदि एक पहिये का व्यास ३.१४१६ मीटर हो, तो पहिये की परिधि कितने मीटर है?",९.८७,Math,Trigonometry
551,२ लीटर ०.२ मोलर सोडियम कार्बोनेट विलयन में कितनी मात्रा में सोडियम कार्बोनेट है?,४२.४०,Chemistry,Chemistry
136,एक समकोण त्रिभुज के लंब और कर्ण क्रमशः ५ और १३ हों तो इसका आधार कितना है?,१२,Math,Trigonometry
40,"यदि A = {-१२३५,-२९०,१३४७,१५६७,८९२२,२०३३४} हो तो इसके उपसमुच्चयों की संख्या कितनी है?",६४,Math,Set Function
549,यदि १७.७५ ग्राम सोडियम सल्फेट २५० मिली विलयन में घुला हो तो विलयन की सांद्रता कितनी है?,०.५०,Chemistry,Chemistry
523,४०० ग्राम कैल्शियम में कितने मोल?,१०,Chemistry,Chemistry
7,५% लाभ की दर से १० वर्षों में १०००० रुपये पर कितने रुपये का लाभ मिलेगा?,२५००,Math,Math
210,दो सिक्के उछालने पर कम से कम एक हेड आने की प्रायिकता कितनी है?,३/४,Math,Probability
324,समान त्वरण से चल रही किसी वस्तु का वेग २ सेकंड में ४ मी./से. से बढ़कर ८ मी./से. हो जाए तो ४ सेकंड बाद वस्तु का वेग कितने मी./से. होगा?,१२,Physics,Physics
586,हाइड्रोक्लोरिक एसिड में क्लोरीन का प्रतिशत संघटन कितना है?,९७.२६,Chemistry,Chemistry
412,"एक बेलन के आधार का क्षेत्रफल ०.३० वर्ग मीटर और ऊँचाई ०.२० मीटर है। यदि उस बेलन को भरने के लिए ७५.६ किग्रा ग्लिसरीन की आवश्यकता हो, तो ग्लिसरीन का घनत्व कितने ग्राम/सी.सी. है?",१.२६,Physics,Physics
133,एक समकोण त्रिभुज के लंब और आधार क्रमशः ३ और ४ हों तो इसका कर्ण कितना है?,५,Math,Trigonometry
396,६० मीटर की ऊँचाई से गिरती २ किग्रा द्रव्यमान की एक वस्तु की भूमि से १० मीटर की ऊँचाई पर इसकी गतिज ऊर्जा स्थितिज ऊर्जा की कितनी गुनी होगी?,५,Physics,Physics
42,"यदि A = {१,४,६,८} हो, तो A x A ज्ञात करने पर कितने क्रमित युग्म प्राप्त होंगे?",१६,Math,Set Function
109,६० डिग्री को रेडियन में व्यक्त करने पर कितना होगा?,१.०४,Math,Trigonometry
258,"एक टोकरी में १५ सफेद, १० काली और २० लाल गेंदें हैं। यादृच्छिक रूप से एक गेंद निकाली गई। गेंद के पीली होने की प्रायिकता कितनी है?",०,Math,Probability
57,"यदि दो पहियों की परिधि का अंतर १२० से.मी. हो, तो उनके व्यासों का अंतर कितने से.मी. है?",३८.१९,Math,Trigonometry
687,राहुल ने कहा कि उसके पास ४५२ (हेक्साडेसिमल में) केले थे लेकिन उसने करण को ९ (हेक्साडेसिमल में) दे दिए। हेक्साडेसिमल संख्या प्रणाली में उसके पास और कितने केले रहेंगे?,४४९,CS,CS
616,२ लीटर विलयन में कितने ग्राम सोडियम कार्बोनेट मिलाने पर विलयन सेमीमोलर होगा?,१०६,Chemistry,Chemistry
25,एक आयत की लंबाई ११.५ मीटर और चौड़ाई २२ मीटर है। आयत का क्षेत्रफल कितना है?,२५३,Math,Solid Geometry
156,६ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३ से.मी. त्रिज्या का एक सिलिंडर बनाया गया। बने सिलिंडर की ऊँचाई कितने से.मी. है?,३२,Math,Solid Geometry
211,एक पासा फेंकने पर सम संख्या आने के अनुकूल परिणाम कितने हैं?,३,Math,Probability
261,एक पासा और एक सिक्का एक साथ फेंके जाएँ तो पासे पर ३ से विभाज्य संख्या और सिक्के पर कोई भी फलक आने की प्रायिकता कितनी है?,१/३,Math,Probability
425,एक हाइड्रोलिक प्रेस के छोटे और बड़े पिस्टन का क्षेत्रफल क्रमशः १० वर्ग से.मी. और ३५० वर्ग से.मी. है। छोटे पिस्टन पर १०० न्यूटन बल लगाने पर बड़े पिस्टन पर कितना बल प्राप्त होगा?,३५००,Physics,Physics
540,मानक अवस्था में ०.०१ मोल क्लोरीन गैस का आयतन कितना है?,०.२२,Chemistry,Chemistry
111,२ रेडियन को डिग्री में व्यक्त करने पर कितना होगा?,११४.५९,Math,Trigonometry
83,"२ से.मी. त्रिज्या वाले वृत्त का एक चाप केंद्र पर ९० डिग्री का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",३.१४,Math,Trigonometry
52,पृथ्वी की त्रिज्या ६४४० कि.मी. है। दिल्ली और मुंबई पृथ्वी के केंद्र पर ६ डिग्री का कोण बनाते हैं। दिल्ली और मुंबई की दूरी कितने कि.मी. है?,६७४.३९,Math,Trigonometry
406,०.२० मीटर ऊँचाई के एक बर्तन को पानी से भर दिया गया। बर्तन की निचली सतह पर कितने पास्कल दाब अनुभव होगा?,१९६०,Physics,Physics
