Q No.,Question,Answer
78,मीना ४ मिनट में २०० मीटर चलती है। आधे घंटे में वह कितने मीटर चल सकेगी?,१५००
384,"सोफिया और क्लोई शतरंज का एक खेल खेल रही हैं, उन्होंने क्रमशः ५ और १ प्यादे खोए हैं। खेल में बचे प्यादों की कुल संख्या ज्ञात कीजिए।",१०
239,एक अक्षर लिखने के लिए अलेक्जेंडर को कागज़ की एक शीट चाहिए। बांग्ला भाषा के सभी अक्षर लिखने के लिए कितने कागज़ों की ज़रूरत होगी?,५०
31,राकेश दुकान से ११ रुपये प्रति अंडे के हिसाब से ढाई दर्जन अंडे लेकर घर गया। तो राकेश के कितने रुपये खर्च हुए?,३३०
74,एक कारखाने में ३ दिनों में ९०० मोटरसाइकिलें बनती हैं। ४ सप्ताह में उस कारखाने में कितनी मोटरसाइकिलें बनेंगी?,८४००
204,आर्या मेडिकल में पढ़ रही है। आर्या ५-५ घंटे में मानव शरीर की एक-एक हड्डी का विश्लेषण कर रही है। आर्या को विश्लेषण पूरा करने में कितने घंटे लगेंगे?,१०३०
57,आशीष के फार्म में कुल १२३ गायें और ४५ बकरियाँ हैं। उसके फार्म के पशुओं के कुल कितने पैर हैं?,६७२
370,स्टेला और कार्टर ने शतरंज खेलने का निर्णय लिया लेकिन देखा कि ८ मोहरे गायब हैं। कितने मोहरे मौजूद थे?,२४
194,एक भारोत्तोलक अपने प्रत्येक हाथ में ७ पाउंड वज़न उठा सकता है। वह एक बार में कुल कितना वज़न उठा सकता है?,१४
285,स्नेहा के पास ताश के १५ पूरे डेक हैं। उसके पास कुल कितने ईंट के पत्ते हैं?,१९५
105,एक स्टील मिल में एक महीने में २४००० मीट्रिक टन रॉड बनती है। उस मिल में प्रतिदिन कितनी रॉड बनती है?,८००
399,"यदि ग्रेसन इस सप्ताह ईंधन पर ४० रुपये खर्च करता है। यदि एक बार ईंधन लेने में १० रुपये खर्च होते हैं, तो उसने कितनी बार ईंधन लिया?",४
212,"एक मशीन डंठल काट रही है और सेबों को प्रोसेस कर रही है। यदि मुझे ६ घंटे बाद २०४ डंठल दिखाई दें, तो कितने सेब प्रोसेस किए गए हैं?",२०४
230,एक तालाब में १८ साँप और १० एलीगेटर हैं। जानवरों की आँखों की कुल संख्या ज्ञात कीजिए।,५६
16,अमित दुकान से साढ़े चार दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ५ अंडे खराब हैं। तो अमित के पास कितने अच्छे अंडे हैं?,४९
249,"एक भारोत्तोलक अपने प्रत्येक हाथ में ८ पाउंड वज़न उठा सकता है। वह एक बार में कुल कितना वज़न उठा सकता है, ज्ञात कीजिए।",१६
1,करण एक १४ साल का लड़का है। उसके दोनों हाथों में कुल कितनी उंगलियाँ हैं?,१०
335,एड्रियन हर महीने ४ बार काम से एक-एक दिन की छुट्टी लेता है। एड्रियन ने पूरे साल में कितनी छुट्टियाँ लीं?,४८
269,एक नाखून काटने पर नेलकटर एक विशेष प्रकार की आवाज़ करता है। ३ लोगों की सभी उंगलियों के लिए यह आवाज़ कितनी बार होगी?,६०
111,एक दुकानदार के पास ताश के नौ डेक हैं। उसके पास कुल कितने लाल रंग के कार्ड हैं?,२३४
302,"मुकेश ने बोर्ड पर बांग्ला वर्णमाला का प्रत्येक अक्षर लिखा। यदि प्रत्येक अक्षर ३ बार लिखा गया हो, तो बोर्ड पर कुल कितने अक्षर लिखे गए थे?",१५०
85,आज मैं अपने घर के सभी लोगों के साथ आगरा घूमने जाऊँगा। २२:३५ पर नई दिल्ली स्टेशन से ट्रेन छूटेगी। लेकिन हम २०:३५ पर ही नई दिल्ली स्टेशन पहुँच गए। हिसाब करके देखता हूँ कि हमें स्टेशन पर कितने घंटे इंतज़ार करना होगा।,२
221,"ओवेन एक डॉक्टर हैं, जो ३:२८ बजे ३ घंटे लंबा ऑपरेशन करने ऑपरेशन थिएटर में गए। ओवेन की बहन ओवेन से मिलने ५:३६ बजे आई, ओवेन से मिलने के लिए उसे कितने मिनट इंतज़ार करना पड़ा?",५२
259,सवाना को एक अक्षर लिखने के लिए कागज़ की एक शीट चाहिए। अंग्रेज़ी और बांग्ला भाषा के सभी अक्षर लिखने के लिए कितने कागज़ों की ज़रूरत होगी?,७६
398,एक फार्म में जानवरों के ४८ पैर हैं और कुल १५ जानवर हैं। कुछ बत्तखें हैं और कुछ घोड़े। घोड़ों की संख्या ज्ञात कीजिए।,९
56,"एक इलाके में १०० लोग हैं, जिनमें से प्रत्येक के पास १ पालतू कुत्ता है। यदि इलाके के सभी लोग अपने कुत्तों के साथ एक मैदान में एक साथ उपस्थित हों, तो उस समय उस मैदान में कुल कितने पैर होंगे?",६००
336,लिया को एक काम से प्रतिदिन ६० रुपये मिलते हैं। ४ सप्ताह में लिया कितने रुपये कमाएगी?,१६८०
338,"स्टेडियम के प्रवेश द्वार पर बड़ी संख्या में प्लेकार्ड एक विशाल टोकरी में रखे जाते हैं। स्टेडियम में प्रवेश करने वाला प्रत्येक व्यक्ति अपने प्रत्येक हाथ में एक-एक प्लेकार्ड लेता है। दोपहर बाद ३ बजे लोग स्टेडियम में प्रवेश करने लगते हैं। कुछ मिनटों बाद, लोग शिकायत करते हैं कि टोकरी खाली है और अब कोई प्लेकार्ड नहीं है। यदि टोकरी में ६४५० प्लेकार्ड आ सकते हैं और वह शुरू में भरी हुई थी, तो उस समय तक कितने लोग स्टेडियम में प्रवेश कर चुके हैं?",३२२५
396,नेवाह ७० मीटर/सेकंड की गति से चलती है। वह ३ मिनट में कितने किमी पार कर सकती है?,१२.६०
43,तुषार दुकान से १४४ रुपये प्रति दर्जन के हिसाब से ढाई दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ८ अंडे खराब हैं। तो कितने रुपये के अंडे खराब नहीं हुए?,२६४
272,"पूर्वी तट से पश्चिमी तट तक एक ३१ घंटे की ट्रेन है। यदि ट्रेन सोमवार को बहुत सुबह पूर्वी तट से यात्रा शुरू करे, तो वह किस दिन गंतव्य पर पहुँचेगी?",मंगलवार
71,एक कारखाने में ५ दिनों में २४५० मोटरसाइकिलें बनती हैं। ५ सप्ताह में उस कारखाने में कितनी मोटरसाइकिलें बनेंगी?,१७१५०
40,राकेश दुकान से ३३ रुपये प्रति अंडे के हिसाब से ढाई दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ४ अंडे खराब हैं। तो राकेश के कितने रुपये के अंडे खराब नहीं हुए?,८५८
83,आज मैं सुबह १०:२० बजे स्कूल जाने के लिए घर से निकला। शाम ४:२० बजे घर वापस आया। हिसाब करता हूँ कि आज मैं कितने घंटे घर से बाहर रहा।,६
26,राकेश दुकान से १४ रुपये प्रति अंडे के हिसाब से आधा दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ३ अंडे खराब हैं। तो राकेश के कितने रुपये खर्च हुए?,८४
195,एक पार्किंग लॉट में १४ कारें और ५ बाइकें हैं। उस पार्किंग लॉट में पहियों की संख्या ज्ञात कीजिए।,६६
156,ब्रुकलिन हर महीने धर्मार्थ संस्था को १४५३ रुपये दान करती है। एक साल में उसके कुल दान का हिसाब कीजिए।,१७४३६
166,"कार्सन को जलीय जीवों पर एक रिपोर्ट तैयार करनी है। इसलिए, वह एक एक्वेरियम देखने जाता है और कुल ५ ऑक्टोपस देखता है। वह ऑक्टोपस के पैरों की संख्या का उल्लेख करना चाहता है। ऑक्टोपस के पैरों की कुल संख्या ज्ञात कीजिए।",४०
362,लियोनार्दो एक चॉकलेट खरीदना चाहता है। चॉकलेट की कीमत ५ रुपये है और लियोनार्दो की जेब में केवल ४ रुपये हैं। उसने अपने दोस्त से ५९ पैसे उधार लिए। एक चॉकलेट खरीदने के लिए लियोनार्दो को अब और कितने पैसे चाहिए?,४१
23,राकेश दुकान से १४४ रुपये प्रति दर्जन के हिसाब से ढाई दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ४ अंडे खराब हैं। तो राकेश के कितने रुपये खर्च हुए?,३६०
234,"जीव विज्ञान के शिक्षक ने देखा कि कालेब क्लास में ध्यान नहीं दे रहा है और उन्होंने उससे प्रयोगशाला में कीड़ों की संख्या बताने को कहा, यदि कीड़ों के कुल ४२ पैर हैं। कालेब का उत्तर क्या होना चाहिए?",७
47,तुषार दुकान से १२० रुपये प्रति दर्जन के हिसाब से साढ़े तीन दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ८ अंडे खराब हैं। तो तुषार का कितने रुपये का नुकसान हुआ?,८०
406,"४:१२ बजे केशव का लैपटॉप पूरी तरह चार्ज हो जाने के बाद, केशव ने एक ७ घंटे की सीरीज़ देखनी शुरू की, केशव तब तक मूवी देखता रहा जब तक केशव के लैपटॉप की बैटरी १०:४३ pm पर पूरी तरह खत्म नहीं हो गई। केशव को अभी और कितने मिनट मूवी देखनी बाकी है?",२९
347,"जॉन एक-एक अक्षर से शुरू करके शब्द सीख रहा है। जॉन सबसे पहले बांग्ला भाषा के व्यंजन सीखने से शुरुआत करता है। यदि जॉन को एक अक्षर सीखने में ४ दिन लगते हैं, तो जॉन को सभी व्यंजन सीखने में कितने दिन लगेंगे?",१५६
77,एक कारखाने में ५ दिनों में २४५० मोटरसाइकिलें बनती हैं। ४ सप्ताह में उस कारखाने में कितनी मोटरसाइकिलें बनेंगी?,१३७२०
390,अन्ना प्रतिदिन काम करती है और साप्ताहिक आधार पर १३७९ रुपये वेतन पाती है। यदि अन्ना इस सप्ताह २ दिन काम पर नहीं जाए तो उसका कटा हुआ वेतन ज्ञात कीजिए।,९८५
58,आशीष के फार्म के पशुओं के कुल ४६० पैर हैं। उसके फार्म में कुल कितनी गायें हैं?,११५
185,"एक कार पार्किंग लॉट में, ग्रेसन ने देखा कि कारों के ४८ पहिये हैं। पार्किंग लॉट में कारों की संख्या कितनी है?",१२
25,राकेश दुकान से १३२ रुपये प्रति दर्जन के हिसाब से आधा दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि २ अंडे खराब हैं। तो राकेश के कितने रुपये खर्च हुए?,६६
18,अमित दुकान से आधा दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि २ अंडे खराब हैं। तो अमित के पास कितने अच्छे अंडे हैं?,४
168,एक फार्म में जानवरों के ४२ पैर हैं और कुल १५ जानवर हैं। कुछ बत्तखें हैं और कुछ गायें। गायों की संख्या ज्ञात कीजिए।,६
392,सुबह ४ बजे बोस्टन से यात्रा शुरू करके शाम ८ बजे शिकागो पहुँचता हूँ। मेरी यात्रा का समय कितना था?,१६
32,गोपाल दुकान से १० रुपये प्रति अंडे के हिसाब से साढ़े छह गंडा अंडे लेकर घर गया। तो गोपाल के कितने रुपये खर्च हुए?,२६०
325,ताश के डेक से ४ काले कार्ड निकाले गए हैं। बचे हुए काले कार्डों की संख्या कितनी है?,२२
393,एक गैराज में बाइकों के १४ पहिये हैं। १४ पहियों का उपयोग करके वह कितनी बाइकें जोड़ सकता है?,७
193,थैंक्सगिविंग सेल के दौरान निर्मला ने ३ जोड़ी जूते खरीदे। अब उसके कुल नए जूतों की संख्या कितनी है?,६
389,एक फुटबॉल टीम प्रतिदिन ५ घंटे अभ्यास करती है। इस सप्ताह १ दिन बारिश के कारण वे अभ्यास नहीं कर पाए। ज्ञात कीजिए कि उन्होंने इस सप्ताह कुल कितने घंटे अभ्यास किया।,३०
322,ईथन और आरियाना एक किमी लंबी दौड़ में दौड़ रहे हैं। आरियाना जब स्टार्ट लाइन से १८४ मीटर दूर थी तब ईथन ने रेस पूरी की। ईथन और आरियाना के बीच कितने मीटर की दूरी थी?,८१६
153,विक्टोरिया ९५ मीटर/सेकंड की गति से चलती है। वह २ मिनट में कितने किमी पार कर सकती है?,११.४०
6,एक दुकानदार के पास ताश के ७ डेक हैं। उसके पास कुल कितने लाल रंग के कार्ड हैं?,१८२
46,तुषार दुकान से १२० रुपये प्रति दर्जन के हिसाब से डेढ़ दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ५ अंडे खराब हैं। तो तुषार का कितने रुपये का नुकसान हुआ?,५०
94,(३ घंटे १३ मिनट) - (२ घंटे १२ मिनट) = कितने मिनट?,६१
256,"एक्सेल ने बोर्ड पर हिंदी का प्रत्येक स्वर लिखा। यदि प्रत्येक स्वर २ बार लिखा गया हो, तो बोर्ड पर कुल कितने अक्षर लिखे गए थे?",२२
109,एक कारखाने में एक मशीन लगातार ढाई सप्ताह चलती रहती है। मशीन कुल कितने घंटे चलती है?,४२०
379,हाथों और पैरों के अंगूठों सहित सभी उंगलियों के नाखून काटने हैं। एक नाखून काटने पर नेलकटर एक विशेष प्रकार की आवाज़ करता है। ५ लोगों की सभी उंगलियों के लिए यह आवाज़ कितनी बार होगी?,१००
248,"यदि एक वर्ग की प्रत्येक भुजा पर बाड़ लगाने में ७९ रुपये खर्च होते हैं, तो बाड़ की कुल लागत कितनी है?",३१६
176,एबिगेल ने पूरे साल के लिए हर महीने ४ हज़ार रुपये बचाने का निर्णय लिया है। साल के अंत में एबिगेल कितने हज़ार रुपये बचा लेगी?,४८
4,एक लड़का एक मैदान में ५ गायें चरा रहा है। वहाँ कुल कितने पैर हैं?,२२
19,अमित दुकान से डेढ़ दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ४ अंडे खराब हैं। तो अमित के पास कितने अच्छे अंडे हैं?,१४
407,"जीव विज्ञान के शिक्षक ने देखा कि जूलिया क्लास में ध्यान नहीं दे रही है और उन्होंने उससे प्रयोगशाला में कीड़ों की संख्या बताने को कहा, यदि कीड़ों के कुल ३० पैर हैं। जूलिया का उत्तर क्या होना चाहिए?",५
402,जेसन ४६० मीटर/सेकंड की गति से दौड़ता है। वह ३८ सेकंड में कितने किमी पार कर सकता है?,१७.४८
182,जियाना ने पूरे साल के लिए प्रतिदिन ३९ रुपये बचाने का निर्णय लिया है। साल के अंत में जियाना कितने रुपये बचा लेगी?,१४२३५
64,"अमित की माँ ने कहा कि जतिन का जन्म अप्रैल के अगले महीने में हुआ था, लेकिन अमित जतिन से एक महीने बड़ा है। अप्रैल महीने में अमित का जन्मदिन होने की संभावना कितनी है?",१
391,जोशुआ मई महीने में एक स्कूल के प्रधानाध्यापक बने। उसी साल सेवानिवृत्त होने से पहले जोशुआ २ महीने प्रधानाध्यापक रहे। जोशुआ किस महीने में सेवानिवृत्त हुए?,जुलाई
102,एक स्टील मिल में एक महीने में १२००० मीट्रिक टन रॉड बनती है। उस मिल में प्रतिदिन कितनी रॉड बनती है?,४००
115,एक दुकानदार के पास ताश के ३ पूरे डेक और अतिरिक्त ४ ताश हैं। उसके पास कुल कितने कार्ड हैं?,१६०
177,प्रतिदिन आइज़क सुबह ७ बजे नींद से उठता है और रात ११ बजे सोने जाता है। आइज़क दिन में कितने घंटे सोता है?,८
278,सारा के पास ताश के ११ पूरे डेक हैं। उसके पास कुल कितने इक्के हैं?,४४
132,एक फार्म में जानवरों के ६० पैर हैं और कुल २० जानवर हैं। कुछ मुर्गियाँ हैं और कुछ भेड़ें। भेड़ों की संख्या ज्ञात कीजिए।,१०
125,डॉक्टर ने आर्या को लगातार २ सप्ताह तक प्रतिदिन एक सेब खाने की सलाह दी है। उसे कितने सेब खरीदने होंगे?,१४
226,कूपर ने पूरे साल के लिए प्रतिदिन ३४ रुपये बचाने का निर्णय लिया है। साल के अंत में कूपर कितने रुपये बचा लेगा?,१२४१०
203,सोफिया प्रतिदिन दस पैसे बचाना शुरू करती है। कितने दिनों में वह कुल २ रुपये बचा लेगी?,२०
254,"लियो एक ट्रेन से या तो ऑफिस जा रहा होता है या लौट रहा होता है। यदि लियो घर से ऑफिस जाने के लिए २४ रुपये देता है, तो लियो २० कार्यदिवसों के लिए आने-जाने में कितना खर्च करता है?",९६०
383,पार्कर के पास एक नौकरी है जो उसे प्रतिदिन ६३ रुपये देती है और वह हर दिन काम करता है। ६ सप्ताह में पार्कर द्वारा कमाई गई राशि की गणना कीजिए।,२६४६
351,एलिज़ाबेथ ने एक दर्जन केले खरीदे। उसने ४ केले खा लिए। अब कितने बचे हैं?,८
275,मोहन के पास ताश के ५ पूरे डेक हैं। उसके पास कुल कितने इक्के हैं?,२०
76,एक कारखाने में २ दिनों में ४५० मोटरसाइकिलें बनती हैं। ४ सप्ताह में उस कारखाने में कितनी मोटरसाइकिलें बनेंगी?,६३००
114,थॉमस अपनी कार के बीमे पर प्रति वर्ष ४ हज़ार रुपये खर्च करता है। एक दशक में उसने कितने हज़ार रुपये खर्च किए?,४०
117,"पूर्वी तट से पश्चिमी तट तक एक २८ घंटे की ट्रेन है। यदि ट्रेन मंगलवार को बहुत सुबह पूर्वी तट से यात्रा शुरू करे, तो वह किस दिन गंतव्य पर पहुँचेगी?",बुधवार
17,अमित दुकान से तीन दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ८ अंडे खराब हैं। तो अमित के पास कितने अच्छे अंडे हैं?,२८
67,जून महीने की ३१ तारीख को जतिन का जन्मदिन होने की संभावना कितनी है?,०
154,कैरोलिन ने एक फुट लंबा बर्गर खरीदा और उसे अपने भाई के साथ आधा-आधा बाँट लिया। प्रत्येक को कितने इंच हिस्सा मिलेगा?,६
8,राजेश अपने बेटे से कहता है कि यदि आकाश में पक्षियों के कुल २० पंख हैं तो वहाँ कितने पक्षी होने चाहिए?,१०
20,अमित दुकान से ढाई दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ३ अंडे खराब हैं। तो अमित के पास कितने अच्छे अंडे हैं?,२७
141,"अलोक १२ बजे स्कूल जाता है। मंगलवार को अलोक की क्लासें इस क्रम में होती हैं: गणित, इतिहास, भूगोल, विज्ञान और संगीत। अभी-अभी अलोक की विज्ञान की क्लास खत्म हुई है। अब दोपहर बाद का समय क्या है?",४
371,लीरा ने १३ साल की उम्र में अपने जन्मदिन पर एक संस्था को ५ हज़ार रुपये दान करना शुरू किया। कल लीरा ३३ साल की हो गई। अब तक लीरा ने कितने हज़ार रुपये दान किए हैं?,१०५
358,सोफी एक मेडिकल स्कूल में पढ़ रही है। सोफी २-२ घंटे में मानव शरीर की एक-एक हड्डी का विश्लेषण कर रही है। सोफी को विश्लेषण पूरा करने में कितने घंटे लगेंगे?,४१२
119,"पार्कर प्रतिदिन ८ घंटे सोता है। यदि आज वह सुबह ९ बजे नींद से उठा, तो वह कितने बजे सोया था?",१०
405,"एडम को प्रतिदिन डायबिटीज़ कैप्सूल खाने की सलाह दी गई है। जुलाई महीने में, वह ४ दिन कैप्सूल खाना भूल गया। जुलाई महीने में उसने कुल कितने कैप्सूल खाए?",२७
318,"विक्टोरिया ने एक प्रदर्शनी में रखे सभी वाणिज्यिक विमानों के पंख गिने। यदि कुल ५० पंख हों, तो कितने प्लेन थे?",२५
397,"माधव ने अप्रैल महीने में अपना देश छोड़ा, और जुलाई में उसी तारीख को लौटने से पहले कई महीने ऑस्ट्रेलिया में रहा। माधव कितने महीने ऑस्ट्रेलिया में रहा?",३
306,"मुकेश ने बोर्ड पर अंग्रेज़ी का प्रत्येक व्यंजन (consonant) लिखा। यदि प्रत्येक व्यंजन ९ बार लिखा गया हो, तो बोर्ड पर कुल कितने अक्षर लिखे गए थे?",१८९
61,"अमित की माँ ने कहा कि जतिन का जन्म अप्रैल के अगले महीने में हुआ था, लेकिन अमित जतिन से एक महीने बड़ा है। मई महीने में जतिन का जन्मदिन होने की संभावना कितनी है?",१
80,"एक बस स्टेशन से क कंपनी की बस १५ मिनट के अंतराल पर और ख कंपनी की बस २५ मिनट के अंतराल पर छूटती है। यदि सुबह ८:४५ पर दोनों कंपनियों की बसें एक साथ छूटें, तो अगली बार सुबह कितने बजे फिर से एक साथ छूटेंगी?",१०
297,जैक्सन हर महीने तीन दिन काम से छुट्टी लेता है। पूरे साल में जैक्सन ने कितनी छुट्टियाँ लीं?,३६
281,सारा के पास ताश के ९ पूरे डेक हैं। उसके पास कुल कितने पान के पत्ते हैं?,११७
263,"इलियास क्लास के प्रत्येक छात्र को उनके रोल नंबर के अनुसार एक रोमन अंक स्केच करने का निर्देश देते हैं। रोल नंबर १ वाला छात्र पहला रोमन अक्षर स्केच करेगा, रोल नंबर २ वाला दूसरा रोमन अक्षर स्केच करेगा, इत्यादि। अंत में, इलियास सभी स्केच इकट्ठा करके देखते हैं कि प्रत्येक रोमन अक्षर के १७ स्केच हैं। क्लास में कितने छात्र थे?",११९
334,"करण अपने १४ जोड़ी जूते बदलवाना चाहता है। यदि बदलवाने की लागत ३७ रुपये प्रति जूता है, तो करण को कितने रुपये देने होंगे?",१०३६
110,एक कारखाने में एक मशीन लगातार डेढ़ सप्ताह चलती रहती है। मशीन कुल कितने घंटे चलती है?,२५२
342,"प्रतिदिन मीरा अपने फोन पर ६ घंटे बिताती है। यदि इस समय का आधा हिस्सा सोशल मीडिया पर खर्च होता है, तो एक सप्ताह में वह सोशल मीडिया पर कितना समय बिताती है?",२१
174,"आयोजकों ने स्टेडियम के अंदर सभी के लिए एक टोकरी में मुफ्त प्लेकार्ड रखने का निर्णय लिया। प्रत्येक व्यक्ति ने टोकरी से दो प्लेकार्ड उठाए और आयोजकों को ३९ मिनट बाद टोकरी बदलनी पड़ी। उस समय तक कितने लोग स्टेडियम में प्रवेश कर चुके थे, यदि टोकरी में ८२३ प्लेकार्ड रखे जा सकते हैं?",४११.५०
142,"महीने के अंत में हडसन अपने दिसंबर के खर्च का हिसाब कर रहा था। उसने देखा कि उसने बर्गर पर कुल ४६५ रुपये खर्च किए हैं। दिया गया है कि हडसन प्रतिदिन समान संख्या में बर्गर खाता है, तो वह प्रतिदिन कितने रुपये के बर्गर खाता है?",१५
368,एक वर्गाकार पार्क के चारों ओर बाड़ लगाने की कुल लागत २२४ रुपये थी। प्रत्येक भुजा पर बाड़ लगाने में कितने रुपये खर्च होते हैं?,५६
286,स्नेहा के पास ताश के २५ पूरे डेक हैं। उसके पास कुल कितने चिड़ी के पत्ते हैं?,३२५
240,एक अक्षर लिखने के लिए अलेक्जेंडर को कागज़ की एक शीट चाहिए। सभी स्वर लिखने के लिए कितने कागज़ों की ज़रूरत होगी?,११
149,"एवा पास के एक पशु फार्म में जाने का निर्णय लेती है जहाँ कुल ९ जानवर हैं। वह प्रवेश द्वार के पास एक कतार में खड़ी है, गेट से उसे फार्म के जानवरों के पैर दिखाई दिए और उसने कुल २६ पैर गिने। वह पहले से जानती है कि इस फार्म में केवल मुर्गियाँ और भैंसें हैं। इस जानकारी से भैंसों की संख्या ज्ञात कीजिए।",४
323,मारिया और सोनिया ने शतरंज खेलने का निर्णय लिया लेकिन ४ मोहरे नहीं थे। कितने मोहरे मौजूद थे?,२८
181,जय देखता है कि उसके कमरे में ५ मकड़ियाँ हैं। मकड़ियों के पैरों की कुल संख्या ज्ञात कीजिए।,४०
120,एक विशेष प्रजाति के पौधे की ऊँचाई प्रत्येक दशक में ७५ मीटर बढ़ती है। ४ शताब्दियों में कुल ऊँचाई की वृद्धि ज्ञात कीजिए।,३०००
199,"९ लड़कियों का एक समूह नेल पॉलिश करवाने के लिए एक स्पा में गया। यदि प्रत्येक लड़की के हाथों और पैरों की सभी उंगलियाँ पॉलिश की जाती हैं, तो स्पा कर्मियों द्वारा पॉलिश की गई कुल उंगलियों की संख्या ज्ञात कीजिए।",१८०
209,नोआ के पास एक नौकरी है जो उसे प्रतिदिन ७० रुपये देती है और वह हर दिन काम करता है। ४ सप्ताह में नोआ की कमाई कितनी होगी?,१९६०
146,माया प्रतिदिन चार पैसे बचाने लगी। कितने दिनों में वह कुल ५ रुपये बचा लेगी?,१२५
246,लिंकन के खिलौनों के बॉक्स में हमारी संख्या प्रणाली के प्रत्येक अंक का प्रतिनिधित्व करने वाले खिलौने हैं। लिंकन के पास भाई-बहनों के लिए ऐसे ६ और खिलौनों के बॉक्स हैं। उनके पास कितने खिलौने हैं?,७०
