Q No.,Question,Answer
572,मनोरमा देवी ने अपनी पारिवारिक जरूरत के लिए ६% की दर से कुछ रुपये और ४% की दर से कुछ रुपये कर्ज लिए। उन्होंने कुल ५६००० रुपये कर्ज लिया और अंत में २८४० रुपये ब्याज चुकाया। पूरे कर्ज पर ५% ब्याज लागू हो तो वार्षिक ब्याज कितना है?,२८००
313,समकोण समद्विबाहु त्रिभुज के तीनों कोणों का अनुपात लिखें।,१:१:२
405,५६०५ के साथ कौन-सी छोटी से छोटी संख्या जोड़ने पर योगफल एक पूर्ण वर्ग संख्या होगा?,२०
87,तीन संख्याओं का योग ५४५२ है। यदि दो संख्याएँ २५६३ और १२४५ हों तो तीसरी संख्या कितनी है?,१६४४
258,"मैंने गत्ते का एक वर्गाकार बक्सा बनाया है। उसमें कई वर्गाकार खाने हैं। मेरे भाई ने प्रत्येक खाने में १ पांच रुपये का सिक्का, १ दो रुपये का सिक्का और १ एक रुपये का सिक्का रखा है। यदि भाई ने कुल ११५२ रुपये रखे हों, तो मेरे बनाए गत्ते के बक्से की प्रत्येक कतार में कितने खाने हैं, हिसाब करें।",१२
266,"इस साल के गणतंत्र दिवस पर हमारे स्कूल के शारीरिक शिक्षा के सर ने हमें अलग-अलग समय पर १२, १५ और २० कतारों में खड़ा करके तरह-तरह की परेड करवाई थी। एक समय हमें ठोस वर्गाकार रूप में भी सजाया था। उस दिन कम से कम कितने छात्र-छात्राएं विद्यालय में उपस्थित थे, हिसाब करें।",९००
604,"एक आयताकार कमरे की लंबाई चौड़ाई की डेढ़ गुनी है। इसका क्षेत्रफल २१६ वर्ग मीटर हो, तो परिमिति कितनी है?",६०
110,"सरस्वती विद्या मंदिर स्कूल की छठी कक्षा के छात्र-छात्राओं को, स्कूल के बगीचे में लगाने के लिए पंचायत से फूलों के पौधे भेजे गए। हिसाब करने पर देखा गया कि पौधों को २०, २४ या ३० पंक्तियों में लगाने पर हर स्थिति में प्रत्येक पंक्ति में बराबर पौधे रहते हैं। पंचायत से कम से कम कितने पौधे भेजे गए थे, हिसाब करके देखते हैं।",१२०
149,"किसी एक देश का क्षेत्रफल लगभग ३२८७२६३ वर्ग किलोमीटर है। इसमें वनभूमि लगभग ७५४७४० वर्ग किलोमीटर और नदी घाटी २५०३००० वर्ग किलोमीटर में फैली है। वनभूमि और नदी घाटी को छोड़कर बाकी हिस्से का क्षेत्रफल कितना है, देखें।",२९५२३
42,माँ और पुत्र की आयु का योग ६० वर्ष है। माँ की आयु पुत्र की आयु की ३ गुनी है। माँ की आयु कितनी है?,४५
351,"एक लाठी का १/२ हिस्सा मिट्टी में, १/३ हिस्सा पानी में और शेष हिस्सा पानी के ऊपर है। पानी के ऊपर के हिस्से की लंबाई ३ मीटर है। लाठी का कितना मीटर पानी में है?",६
449,एक मछली विक्रेता ने प्रति गंडा (४ मछलियां) हिलसा मछली १६०० रुपये में खरीदकर प्रत्येक मछली ३५० रुपये में बेची। उन्हें प्रति सौ कितना लाभ या घाटा हुआ?,१२.५०
57,३/५ वर्ग मीटर क्षेत्रफल के लिए २ डेसीलीटर रंग लगता है। १ डेसीलीटर रंग से कितने वर्ग मीटर क्षेत्रफल रंगा जा सकेगा?,३/१०
647,दो संकेंद्रित वृत्तों की त्रिज्याएं क्रमशः ९ से.मी. और ४ सेमी हैं। दोनों वृत्तों की परिधियों के बीच के क्षेत्र का क्षेत्रफल कितना है?,२०४.१०
345,७/४ मी. लंबाई और ६/५ मी. चौड़ाई वाले एक आयताकार बोर्ड का क्षेत्रफल निकालें।,२१/१०
269,"दो धनात्मक संख्याओं का गुणनफल १६२ और भागफल २ है; दोनों संख्याएं क्या होंगी, हिसाब करें। छोटी संख्या कौन-सी है?",९
146,"एक शहर की जनसंख्या दो करोड़ अट्ठानबे लाख बहत्तर हजार छह सौ है। इनमें पुरुष १२५००५०० और महिलाएं ८८७२४३५ हों तो बच्चों की संख्या कितनी है, हिसाब करें।",८४९९६६५
536,एक ट्रेन ३० कि.मी. प्रति घंटे की रफ्तार से चलकर नई दिल्ली स्टेशन से गाजियाबाद स्टेशन पहुंची। २५ कि.मी. होती तो १० मिनट समय ज्यादा लगता। दोनों स्टेशनों के बीच की दूरी कितनी है?,२५
109,"विकास और उसके दोस्तों ने मिलकर ८ या १० सदस्यों वाली नाटक की एक टीम बनाने की सोची। कम से कम कितने लोग होने पर वे दोनों प्रकार की टीमें बना सकेंगे, हिसाब करते हैं।",४०
25,पिता-पुत्र की आयु का योग ५५ वर्ष है। पिता की आयु पुत्र की आयु की ४ गुनी है। पिता की आयु कितनी है?,४४
119,"मेरे पास २० रुपये हैं। मैंने ५ रुपये खर्च किए। मेरे रुपयों का कितना भाग अभी भी मेरे पास है, हिसाब करता हूँ।",३/४
134,"२ लोग एक दिन में एक दरवाजे का १/३ हिस्सा पॉलिश कर सकते हैं। २ दिनों में दरवाजे का २/३ हिस्सा पॉलिश करना हो तो कितने लोग लगेंगे, हिसाब करें।",२
320,यदि कोई दुकान ५०० रुपये की वस्तु पर २०% छूट दे तो आप कितने रुपये बचाएंगे?,१००
632,"दो संख्याओं का योगफल १६० है और एक दूसरी की तिगुनी हो, तो छोटी संख्या निकालें।",४०
83,पार्क में ६ अखरोट के पेड़ हैं। पार्क के कर्मचारी आज ४ पेड़ हटाएँगे। कर्मचारियों का काम पूरा होने के बाद पार्क में कितने अखरोट के पेड़ रहेंगे?,२
481,एक हौज में दो नल हैं। पहले और दूसरे नल से क्रमशः १२ घंटे और १८ घंटे में खाली हौज भर जाता है। दोनों नल एक साथ खोल देने पर खाली हौज भर जाता है। दोनों नल एक साथ खोल देने पर खाली हौज कितने घंटों में भरेगा?,७.२०
168,"अलका के भैया ने घर से साइकिल पर सवार होकर रामपुर नाव घाट पहुंचने में १.४ घंटे का समय लिया। यदि वह ११.५ कि.मी. प्रति घंटे की रफ्तार से साइकिल चलाए तो अलका के घर से रामपुर नाव घाट कितनी दूर है, हिसाब करें।",१६.१०
78,दस हज़ार रुपये के लिए कुल कितने पाँच सौ रुपये के नोटों की आवश्यकता है?,२०
522,तीन क्रमागत प्राकृतिक संख्याओं का योग ६३ हो। छोटी संख्या निकालें।,२०
71,३५.२८ लीटर तेल ९ परिवारों में बराबर बाँटने पर प्रत्येक परिवार को कितने लीटर तेल मिलेगा?,३.९२
394,पूजा ने बैंक से १२% वार्षिक ब्याज पर कुछ रुपये कर्ज लेकर एक साल बाद १६८० रुपये ब्याज दिया। मूलधन कितना था?,१४०००
332,"६, ४, ८ और २ अंकों का केवल एक-एक बार इस्तेमाल करके बनी बड़ी से बड़ी और छोटी से छोटी संख्या का अंतर कितना है?",६१७४
354,एक हॉस्टल में प्रतिदिन ६०/७ क्विंटल चावल लगता है। हॉस्टल में एक सप्ताह में कितने क्विंटल चावल लगेगा?,६०
133,"राजीव, देवांगना, मासूम और तनीषा ६ दिनों में १५०टी सवाल हल कर सकते हैं। हिसाब करके देखें, यदि प्रत्येक व्यक्ति प्रतिदिन समान मात्रा में सवाल हल करे तो राजीव और तनीषा कितने दिनों में २५० सवाल हल कर पाएंगे।",२०
61,५ कप हैं जिनमें से प्रत्येक का वज़न ०.३ किलो है। ५ कपों का वज़न मिलाकर कितना है?,१.५०
213,"४२० रुपये, ५६० रुपये और ६३० रुपये - का म.स.प. खोजें।",७०
580,प्रति सौ ८.५० रुपये वार्षिक चक्रवृद्धि ब्याज पर १०००० रुपयों का २ साल का चक्रवृद्धि ब्याज निकालें।,१७७२.२५
335,राकेश के पास ४५ सेब और १८ संतरे हैं। राकेश कोई सेब या संतरा शेष न रखते हुए ज्यादा से ज्यादा बच्चों के बीच इस तरह बांटना चाहता है कि प्रत्येक को बराबर संख्या में सेब और संतरे मिलें। राकेश कितने बच्चों के बीच इन्हें बांट सकेगा?,९
341,"एक शिक्षक ६० पेंसिलें, ३६ रबड़ और १८ कॉपियां कुछ विद्यार्थियों के बीच बराबर बांटना चाहते हैं। ज्यादा से ज्यादा कितने विद्यार्थियों के बीच ये पेंसिलें, रबड़ और कॉपियां बराबर बांटी जा सकेंगी?",६
620,"एक किताब की लंबाई २५ से.मी. और चौड़ाई १८ से.मी. है। किताब के पृष्ठों की संख्या २०० है और प्रत्येक पन्ने के कागज की मोटाई ०.१ मि.मी. हो, तो किताब का आयतन निकालें।",४५०
136,"३६० बीघा जमीन २० दिनों में जोतने के लिए ४ ट्रैक्टर लगते हैं। १८०० बीघा जमीन १० दिनों में जोतनी हो तो कितने ट्रैक्टर लगेंगे, हिसाब करें।",४०
216,"तीन छोटी टंकियों में क्रमशः ३५ लीटर, ५६ लीटर और ८४ लीटर तेल है। हिसाब करें सबसे बड़े कितने माप के बर्तन से तीनों टंकियों का तेल पूर्ण संख्या में बार मापा जा सकेगा।",७
516,किस संख्या के दुगुने के साथ ५ जोड़ने पर योगफल २५ होगा?,१०
376,"एक बक्से के २० संतरों में से हमने ३ का वजन मापकर पाया क्रमशः ३३५ ग्राम, ३२० ग्राम और ३७१ ग्राम। औसत वजन के आधार पर २० संतरों का कुल वजन (किलो में) निकालें।",६.८४
370,३.२५ मीटर लंबे एक लोहे के टुकड़े का वजन १५.६ किलो है। लोहे के टुकड़े के प्रति मीटर का वजन निकालें।,४.८०
245,"साकिर ने गिनकर देखा कि उसके पास ४५० पीले बटन हैं। उसने उन्हें वर्गाकार रूप में सजाने की कोशिश की। साकिर के वर्गाकार रूप में सजाने के बाद भी ९ पीले बटन बचे रहे। साकिर की सजावट की प्रत्येक कतार में कितने पीले बटन हैं, हिसाब करें।",२१
603,एक आयताकार क्षेत्र का क्षेत्रफल १० एकड़ है और उसकी लंबाई चौड़ाई की ४ गुनी है। क्षेत्र की लंबाई कितने मीटर है?,४०२.३४
334,मेरे पास ३६ से.मी. लंबा और २४ से.मी. चौड़ा एक कागज है। मैं वर्ग आकार के कागज से कागज के पन्ने को ढकना चाहता हूं। संभव सबसे बड़े कागज के वर्ग की भुजा की लंबाई कितनी है?,१२
30,आलोक बाबू का मासिक वेतन ९८७० रुपये है। हर महीने वे ३८०० रुपये मकान किराए में और ५६५० रुपये परिवार की ज़रूरतों में खर्च करते हैं। शेष रुपये वे एक बैंक में जमा करते हैं। वे साल में कितने रुपये बैंक में जमा करते हैं?,५०४०
554,"प्रति सौ वार्षिक ब्याज कितने रुपये हो, तो १३००० रुपये ५ साल में ब्याज-मूलधन मिलाकर दुगुने होंगे?",१२.५०
287,५००० के सबसे निकट की ५००० से छोटी पूर्ण वर्ग संख्या खोजें।,४९००
426,"करण बाबू के तीन बेटों की उम्र क्रमशः ५ साल, ७ साल और ९ साल है। उन्होंने ४२०० रुपये तीनों बेटों को उनकी उम्र के अनुपात में बांट दिए, मंझले बेटे को कितने रुपये मिलेंगे?",१४००
292,"देवेश बाबू ने नया घर बनाया है। आज वे खुद अपने घर की दो बराबर माप की खिड़कियां रंगेंगे। प्रत्येक खिड़की के दो पल्ले हैं। यदि प्रत्येक पल्ले को रंगने में उन्हें २ घंटे १५ मिनट लगें, तो देवेश बाबू को दोनों खिड़कियां रंगने में कुल कितने घंटे लगेंगे, हिसाब करें।",९
381,६ किताबों का वजन ९२४ ग्राम है। किताबों का औसत वजन निकालें।,१५४
582,एक व्यक्ति ने एक ऋणदान संस्था से ८% वार्षिक चक्रवृद्धि ब्याज पर ५००० रुपये कर्ज लिया। हर साल के अंत में वे २०००-२००० रुपये चुकाते हैं। दूसरी किस्त चुकाने के बाद उन पर और कितने रुपये कर्ज रहेगा?,१६७२
431,"कुछ रुपये लक्की, समर और सोहम के बीच ५ : ४ : २ के अनुपात में बांटे गए। सोहम को १८० रुपये मिले हों तो लक्की को कितने रुपये मिलेंगे, निकालें।",४५०
209,सलमान बैंगनी रंग का ७.७० मी. लंबा और मदीना आसमानी रंग का ३.२६ मी. लंबा फीता लाकर दोनों रंगों के फीतों के समान लंबाई के सबसे बड़े ऐसे कई टुकड़े करना चाहते हैं जिससे टुकड़े करने के बाद दोनों रंगों के फीतों में ०.०२ मी. बचा रहे। हिसाब करके देखें समान लंबाई के सबसे बड़े माप के प्रत्येक टुकड़े की लंबाई कितनी लेंगे।,०.१२
291,"२०२* के * अंक के क्या होने पर संख्या पूर्ण वर्ग होगी, वह हिसाब करें।",५ 
321,"तरुण के फार्म में ५० बैल और ६० गायें हैं। यदि प्रत्येक गाय साल में २ बछड़ों को जन्म दे, तो एक साल बाद तरुण के फार्म में कुल कितने पशु होंगे?",२३०
333,किसी संख्या को ३ से भाग देने पर उसका भागफल ३ और शेष १ मिलता है। संख्या कितनी है?,१०
193,"रामपुर गांव की जनसंख्या पिछले साल की तुलना में १२% बढ़ी है। पहले उस गांव की जनसंख्या ७७५ थी तो, अब जनसंख्या कितनी हो गई है, हिसाब करें।",८६८
