Q No.,Question,Answer,option1,option2
207,एक छोटे लड़के ने हॉलवे में अपनी दो रबर की गेंदें लुढ़काईं। लाल गेंद १ मिनट २३ सेकंड बाद रुकी। नीली गेंद २९ सेकंड बाद रुकी। कौन-सी सबसे दूर लुढ़की?,Option 1,लाल गेंद,नीली गेंद
163,"एक रेस कार और एक पिकअप दोनों एक ही गति से हाईवे पर चल रही थीं। रेस कार का चालक थक गया और १५ मिनट बाद पार्क कर दिया, जबकि पिकअप का चालक १५ मिनट और चलाता रहा। अंत में किस वाहन ने अधिक दूरी तय की?",Option 2,रेस कार,पिकअप
137,यदि एक स्केटर एक मैदान में ३४ मीटर/सेकंड और एक स्केट पार्क में २२ मीटर/सेकंड की गति से चलता है तो इसका मतलब है कि _____ अधिक खुरदरा है?,Option 1,स्केट पार्क,मैदान
32,बाल के एक टुकड़े का व्यास ०.०६ मि.मी. है जबकि एक रस्सी का व्यास ११ मि.मी. है। इसलिए बाल?,Option 2,मज़बूत है,कमज़ोर है
23,२२२२२२२ से ५५५५५५ संख्या?,Option 2,बड़ी है,छोटी है
7,स्टैनली और काइल सड़क पर ४० मील की गति से अपनी गाड़ियाँ चला रहे हैं। स्टैनली अपने फोन का जवाब देने के लिए अपनी गाड़ी रोक देता है जबकि काइल गाड़ी चलाता रहता है। सबसे कम दूरी तक गाड़ी कौन चलाता है?,Option 1,स्टैनली,काइल
360,"पुराने पेड़ के तने की चौड़ाई ५.१ इंच है, और नए पेड़ के तने की मोटाई १० सेमी है, तो पुराना पेड़ तुलनात्मक रूप से था?",Option 1,मज़बूत पेड़,कमज़ोर पेड़
295,"मैमथ पानी के गड्ढे में से १८ किमी प्रति घंटे की गति से चला, लेकिन कठोर मिट्टी पर २७ किमी प्रति घंटे की गति से चला क्योंकि कठोर मिट्टी थी?",Option 1,कम प्रतिरोधी,अधिक प्रतिरोधी
189,एक बिल्ली नदी में से १२.५७ मीटर/सेकंड और जंगल में से ३२.९४ मीटर/सेकंड की गति से चलती है। इसका मतलब बिल्ली को कम बाधा कहाँ मिलती है?,Option 1,जंगल में,नदी में
126,बिली और जिमी एक दिन दौड़कर घर लौटने का निर्णय लेते हैं। जिमी १०० मिनट में घर पहुँचा और बिली ने १ घंटा लिया। तो क्या जिमी है?,Option 1,धीमा,तेज़
101,टीना और मीना दोनों हाईवे पर एक ही गति से जा रही हैं। टीना १२९ मिनट और मीना ३६ मिनट ४८ सेकंड ड्राइव करती है। कौन अधिक दूर ड्राइव करती है?,Option 2,मीना,टीना
62,माही का वज़न ६७८ न्यूटन है जबकि उसके दोस्त मूसा का वज़न ८५२ न्यूटन है। किसका द्रव्यमान अधिक होने की संभावना है?,Option 2,माही,मूसा
38,हमारे स्कूल से आरती और कमल के घर क्रमशः १ कि.मी. और ६०० मीटर दूर हैं। आज आरती और कमल घर से क्रमशः २० मिनट और १२ मिनट में स्कूल आए। देखते हैं कि क्या वे एक ही समय में स्कूल आए?,Option 1,एक ही समय में स्कूल आए,एक ही समय में स्कूल नहीं आए
240,एक तैराक १२ मिनट में एक झील पार करता है और ३१ मिनट में गीली कीचड़ पार करता है क्योंकि _____ अधिक चिकनी है?,Option 1,झील,गीली कीचड़
20,१२३४५६७८०९० संख्या ९८७६५४३२१ संख्या से?,Option 2,छोटी है,बड़ी है
45,गणित की किताब में ४०० पृष्ठ हैं और हिंदी की किताब में ३५० पृष्ठ हैं। कौन-सी किताब अधिक मोटी है?,Option 2,हिंदी,गणित
89,एक सेडान का वज़न ३३५१ पाउंड है और एक कचरा ट्रक का वज़न ६४००० पाउंड है। ट्रैफिक लाइट पर बत्ती हरी होने पर दोनों गाड़ियों का वेग ५० मील प्रति घंटे तक पहुँचता है। कौन-सी गाड़ी रेस जीतेगी?,Option 1,सेडान,कचरा ट्रक
378,ब्यूटी क्वीन संगमरमर के फर्श पर १३ मीटर/सेकंड की गति से चल सकी लेकिन लकड़ी के फर्श पर ९ मीटर/सेकंड की गति से। क्योंकि वह था?,Option 1,अधिक प्रतिरोधी,कम प्रतिरोधी
220,एक बिल्ली नदी में से ५ मी/सेकंड और जंगल में से ९.८९ मी/सेकंड की गति से चलती है। इसका मतलब बिल्ली को कम बाधा कहाँ मिलती है?,Option 1,जंगल में,नदी में
30,आपको कौन-सा अधिक सुनाई देगा?,Option 2,एक हेलिकॉप्टर जो 154 फुट दूर उड़ रहा है,एक हेलिकॉप्टर जो ६२ मीटर दूर उड़ रहा है
151,एक छोटे लड़के ने हॉलवे में अपनी दो रबर की गेंदें लुढ़काईं। लाल गेंद १ मिनट बाद रुकी। नीली गेंद ५७ सेकंड बाद रुकी। कौन-सी सबसे दूर लुढ़की?,Option 1,लाल गेंद,नीली गेंद
26,१२३४५६७८०९० से ९८७६५४३२१ संख्या?,Option 1,छोटी है,बड़ी है
1,"एक पिकअप और एक वैन दोनों राजमार्ग पर ६० मील की गति से चल रही हैं। यदि पिकअप निकास (एग्ज़िट) की ओर मुड़ जाए और वैन जल्दी रुक जाए, तो कौन-सी गाड़ी कम दूरी तय करेगी?",Option 1,पिकअप,वैन
206,रजनी ने देखा कि मटर जैसे कंकड़ों पर पेंसिल लुढ़काने पर ४९ जूल ऊष्मा और कार्पेट पर लुढ़काने पर ३१ जूल ऊष्मा उत्पन्न होती है। पेंसिल को अधिक बाधा कहाँ मिलती है?,Option 2,कार्पेट,मटर जैसे कंकड़
185,"तालाब में कछुए की तैरने की गति ५ मी/से है, जबकि समुद्र में २ मी/से है। कौन-सा अधिक चिकना है?",Option 1,तालाब,महासागर
296,जैस्पर अपने भांजे को पार्क ले जा रहा है। फिर उसकी भांजी की बारी है। उसकी भांजी पाँच साल बड़ी है और उसका वज़न २१ किलो है जबकि उसके भांजे का वज़न २४ किलो है। किस पर गुरुत्वाकर्षण खिंचाव अधिक है?,Option 2,भांजी,भांजा
319,एक हाथ २०० सेंटीमीटर आकार के पानी के टैंक में से १२ सेकंड में गुज़र सकता है और वह हवा में से ७ सेकंड में २ मीटर जा सकता है। कम घर्षण कहाँ है?,Option 2,पानी,हवा
166,"एक चीता ४५ किमी/घंटा की गति से दौड़ता है और कुत्ता २ किमी/घंटा की गति से दौड़ता है, तो चीते को कैसा समय लगेगा?",Option 1,कम समय,अधिक समय
341,मैं एक गाड़ी में २३ मी/से की गति से और एक साइकिल पर ४ मी/से की गति से यात्रा कर सकता हूँ। कौन-सा धीमा है?,Option 1,साइकिल,गाड़ी
361,"एक वॉलीबॉल खिलाड़ी ने जिम के फर्श पर ३ मीटर की छलांग लगाई, लेकिन समुद्र किनारे रेत पर १.२ मीटर की छलांग लगाई। क्योंकि वह थी?",Option 1,अधिक प्रतिरोधी,कम प्रतिरोधी
156,लिसा दो मॉडल रॉकेटों से खेल रही थी। उसने एक ही समय पर दोनों रॉकेट आकाश में छोड़े तो ३० सेकंड बाद काला रॉकेट ज़मीन से ३० मीटर ऊपर और लाल रॉकेट ज़मीन से १८ मीटर ऊपर था। किसकी गति अधिक थी?,Option 2,लाल वाले की,काले वाले की
306,रेंजर और रसलर दोनों एक ही समय पर घर की ओर घोड़ों पर (जो एक ही गति से दौड़ रहे थे) सवार होकर चल रहे थे। रसलर ०२:०० बजे घर पहुँच जाता है जबकि रेंजर ०१:०० बजे पहुँचता है। किसने कम समय यात्रा की?,Option 1,रेंजर,रसलर
188,मिट्टी के मैदान में लुढ़कता एक सुलेमानी पत्थर (अगेट) ३८ सेमी/सेकंड की गति से चलता है और एक खाली गुफा में लुढ़कता हुआ १२५ सेमी/सेकंड की गति से चलता है। अगेट कहाँ अधिक दूरी तक लुढ़केगा?,Option 2,मिट्टी का मैदान,खाली गुफा
321,मेरी की डोंगी खुले समुद्र में ४ मील की तुलना में खाड़ी में ईंधन खत्म होने से पहले १० मील की दूरी तय कर सकती है। इसका मतलब यह है कि _____ अधिक खुरदरा है?,Option 2,खाड़ी,खुला समुद्र
236,एक तैराक १ मिनट में एक झील पार करता है और ३ मिनट में गीली कीचड़ पार करता है क्योंकि _____ अधिक चिकनी है?,Option 1,झील,गीली कीचड़
340,जैस्पर अपने भांजे को पार्क ले जा रहा है। फिर उसकी भांजी की बारी है। उसकी भांजी उम्र में पाँच साल से अधिक बड़ी है और वज़न ३२ किलो है जबकि उसके भांजे का वज़न ४० पाउंड १३ औंस है। किस पर गुरुत्वाकर्षण खिंचाव अधिक है?,Option 1,भांजी पर,भांजे पर
305,"डग अपनी साइकिल पर अपने घर से दोस्त के घर की यात्रा करता है और वह एक घंटे में ७ मील पार करता है, और जब वह वही दूरी पैदल तय करता है, तो वह एक घंटे में २ मील पार करता है। डग जल्दी अपने दोस्त के घर कैसे पहुँचेगा?",Option 2,पैदल,साइकिल से
397,"मैमथ पानी के गड्ढे में से ३ किमी प्रति घंटे की गति से चला, लेकिन कठोर मिट्टी पर ९ किमी प्रति घंटे की गति से चला क्योंकि कठोर मिट्टी थी?",Option 1,कम प्रतिरोधी,अधिक प्रतिरोधी
253,"कछुओं का झुंड तालाब में १ सेकंड में २० सेंटीमीटर यात्रा करता है, जबकि समुद्र में २ सेकंड में ८ मीटर यात्रा करता है। कौन-सा अधिक चिकना है?",Option 2,तालाब,समुद्र
335,"इयान और एवरी एक ही स्टेशन से ट्रेन पकड़ रहे हैं। इयान की ट्रेन लाल है, और चालीस मील दूर एक गंतव्य की ओर ९ किमी प्रति घंटे की गति से जा रही है। एवरी की ट्रेन हरी है और चालीस मील दूर एक गंतव्य की ओर २३ किमी प्रति घंटे की गति से जा रही है। किस ट्रेन की गति अधिक है?",Option 2,लाल,हरी
325,"टेरी अपनी साइकिल यात्रा पर ले जाता है, पहले घास के मैदान में से ५६० सेमी/सेकंड की गति से, फिर पक्की सड़क पर १२ मी/सेकंड की गति से। पक्की सड़क थी?",Option 2,कम प्रतिरोधी,कम प्रतिरोधी
351,रजनी ने अपनी पेंसिल को अलग-अलग सतहों पर रगड़कर देखा कि कितनी ऊष्मा उत्पन्न होती है। उसने देखा कि मटर जैसे कंकड़ों पर पेंसिल रगड़ने पर ८१ जूल ऊष्मा और कार्पेट पर रगड़ने पर १३७ जूल ऊष्मा उत्पन्न होती है। पेंसिल कहाँ धीमी गति से चलेगी?,Option 1,कार्पेट,मटर जैसे कंकड़
248,महेश एक लालटेन से ४० सेमी और एक स्ट्रीट लाइट से ८९ सेमी की दूरी पर खड़ा है। कौन-सा प्रकाश स्रोत उसे अधिक चमकदार लगता है?,Option 1,लालटेन,स्ट्रीट लाइट
178,टिम की अँगूठी मैदान पर ८.१ सेमी और फर्श पर ३.२ सेंटीमीटर लुढ़कती है। कौन-सा अधिक चिकना है?,Option 2,फर्श,मैदान
221,शेरी अपनी गेंद को दो लेनों में लुढ़काती है। गेंद लाल लेन में ३२ मी/से की गति से और हरी लेन में २७ मी/से की गति से चलती है। गेंद की गति लाल लेन में अधिक क्यों है?,Option 2,अधिक घर्षण,कम घर्षण
314,"यदि एक नाव की गति ७०० सेमी/सेकंड और एक पनडुब्बी की गति ४ सेमी/सेकंड हो, तो किस जलयान को एक ही यात्रा करने में अधिक समय लगेगा?",Option 2,नाव,पनडुब्बी
297,"जॉन और रीता दौड़ रहे हैं। रीता थक जाती है और ५५ मिनट जॉगिंग करने के बाद पार्क की बेंच पर आराम करती है। जॉन पार्क में १ घंटे से दौड़ रहा है, कौन अधिक दौड़ा?",Option 1,जॉन,रीता
186,जेसन ने देखा कि उसका एटीवी बर्फ पर ५८ किमी प्रति घंटे और रेत पर ३९ किमी प्रति घंटे की गति से चलता है। रेत पर धीमा चलता है क्योंकि रेत _____?,Option 1,अधिक प्रतिरोधी है,कम प्रतिरोधी है
115,एक छोटे लड़के ने हॉलवे में अपनी दो रबर की गेंदें लुढ़काईं। लाल गेंद ७० सेकंड बाद रुकी। नीली गेंद २ मिनट ३४ सेकंड बाद रुकी। कौन-सी अधिक दूर गई?,Option 2,लाल गेंद,नीली गेंद
184,"एक काउबॉय और एक हिप्पी दोनों सैन फ्रांसिस्को में चल रहे थे, और एक ही ऊँचाई के होने के कारण वे एक ही गति से चल रहे थे। लेकिन काउबॉय सुबह ४ बजे उठा और ६ बजे चलना शुरू किया जबकि हिप्पी ने सुबह ८ बजे चलना शुरू किया। अब दोपहर है, तो?",Option 2,काउबॉय ने कम दूरी तय की है,हिप्पी ने कम दूरी तय की है
128,मार्क ने देखा कि वह अपने लॉन डार्ट को औसतन लगभग ८ मीटर दूर नरम मिट्टी में और ५ मीटर दूर रेत में फेंक सकता है। इसका मतलब है कि _____ अधिक चिकनी है?,Option 1,नरम मिट्टी,जमी हुई रेत
47,"एक ट्रेन कंडक्टर एक ट्रैक से मिट्टी पर पहियों का रास्ता बदलकर देखता है कि वह ५८ कि.मी./घंटा की गति से यात्रा कर रहा है, जबकि उतनी ही ऊर्जा से वह ३९ कि.मी./घंटा की गति से यात्रा कर रहा है। कौन-सा अधिक चिकना था?",Option 2,ट्रैक,मिट्टी
328,एक शहर के फायर चीफ ने देखा कि उसका फायर इंजन भीड़ भरी सड़क पर १२ मील और खुली सड़क पर ७ मील प्रति घंटे की गति से जा सकता है। कौन-सी सड़क अधिक चिकनी है?,Option 1,भीड़ भरी सड़क,खुली सड़क
153,"बॉब स्ट्रीट लाइट से २९० सेमी दूर था। वह थोड़ा हट गया और अब वह १५ मीटर दूर है, उसने देखा कि बत्ती _____ दिख रही है?",Option 2,चमकदार,धुँधली
375,केविन ने न्यूयॉर्क से शिकागो के लिए ०८:०० बजे एक विमान लिया और एस्थर ने ०७:०० बजे न्यूयॉर्क से लॉस एंजेलेस जाने वाला एक विमान लिया। दोनों एक ही प्रकार के विमान से यात्रा कर रहे हैं इसलिए उनकी यात्रा की गति एक ही है। दोनों एक ही समय पर अपने गंतव्य पर पहुँच गए। किसने अधिक समय यात्रा की?,Option 2,केविन,एस्थर
155,डिलन एक कंकड़ (जिसका द्रव्यमान ०.२ किग्रा है) और बास्केटबॉल (जिसका द्रव्यमान १ किग्रा है) खिड़की से बाहर फेंकता है। _____ पर अधिक शक्तिशाली गुरुत्वाकर्षण खिंचाव था क्योंकि उसका द्रव्यमान अधिक है?,Option 2,कंकड़,बास्केटबॉल
288,जेम्स अपनी स्लेज सूखी बर्फ पर ४.१ मीटर और गीली बर्फ पर १.४९ मीटर चला सकता है। इसका मतलब _____ अधिक खुरदरी है?,Option 1,गीली बर्फ,सूखी बर्फ
73,एलियट देखता है कि वह एक हैंडकार्ट को सीमेंट पर १९ मी/सेकंड और कार्पेट पर २३ मी/सेकंड की गति से धकेल सकता है। हैंडकार्ट कहाँ अधिक गर्मी उत्पन्न करेगा?,Option 2,कार्पेट पर,सीमेंट पर
119,महेश का सिक्का उसकी सिरेमिक प्लेट पर २ सेमी/मिनट की गति से और कागज़ की प्लेट पर १ सेमी/मिनट की गति से घूमता प्रतीत होता है। इसका मतलब उसका सिक्का कहाँ अधिक गर्म हो जाता है?,Option 1,कागज़ की प्लेट,सिरेमिक प्लेट
17,१२३४५६ संख्या ९८७६५४ संख्या से?,Option 2,बड़ी है,छोटी है
71,केट की नाव का प्रोपेलर समुद्र में १३०० चक्कर की गति से और नदी में प्रति सेकंड १३० चक्कर की गति से चला। इसका मतलब प्रोपेलर कहाँ कम गर्म होता है?,Option 2,समुद्र,नदी
16,६७८०९० संख्या ९८७६५० संख्या से?,Option 2,बड़ी है,छोटी है
112,जिम ४६ सेमी/सेकंड की गति से दौड़ सकता था और उसकी बहन जेन २० मी/सेकंड की गति से दौड़ सकती थी। एक खतरनाक वायरस का फैलाव रोकने के लिए उन्हें अगले शहर में कुछ ज़रूरी वैक्सीन पहुँचानी थी। कम समय में वहाँ पहुँचने के लिए वैक्सीन लेकर किसे जाना चाहिए?,Option 2,जिम,जेन
105,जिम ४६ मीटर/सेकंड की गति से दौड़ सकता था और उसकी बहन जेन ५२ मी/सेकंड की गति से दौड़ सकती थी। एक खतरनाक वायरस का फैलाव रोकने के लिए उन्हें अगले शहर में कुछ ज़रूरी वैक्सीन पहुँचानी थी। कम समय में वहाँ पहुँचने के लिए वैक्सीन लेकर किसे जाना चाहिए?,Option 2,जिम,जेन
78,"गाड़ी चलाते हुए, मेरी को पता चला कि जंगल का घर्षण गुणांक ०.८ है, जबकि सड़क का गुणांक ०.४ है। वह अपनी गाड़ी किस पर तेज़ चला सकती है?",Option 2,जंगल में,सड़क पर
231,एक लाल चूहा और एक काला चूहा दोनों हाईस्कूल से अस्पताल की ओर दौड़ते हैं। लाल चूहा ४ मीटर/सेकंड की गति से दौड़ता है और काला चूहा २ मी/सेकंड की गति से चलता है। अस्पताल पहुँचने में किसने अधिक समय लिया?,Option 2,लाल चूहा,काला चूहा
300,"एक रेस कार और एक पिकअप दोनों एक ही गति से हाईवे पर चल रही थीं। रेस कार का चालक थककर ४५ मिनट बाद पार्किंग करता है, जबकि पिकअप का चालक ३५ मिनट तक चलाता रहा। अंत में किस वाहन ने अधिक दूरी तय की?",Option 1,रेस कार,पिकअप
83,लिंडा और मेलिंडा ने एक झील के आर-पार कयाक चलाने का निर्णय लिया। लिंडा ने ४ मिलीसेकंड में झील पार की और मेलिंडा ने ९८ मिलीसेकंड में। इनमें से कौन दूसरे जितनी तेज़ नहीं गई?,Option 2,लिंडा,मेलिंडा
258,एक सेडान का वज़न ४०००० पाउंड है और एक कचरा ट्रक का वज़न ५७८९ पाउंड है। ट्रैफिक लाइट हरी होने पर दोनों गाड़ियों का वेग ५० मील प्रति घंटे तक पहुँचता है। कौन-सी गाड़ी आसानी से प्रतियोगिता जीतेगी?,Option 2,सेडान,कचरा ट्रक
268,दो दंपतियों ने अपनी-अपनी गाड़ियों में अपना किराने का सामान लादा। प्रत्येक गाड़ी को एक-एक घोड़ा खींच रहा है और वे समान रूप से शक्तिशाली हैं। पहले घोड़े को १०० पाउंड सामान ढोना है और दूसरे घोड़े को ९० पाउंड सामान ढोना है। कौन-सा धीमा होगा?,Option 1,पहला घोड़ा,दूसरा घोड़ा
106,"एक मुर्गी १४ सेमी/सेकंड की गति से दौड़ सकती है और एक टर्की ४ सेमी/सेकंड की गति से दौड़ सकता है। यदि दोनों अस्तबल से छप्पर की ओर दौड़ें, तो वहाँ कौन जल्दी पहुँचेगा?",Option 1,मुर्गी,टर्की
18,१२३४५६७८९ संख्या ९८७६५४३२१ संख्या से?,Option 1,छोटी है,बड़ी है
65,एक बॉलिंग बॉल का द्रव्यमान १२० पाउंड और एक बेसबॉल का द्रव्यमान १३ पाउंड है। किसका गुरुत्वाकर्षण बल कमज़ोर है?,Option 1,बेसबॉल,बॉलिंग बॉल
350,माही का वज़न ६०० न्यूटन है जबकि उसके दोस्त मूसा का वज़न ८०० न्यूटन है। किसका द्रव्यमान कम होने की संभावना है?,Option 1,माही,मूसा
117,यदि एक स्केटर एक मैदान में २३ मी/से की गति से और एक स्केट पार्क में १७ मी/से की गति से चलता है तो इसका मतलब है कि _____ अधिक चिकना है?,Option 2,स्केट पार्क,मैदान
237,जिम्बो जानता है कि उसके कंचे का द्रव्यमान २ ग्राम और पत्थर का द्रव्यमान ८ ग्राम है। इसका मतलब?,Option 2,कंचे का गुरुत्वाकर्षण बल अधिक है,पत्थर का गुरुत्वाकर्षण बल अधिक है
133,जिम एक ट्रक और एक कार दोनों का मालिक है। ट्रक का वज़न कार से १३०२५ किलो अधिक है। गैस पैडल दबाने पर कौन-सी गाड़ी अधिक तेज़ी से त्वरित होगी?,Option 2,ट्रक,कार
158,टीना और मीना दोनों हाईवे पर एक ही गति से जा रही हैं। टीना १२ मिनट ५६ सेकंड और मीना ३६ मिनट ४८ सेकंड ड्राइव करती है। कौन अधिक दूर जाएगी?,Option 2,टीना,मीना
80,लिसा दो मॉडल रॉकेटों से खेल रही थी। उसने एक ही समय पर दोनों रॉकेट आकाश में छोड़े तो ३० सेकंड बाद काला रॉकेट ज़मीन से २ मीटर ऊपर और लाल रॉकेट ज़मीन से २३ सेमी ऊपर था। किसकी गति अधिक थी?,Option 2,लाल वाले की,काले वाले की
266,केविन ने न्यूयॉर्क से शिकागो के लिए १९:१० बजे एक विमान लिया और एस्थर ने १४:३० बजे न्यूयॉर्क से लॉस एंजेलेस जाने वाला एक विमान लिया। दोनों एक ही प्रकार के विमान से यात्रा कर रहे हैं इसलिए उनकी यात्रा की गति एक ही है। दोनों एक ही समय पर अपने गंतव्य पर पहुँच गए। किसने अधिक यात्रा की?,Option 2,केविन,एस्थर
334,पहला चूहा और दूसरा चूहा दोनों हाईस्कूल से अस्पताल की ओर चलने निकलते हैं। पहला चूहा ११० सेमी/सेकंड की गति से चलता है और दूसरा चूहा ३ मी/सेकंड की गति से चलता है। अस्पताल पहुँचने में किसने अधिक समय लिया?,Option 1,पहला चूहा,दूसरा चूहा
346,"एक मुर्गी ४ मीटर/सेकंड की गति से दौड़ सकती है और एक टर्की २ मीटर/सेकंड की गति से दौड़ सकता है। यदि दोनों अस्तबल से छप्पर की ओर दौड़ें, तो वहाँ कौन जल्दी पहुँचेगा?",Option 1,मुर्गी,टर्की
320,रेंजर और रसलर दोनों ऐसे घोड़ों पर सवार थे जो एक ही गति से दौड़ रहे थे। रसलर ०१:०० बजे चलना शुरू करता है जबकि रेंजर ०३:०० बजे चलना शुरू करता है। किसने अधिक यात्रा की?,Option 2,रेंजर,रसलर
148,"एक चीता ४५ मीटर/घंटा की गति से दौड़ता है और कुत्ता २ किमी/घंटा की गति से दौड़ता है, तो कुत्ते को कैसा समय लगेगा?",Option 1,कम समय,अधिक समय
132,माही का वज़न ४८० किग्रा*मी*से^-२ है जबकि उसके दोस्त मूसा का वज़न ६५० N है। किसका द्रव्यमान कम होने की संभावना है?,Option 1,माही,मूसा
222,मार्क ने देखा कि वह अपने लॉन डार्ट को औसतन लगभग १७ मीटर नरम मिट्टी में और १२ मीटर रेत में खींच सकता है। इसका मतलब है कि _____ अधिक चिकनी है?,Option 1,नरम मिट्टी,रेत
52,"मैमथ पानी के गड्ढे में से २१ किमी प्रति घंटे की गति से चला, लेकिन कठोर मिट्टी पर १४ किमी प्रति घंटे की गति से चला क्योंकि कठोर मिट्टी थी?",Option 2,कम प्रतिरोधी,अधिक प्रतिरोधी
15,१२३४५६७८९ से ९८७६५४३२१ संख्या?,Option 1,बड़ी है,छोटी है
242,"इयान और एवरी एक ही स्टेशन से ट्रेन पकड़ रहे हैं। इयान की ट्रेन लाल है, और चालीस मील दूर एक गंतव्य की ओर १० मील प्रति घंटे की गति से जा रही है। एवरी की ट्रेन हरी है और ३० मील प्रति घंटे की गति से चालीस मील दूर एक गंतव्य की ओर जा रही है। कौन-सी ट्रेन धीमी है?",Option 1,लाल,हरी
72,एक सेडान का वज़न २५०० किलो है और एक कचरा ट्रक का वज़न १००० किलो है। ट्रैफिक लाइट की बत्ती हरी होने पर दोनों गाड़ियों का वेग ५० मील प्रति घंटे तक पहुँचता है। कौन-सी गाड़ी रेस जीतेगी?,Option 2,सेडान,कचरा ट्रक
299,एक बॉलिंग बॉल का द्रव्यमान १० पाउंड और एक बेसबॉल का वज़न ५ पाउंड है। किसमें अधिक गुरुत्वाकर्षण है?,Option 2,बेसबॉल,बॉलिंग बॉल
24,६७८०९० से ९८७६५५ संख्या?,Option 2,छोटी है,बड़ी है
272,"मिट्टी पर लुढ़कता एक कंचा रेत की तुलना में ५ न्यूटन का प्रतिरोध उत्पन्न करता है, रेत पर यह ७३ न्यूटन का प्रतिरोध उत्पन्न करता है। कंचा कहाँ अधिक जा सकेगा?",Option 1,रेत,मिट्टी
85,टिम की अँगूठी मैदान पर ४.५ सेंटीमीटर और उसके फर्श पर १.२ सेंटीमीटर लुढ़कती है। टिम का _____ अधिक चिकना है।,Option 2,फर्श,मैदान
282,"डायना और डेव एक ही स्टेशन से चढ़ने के बाद एक ही ट्रेन में सवार हुए। यदि डायना १० मिनट बाद ट्रेन से उतर जाए और डेव १५ मिनट यात्रा करके फिर उतरे, तो किसने कम दूरी की यात्रा की?",Option 1,डायना,डेव
4,पृथ्वी का सबसे तेज़ थल प्राणी चीता एक खरगोश के विरुद्ध १०० मीटर की दौड़ लगा रहा था। इस दौड़ में कौन जीतेगा?,Option 1,चीता,खरगोश
149,"टेड पार्क में अपनी बाइक चला रहा था। जब वह सीमेंट के रास्ते पर था, तब वह २८ मिनट में पार्क का चक्कर लगा सका और घास पर उसे १७ मिनट लगे। बाइक कहाँ अधिक गर्म होगी?",Option 1,सीमेंट के रास्ते पर,घास पर
127,"यदि एक कार और एक पिकअप दोनों ६० मील की गति से यात्रा करें, लेकिन कार १.३ घंटे बाद रुक जाए जबकि पिकअप १८६ मिनट बाद रुके, तो किसने कम दूरी तय की?",Option 1,कार,पिकअप
98,"एक वॉलीबॉल खिलाड़ी ने जिम के फर्श पर ४० मीटर की छलांग लगाई, लेकिन समुद्र किनारे रेत पर २२ मीटर की छलांग लगाई। क्योंकि वह थी?",Option 1,अधिक प्रतिरोधी,कम प्रतिरोधी
