Q No.,Question,Answer,Domain,Sub-Domain
355,भूतल से ५०० कि.मी. ऊपर गुरुत्वीय त्वरण का मान कितना है? पृथ्वी का द्रव्यमान ५.९८ x १०^२४ किग्रा और त्रिज्या ६.३७ x १०^६ मीटर है।,८.४५,Physics,Physics
82,२ से.मी. व्यास वाले वृत्त का ८ से.मी. लंबा एक चाप केंद्र पर कितने रेडियन का कोण बनाता है?,८,Math,Trigonometry
625,क्लोरिक एसिड में हाइड्रोजन की प्रतिशत मात्रा कितनी है?,१.१८,Chemistry,Chemistry
94,किसी वृत्त की त्रिज्या १० से.मी. है। वृत्त के ३५ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने डिग्री है?,२००.५३,Math,Trigonometry
211,एक पासा फेंकने पर सम संख्या आने के अनुकूल परिणाम कितने हैं?,३,Math,Probability
349,एक बंदूक से ४०० मी./से. के वेग से १० ग्राम द्रव्यमान की एक गोली चलाई गई। यदि बंदूक का द्रव्यमान ३/२ किग्रा हो तो प्रतिक्षेप वेग कितने मी./से. है?,२.६६,Physics,Physics
414,५ घन मीटर पानी का द्रव्यमान कितना है?,५०००,Physics,Physics
663,५० ग्राम फ्लोरीन को ४ ग्राम हाइड्रोजन गैस के बीच प्रवाहित किया गया। अभिक्रिया में अभिक्रिया करने वाली हाइड्रोजन गैस का आयतन मानक अवस्था में कितने लीटर है?,२९.४५,Chemistry,Chemistry
654,२५० मिली ०.२ मोलर सोडियम क्लोराइड विलयन में कितने ग्राम सोडियम क्लोराइड है?,२.९२,Chemistry,Chemistry
537,मानक तापमान और दाब पर २ लीटर क्लोरीन गैस का भार कितना है?,६.३३,Chemistry,Chemistry
223,एक सिक्के को ७२० बार उछालने पर ४८० बार हेड आता है। तो हेड की आपेक्षिक बारंबारता कितनी है?,०.६६,Math,Probability
374,५ किग्रा द्रव्यमान की एक वस्तु को ५० मीटर ऊँची इमारत की छत से नीचे गिराया गया। भूमि को छूने से ठीक पहले गतिज ऊर्जा कितने जूल होगी?,२४५०,Physics,Physics
532,मानक तापमान और दाब पर ७ ग्राम नाइट्रोजन का मोलर आयतन कितना है?,५.६०,Chemistry,Chemistry
207,एक सिक्के को तीन बार उछाला गया। टेल से अधिक बार हेड आने की प्रायिकता कितनी है?,१/२,Math,Probability
20,-८०.६५ डिग्री सेल्सियस तापमान कितने डिग्री फ़ारेनहाइट के बराबर है?,-११३.१७,Physics,Physics
637,हाइड्रोक्लोरिक एसिड बनाने के लिए १ ग्राम हाइड्रोजन के साथ ७० ग्राम क्लोरीन मिलाई गई। कितने ग्राम क्लोरीन शेष रहेगी?,३४.५०,Chemistry,Chemistry
144,"एक आयताकार ठोस की लंबाई ८ से.मी., विकर्ण ९ से.मी. और ऊँचाई ४ से.मी. हो तो इसकी चौड़ाई कितने से.मी. है?",१,Math,Solid Geometry
687,राहुल ने कहा कि उसके पास ४५२ (हेक्साडेसिमल में) केले थे लेकिन उसने करण को ९ (हेक्साडेसिमल में) दे दिए। हेक्साडेसिमल संख्या प्रणाली में उसके पास और कितने केले रहेंगे?,४४९,CS,CS
472,सल्फर डाइऑक्साइड के १५ मोल का आणविक भार कितना है?,९६०,Chemistry,Chemistry
662,१ ग्राम हाइड्रोजन और ८५ ग्राम क्लोरीन की अभिक्रिया से हाइड्रोक्लोरिक एसिड उत्पन्न हुआ। अभिक्रिया के अंत में शेष क्लोरीन की मात्रा कितनी है?,४९.५०,Chemistry,Chemistry
362,एक ही सड़क पर परस्पर विपरीत दिशाओं से आती १५ किग्रा और १० किग्रा द्रव्यमान की दो वस्तुएँ क्रमशः ३ मी./से. और ५ मी./से. के वेग से आती हैं और आमने-सामने टकराकर एक साथ चिपक जाती हैं। मिली हुई अवस्था में वेग कितने मी./से. है?,०.२०,Physics,Physics
297,त्रुटि रहित स्लाइड कैलिपर्स की सहायता से एक छड़ की लंबाई मापते समय मूल स्केल का पाठ्यांक ५ मि.मी. और वर्नियर संपातन १६ प्राप्त हुआ। मूल स्केल के सबसे छोटे एक खाने की लंबाई ०.५ मि.मी. है और मूल स्केल के १९ खाने वर्नियर स्केल के २० खानों के बराबर हैं। वर्नियर स्थिरांक कितने मि.मी. है?,०.०२५,Physics,Physics
125,४ बजे घड़ी की घंटे और मिनट की सुइयों के बीच का कोण कितने डिग्री होगा?,१२०,Math,Trigonometry
242,पाँच सिक्के उछाले जाएँ तो कुल प्रतिदर्श बिंदु कितने हैं?,३२,Math,Probability
71,५ से.मी. त्रिज्या वाले एक वृत्त की परिधि और व्यास का अनुपात कितना है?,३.१४:१,Math,Trigonometry
72,१५ मीटर त्रिज्या वाले एक वृत्त की परिधि और व्यास का अनुपात कितना है?,३.१४:१,Math,Trigonometry
426,एक हाइड्रोलिक प्रेस के छोटे और बड़े पिस्टन का क्षेत्रफल क्रमशः ५ वर्ग से.मी. और २५ वर्ग से.मी. है। छोटे पिस्टन पर १०० न्यूटन बल लगाने पर बड़े पिस्टन पर कितना बल प्राप्त होगा?,५००,Physics,Physics
352,१० किग्रा द्रव्यमान की एक स्थिर वस्तु पर २०० न्यूटन बल २० सेकंड तक कार्य करता है। २० सेकंड बाद वेग कितने मी./से. होगा?,४००,Physics,Physics
178,यदि एक वर्ग के विकर्ण की लंबाई ८√२ से.मी. हो तो इसका क्षेत्रफल कितने वर्ग से.मी. है?,६४,Math,Solid Geometry
238,"एक चतुष्फलक को दो बार फेंका जाए, तो प्रायिकता के प्रतिदर्श बिंदु कितने हैं?",१६,Math,Probability
613,१ लीटर १ मोलर विलयन तैयार करने के लिए कितनी मात्रा में नाइट्रिक एसिड की आवश्यकता है?,६३,Chemistry,Chemistry
129,०.५० मीटर त्रिज्या वाला एक पहिया एक बार घूमने पर कितने मीटर की दूरी तय करेगा?,३.१४,Math,Trigonometry
237,१ से ९९ तक की प्राकृतिक संख्याओं में से यादृच्छिक रूप से एक संख्या ली जाए तो संख्या के पूर्ण वर्ग होने की प्रायिकता कितनी है?,१/११,Math,Probability
100,पृथ्वी का व्यास १२८०० कि.मी. है। दिल्ली और जयपुर पृथ्वी के केंद्र पर ४ डिग्री का कोण बनाते हैं। दिल्ली और जयपुर की दूरी कितने कि.मी. है?,४४६.८०,Math,Trigonometry
456,"रेल की पटरी पर ट्रेन गुज़रने से तापमान का अंतर ३५ डिग्री सेल्सियस हो जाता है, लोहे का रेखीय प्रसार गुणांक ३४.८ x १०^-६ /केल्विन है। गर्म होने के फलस्वरूप १०० मीटर लंबी रेल की पटरी की लंबाई कितने से.मी. बढ़ जाती है?",१२.१८,Physics,Physics
379,एक वस्तु का वेग कितना हो कि उसके संवेग और गतिज ऊर्जा के मान बराबर हों?,२,Physics,Physics
203,४ से.मी. भुजा वाले वर्गाकार आधार पर स्थित एक पिरामिड की ऊँचाई ३ से.मी. हो तो इसका आयतन कितने घन से.मी. है?,१६,Math,Probability
159,६ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३२ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर की त्रिज्या कितने से.मी. है?,३,Math,Solid Geometry
133,एक समकोण त्रिभुज के लंब और आधार क्रमशः ३ और ४ हों तो इसका कर्ण कितना है?,५,Math,Trigonometry
415,किसी तालाब के पानी की गहराई १ मीटर है। उसकी तली पर कितने पास्कल दाब लगेगा?,९८००,Physics,Physics
279,"वर्नियर स्केल के ५० खाने मुख्य स्केल के ४९ खानों के बराबर हैं। यदि मुख्य स्केल का सबसे छोटा १ खाना = १ मि.मी. हो, तो वर्नियर स्थिरांक कितने मि.मी. है?",०.०२,Physics,Physics
633,१० ग्राम सोडियम हाइड्रॉक्साइड के साथ ५ ग्राम कार्बन डाइऑक्साइड की अभिक्रिया कराई गई। अभिक्रिया के अंत में कितने ग्राम सोडियम हाइड्रॉक्साइड शेष रहेगा?,०.९०,Chemistry,Chemistry
389,७०० जूल विद्युत ऊर्जा का उपयोग करके एक विद्युत मोटर द्वारा ४० न्यूटन भार की एक वस्तु को १० मीटर की ऊँचाई तक उठाया गया। मोटर की कार्यदक्षता प्रतिशत में कितनी है?,५७.१४,Physics,Physics
288,मूल स्केल और वर्नियर स्केल के संयुक्त उपयोग से कुल पाठ्यांक १२.६६ से.मी. प्राप्त हुआ। यदि वर्नियर संपातन ६ हो तो वर्नियर स्थिरांक कितने मि.मी. है? (मुख्य स्केल का पाठ्यांक १२.६ से.मी.),०.१०,Physics,Physics
507,परक्लोरिक एसिड के २२ मोल का आणविक भार कितना है?,२२११,Chemistry,Chemistry
404,५० ग्राम द्रव्यमान की एक वस्तु को भूमि से ६० मीटर ऊँचे एक टावर पर रखा गया। टावर के ऊपर वस्तु की स्थितिज ऊर्जा कितने जूल है?,२९.४०,Physics,Physics
264,मौसम विभाग से प्राप्त रिपोर्ट के अनुसार जुलाई महीने में लखनऊ शहर में १० दिन मूसलाधार और १५ दिन बूँदा-बाँदी बारिश हुई। तो ४ जुलाई को बारिश न होने की प्रायिकता कितनी है?,६/३१,Math,Probability
369,एक माचिस की तीली को डिब्बे पर ३ न्यूटन बल से रगड़ा गया। यदि तीली को ४ से.मी. खींचा जाए तो तीली रगड़ने में कितने जूल ऊर्जा खर्च हुई?,०.१२,Physics,Physics
269,"एक छड़ को स्लाइड कैलिपर्स में रखने पर जो पाठ्यांक मिला वह है: मुख्य स्केल ४ से.मी., वर्नियर संपातन ७ और वर्नियर स्थिरांक ०.१ मि.मी.। छड़ की लंबाई कितने से.मी. है?",४.०७,Physics,Physics
43,"A = {३,४,५,८} समुच्चय के घात समुच्चय (power set) के अवयवों की संख्या कितनी है?",१६,Math,Set Function
618,१ लीटर १ मोलर विलयन तैयार करने के लिए कितनी मात्रा में सोडियम हाइड्रॉक्साइड की आवश्यकता है?,४०,Chemistry,Chemistry
450,यदि ५ किग्रा द्रव्यमान की वस्तु की ऊष्मा धारण क्षमता ६१५० जूल/केल्विन हो तो उसकी विशिष्ट ऊष्मा कितनी है?,१२३०,Physics,Physics
95,किसी वृत्त का व्यास २० से.मी. है। वृत्त के ५० से.मी. लंबे चाप के केंद्रीय कोण का मान कितने डिग्री है?,२८६.४७,Math,Trigonometry
99,पृथ्वी की त्रिज्या ६४४० कि.मी. है। दिल्ली और जयपुर पृथ्वी के केंद्र पर ५ डिग्री का कोण बनाते हैं। दिल्ली और जयपुर की दूरी कितने कि.मी. है?,५६१.९९,Math,Trigonometry
104,१५० किलोमीटर दूर एक बिंदु पर कोई पहाड़ २.५० रेडियन का कोण बनाता है। पहाड़ कितने किलोमीटर ऊँचा है?,३७५,Math,Trigonometry
512,मानक अवस्था में २ ग्राम हाइड्रोजन गैस का आयतन कितना है?,२२.४०,Chemistry,Chemistry
657,५०० मिली में पोटैशियम कार्बोनेट का ०.२ मोलर विलयन बनाया गया। विलयन में कितने ग्राम पोटैशियम कार्बोनेट है?,१३.८०,Chemistry,Chemistry
127,सुबह ८:२० बजे घड़ी की घंटे और मिनट की सुइयों के बीच का कोण कितने डिग्री होगा?,१३०,Math,Trigonometry
443,एक बंद बर्तन में ०.२५ घन मीटर आयतन की गैस रखी है। गैस का दाब २७ x १०^३ पास्कल और तापमान ४० डिग्री सेल्सियस है। गैस की मात्रा ज्ञात कीजिए। (गैस स्थिरांक का मान ८.३१४),२.६,Physics,Physics
215,एक सिक्का उछालने पर हेड अथवा टेल आने की घटना निश्चित घटना हो तो प्रायिकता कितनी है?,१,Math,Probability
542,मानक अवस्था में ५ मोल फॉस्फीन गैस का आयतन कितना है?,११२,Chemistry,Chemistry
10,कार्बन मोनोऑक्साइड के ९ मोल का भार कितने ग्राम है?,२५२,Chemistry,Chemistry
645,५ ग्राम हाइड्रोजन गैस के साथ ३० ग्राम नाइट्रोजन गैस की अभिक्रिया कराई गई। कितने मोल नाइट्रोजन शेष रहेगी?,०.२३,Chemistry,Chemistry
569,यदि ५०० मिली विलयन में २४.५ ग्राम सल्फ्यूरिक एसिड घुला हो तो विलयन की सांद्रता कितनी है?,०.५०,Chemistry,Chemistry
620,ग्लूकोज़ में कार्बन की प्रतिशत मात्रा कितनी है?,४०,Chemistry,Chemistry
333,५० मीटर ऊँची इमारत की छत से कोई वस्तु छोड़ी जाए तो यह कितने वेग से भूतल से टकराएगी?,३१.३०,Physics,Physics
506,१२ मोल परक्लोरिक एसिड का आणविक भार कितना है?,१२०६,Chemistry,Chemistry
635,किसी एक बर्तन में ४० ग्राम सोडियम धातु और ३५.५ ग्राम क्लोरीन गैस रखी गई। उपयुक्त वातावरण में अभिक्रिया कराकर सोडियम क्लोराइड बनाया गया। कितने ग्राम सोडियम शेष रहेगा?,१७,Chemistry,Chemistry
401,१० ग्राम द्रव्यमान की एक वस्तु को भूमि से ६० मीटर की ऊँचाई से गिराया गया। ३ सेकंड बाद वस्तु का संवेग कितने किग्रा-मी./से. होगा?,०.२९,Physics,Physics
98,किसी वृत्त का व्यास ९ से.मी. है। वृत्त के १५ से.मी. लंबे चाप के केंद्रीय कोण का वृत्तीय माप कितना है?,३.३३,Math,Trigonometry
675,लिंकन के खिलौनों के बॉक्स में बाइनरी संख्या प्रणाली के प्रत्येक अंक का प्रतिनिधित्व करने वाले खिलौने हैं। लिंकन के पास भाई-बहनों के लिए ऐसे ११ और खिलौनों के बॉक्स हैं। उनके पास कितने खिलौने हैं?,२४,CS,CS
582,सोडियम कार्बोनेट यौगिक में कार्बन तत्व का प्रतिशत संघटन कितना है?,११.३२,Chemistry,Chemistry
32,एक समकोण त्रिभुज का आधार १२ और लंब ५ हो तो कर्ण कितना है?,१३,Math,Solid Geometry
688,राहुल ने कहा कि उसके पास ४५२ (हेक्साडेसिमल में) केले थे लेकिन उसने करण को १००० (ऑक्टल में) दे दिए। हमारी संख्या प्रणाली में उसके पास और कितने केले रहेंगे?,५९४,CS,CS
465,हवा में ध्वनि का वेग ३५० मी./से. है। यदि एक ध्वनि तरंग की तरंगदैर्ध्य ३५ सेंटीमीटर हो तो इसकी आवृत्ति कितनी होगी?,१०००,Physics,Physics
219,एक निष्पक्ष पासे को एक बार फेंकने पर अभाज्य संख्या आने की प्रायिकता कितनी है?,१/२,Math,Probability
441,"एक ताँबे की छड़ का तापमान १०० डिग्री सेल्सियस बढ़ाने पर यदि इसकी अंतिम लंबाई १०.०१६७ मीटर हो, तो छड़ की प्रारंभिक लंबाई कितने मीटर थी?",१०,Physics,Physics
17,"यदि अमित औसतन १०० मी/सेकंड की गति से १००० मीटर की प्रतियोगिता में भाग ले और प्रतियोगिता जीतने के लिए २० सेकंड से पहले प्रतियोगिता पूरी करनी हो, तो अमित के जीतने की संभावना कितनी है?",१,Math,Probability
689,राहुल ने कहा कि उसके पास ७७ (हेक्साडेसिमल में) केले थे लेकिन उसने करण को १०००० (बाइनरी में) दे दिए। हमारी संख्या प्रणाली के अनुसार पहले उसके पास कितने केले थे?,११९,CS,CS
359,२ किग्रा द्रव्यमान की एक स्थिर वस्तु को ऊपर से छोड़ने पर वह ३ सेकंड में ३६ मीटर रास्ता तय करती है। उक्त घटना में तरल घर्षण बल कितने न्यूटन है?,३.६,Physics,Physics
216,एक निष्पक्ष पासे पर विषम संख्या आने की प्रायिकता कितनी है?,१/२,Math,Probability
239,एक पासा और दो सिक्के एक साथ फेंके जाएँ तो घटित होने वाली घटनाएँ कितनी हैं?,२४,Math,Probability
188,"एक आयताकार ठोस की लंबाई १२ से.मी., चौड़ाई ९ से.मी. और ऊँचाई ६ से.मी. हो तो इसके संपूर्ण पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?",४६८,Math,Solid Geometry
206,"एक थैले में १२ नीली गेंदें, १६ सफेद गेंदें और २० काली गेंदें हैं। यादृच्छिक रूप से एक गेंद निकालने पर गेंद के सफेद न होने की प्रायिकता कितनी है?",२/३,Math,Probability
561,२ लीटर ०.२ मोलर कैल्शियम बाइकार्बोनेट विलयन में कितनी मात्रा में कैल्शियम बाइकार्बोनेट विद्यमान रहता है?,६४.८०,Chemistry,Chemistry
502,५ मोल ग्लूकोज़ का आणविक भार कितना है?,९००,Chemistry,Chemistry
603,५६ ग्राम मैग्नीशियम से कितने ग्राम मैग्नीशियम ऑक्साइड उत्पन्न होगा?,९३.३३,Chemistry,Chemistry
564,२५० मिली कास्टिक सोडा के सेमीमोलर विलयन से कितनी मात्रा में सेंटीमोलर विलयन प्राप्त होगा?,१२.५०,Chemistry,Chemistry
538,मानक तापमान और दाब पर ८८ ग्राम कार्बन डाइऑक्साइड गैस का आयतन कितना है?,२,Chemistry,Chemistry
30,२००० मीटर ऊँचे एक टावर से एक पत्थर को नीचे की ओर गिराया गया। यह कितने समय बाद भूमि पर गिरेगा (गुरुत्वीय त्वरण g = १०)?,२०,Physics,Physics
286,रैखिक स्केल का पाठ्यांक ४ मि.मी. और वृत्ताकार स्केल के पाठ्यांक का मान ०.१७ मि.मी. है। तार का व्यास कितने मि.मी. है?,४.१७,Physics,Physics
132,०.२० मीटर व्यास वाला एक पहिया एक बार घूमने पर कितने मीटर की दूरी तय करेगा?,०.६२,Math,Trigonometry
340,३६ कि.मी./घंटा के वेग से चल रही एक गाड़ी का वेग १ मिनट बाद ७२ कि.मी./घंटा हो जाता है। इस समय में गाड़ी कितनी दूरी तय करती है?,९००,Physics,Physics
573,यदि २५ ग्राम सल्फ्यूरिक एसिड १०० मिली विलयन में घुला हो तो विलयन की सांद्रता मोलरता में कितनी है?,२.५५,Chemistry,Chemistry
117,११० डिग्री कोण के संपूरक कोण को वृत्तीय पद्धति में व्यक्त करने पर कितना होगा?,१.२२,Math,Trigonometry
165,३ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३६ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर के वक्र पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,२२६.१९,Math,Solid Geometry
116,७०.५० डिग्री कोण का संपूरक कोण कितना है?,१०९.५०,Math,Trigonometry
236,पहली सौ प्राकृतिक संख्याओं में से यादृच्छिक चयन में पूर्ण वर्ग संख्या आने की प्रायिकता कितनी है?,१/१०,Math,Probability
31,एक वस्तु का द्रव्यमान १० किग्रा और आयतन १०० घन मीटर है। वस्तु का घनत्व कितना है?,०.१०,Physics,Physics
336,एक वस्तु को १९.६ मी./से. के वेग से सीधे ऊपर की ओर फेंका जाए तो वस्तु अधिकतम कितनी ऊपर जाएगी?,१९.६,Physics,Physics
143,"एक आयताकार ठोस की लंबाई ३ से.मी., विकर्ण ५ से.मी. और ऊँचाई ३ से.मी. हो तो इसकी चौड़ाई कितने से.मी. है?",२.६४,Math,Solid Geometry
568,यदि १०० मिली विलयन में ९.८ ग्राम सल्फ्यूरिक एसिड घुला हो तो विलयन की मोलरता कितनी है?,१,Chemistry,Chemistry
488,११ मोल कार्बोनिक एसिड का आणविक भार कितना है?,६८२,Chemistry,Chemistry
265,१० से २१ तक की प्राकृतिक संख्याओं में से एक यादृच्छिक रूप से चुनी गई। संख्या के अभाज्य होने की प्रायिकता कितनी है?,१/३,Math,Probability
245,१ से २०० तक की प्राकृतिक संख्याओं में से यादृच्छिक रूप से एक संख्या ली जाए तो संख्या के पूर्ण घन होने की प्रायिकता कितनी है?,१/४०,Math,Probability
136,एक समकोण त्रिभुज के लंब और कर्ण क्रमशः ५ और १३ हों तो इसका आधार कितना है?,१२,Math,Trigonometry
574,कार्बन डाइऑक्साइड में कार्बन की मात्रा कितने प्रतिशत है?,२७.२७,Chemistry,Chemistry
572,यदि १०० मिली विलयन में १०.६ ग्राम सोडा ऐश घुला हो तो विलयन की सांद्रता कितनी है?,१,Chemistry,Chemistry
583,नीले थोथे (तूतिया) में क्रिस्टल जल का प्रतिशत संघटन कितना है?,३६.०७,Chemistry,Chemistry
323,एक गाड़ी का वेग १० मी./से. है। यदि गाड़ी में २ मी./से.^२ का मंदन उत्पन्न किया जाए तो ३ सेकंड बाद गाड़ी का वेग कितना होगा?,४,Physics,Physics
275,"यदि मुख्य स्केल का पाठ्यांक १२ मि.मी., वर्नियर संपातन ७ और वर्नियर स्थिरांक ०.१० मि.मी. हो तो पाठ्यांक कितने से.मी. है?",१.२७,Physics,Physics
674,लिंकन के खिलौनों के बॉक्स में बाइनरी संख्या प्रणाली के प्रत्येक अंक का प्रतिनिधित्व करने वाले खिलौने हैं। लिंकन के पास भाई-बहनों के लिए ऐसे ५ और खिलौनों के बॉक्स हैं। उनके पास कितने खिलौने हैं?,१२,CS,CS
154,५ से.मी. व्यास वाले एक धातु के ठोस गोले को पिघलाकर ३ से.मी. त्रिज्या का एक सिलिंडर बनाया गया। बने सिलिंडर की ऊँचाई कितने से.मी. है?,२.३१,Math,Solid Geometry
180,यदि एक वर्ग के विकर्ण की लंबाई २√२ से.मी. हो तो इसका क्षेत्रफल कितने वर्ग से.मी. है?,४,Math,Solid Geometry
89,"३ मीटर त्रिज्या वाले वृत्त का एक चाप केंद्र पर २ रेडियन का कोण बनाता है, चाप की लंबाई कितने से.मी. है (लगभग)?",६००,Math,Trigonometry
516,फेरिक कार्बोनेट के १ अणु में परमाणुओं की संख्या कितनी है?,१४,Chemistry,Chemistry
170,६ से.मी. व्यास वाले एक धातु के ठोस गोले को पिघलाकर ४ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर के संपूर्ण पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,१३१.९४,Math,Solid Geometry
383,७० किग्रा द्रव्यमान का एक आदमी ५ मिनट में १०० मीटर ऊँचे पहाड़ पर चढ़े तो उसकी शक्ति कितने वाट है? गुरुत्वीय त्वरण ९.८ मी./से.^२।,२२८.६६,Physics,Physics
679,लिंकन के खिलौनों के बॉक्स में हेक्साडेसिमल संख्या प्रणाली के प्रत्येक अंक का प्रतिनिधित्व करने वाले खिलौने हैं। लिंकन के पास भाई-बहनों के लिए ऐसे ३ और खिलौनों के बॉक्स हैं। उनके पास कितने खिलौने हैं?,६४,CS,CS
204,एक पासा फेंकने पर ३ आने की प्रायिकता कितनी है?,१/६,Math,Probability
630,०.२५ मोल मैग्नीशियम नाइट्रेट को गर्म करने पर उत्पन्न नाइट्रोजन डाइऑक्साइड का आयतन कितना है?,११.२०,Chemistry,Chemistry
596,हाइड्रोजन और ऑक्सीजन की अभिक्रिया से ९ ग्राम पानी उत्पन्न करने के लिए कितने ग्राम ऑक्सीजन की आवश्यकता है?,८,Chemistry,Chemistry
368,५ किग्रा द्रव्यमान की एक बंदूक से ५०० मी./से. के वेग से २० ग्राम द्रव्यमान की एक गोली ०.१ सेकंड में चलाई गई। गोली पर बंदूक के क्रियाशील बल का मान कितना है?,१००,Physics,Physics
262,राकेश के लखनऊ से कानपुर बस से जाने की संभावना ४/५ और कानपुर से आगरा ट्रेन से जाने की संभावना ६/७ है। राकेश के लखनऊ से कानपुर बस से जाने किंतु कानपुर से आगरा ट्रेन से न जाने की संभावना कितनी है?,४/३५,Math,Probability
212,एक पासा फेंकने पर ३ से विभाज्य संख्या आने के अनुकूल परिणाम कितने हैं?,२,Math,Probability
110,१८० डिग्री को रेडियन में व्यक्त करने पर कितना होगा?,३.१४,Math,Trigonometry
403,इकाई द्रव्यमान की एक वस्तु को १० मी./से. के वेग से ऊपर की ओर फेंका गया। भूमि से कितने मीटर की ऊँचाई पर वस्तु की गतिज ऊर्जा और स्थितिज ऊर्जा बराबर होंगी?,२.५५,Physics,Physics
501,ग्लूकोज़ के १० मोल का आणविक भार कितना है?,१८००,Chemistry,Chemistry
119,५० डिग्री कोण के पूरक कोण को वृत्तीय पद्धति में व्यक्त करने पर कितना होगा?,०.६९,Math,Trigonometry
53,"यदि दो पहियों की परिधि का अंतर ९० से.मी. हो, तो उनकी त्रिज्याओं का अंतर कितने से.मी. है?",१४.३२,Math,Trigonometry
224,एक सिक्के को १ बार उछालने पर हेड आने की प्रायिकता ०.६० है। सिक्के को ३०० बार उछालने पर कितनी बार टेल आ सकता है?,१२०,Math,Probability
560,२५० घन सेमी ०.०१ मोलर नाइट्रिक एसिड विलयन में कितने ग्राम नाइट्रिक एसिड है?,०.१६,Chemistry,Chemistry
