Q No.,Question,Answer
371,"राजन ने पिछले सप्ताह प्रतिदिन क्रमशः २, १.५, १, १.५, १, २, ५ घंटे घर पर पढ़ाई की। उसने प्रतिदिन औसतन कितने घंटे घर पर पढ़ाई की है?",२
201,"एक शहर की वर्तमान जनसंख्या २६२५० है। यदि सालाना ४% की दर से जनसंख्या बढ़े, तो अगले साल की जनसंख्या कितनी होगी, हिसाब करें।",२७३००
605,"एक त्रिभुजाकार क्षेत्र का आधार २४ मीटर और ऊंचाई १५ मीटर ५० सेंटीमीटर हो, तो इसका क्षेत्रफल निकालें।",१८६
537,एक आयताकार जमीन की लंबाई चौड़ाई की तिगुनी है और जमीन की परिमिति ४० मीटर है। जमीन की लंबाई निकालें।,१५
469,"मिस्टर राय एक सरकारी अधिकारी हैं। वे तीर्थस्थान के दर्शन के लिए नेपाल जाएंगे। यदि भारतीय १ रुपया नेपाली १.६० रुपये के बराबर हो, तो नेपाली ३००० रुपयों के लिए भारत के कितने रुपये चाहिए होंगे?",४७६१.९०
311,"मेरी पढ़ाई की किताबों और कहानी की किताबों का अनुपात ४:३ है; पढ़ाई की किताबें २८ हों तो कुल किताबों की संख्या कितनी है, हिसाब करें।",४९
280,१००० की सबसे निकट की पूर्ण वर्ग संख्या खोजें।,१०२४
127,मीरा ने १२.५ से.मी. लंबाई की रस्सी से ८.५ लंबाई की रस्सी काट ली। देखते हैं अब कितनी लंबाई की रस्सी बची है।,४
288,५००० के सबसे निकट की ५००० से बड़ी पूर्ण वर्ग संख्या खोजें।,५०४१
279,"तीन धनात्मक संख्याओं में पहली और दूसरी का गुणनफल २४; दूसरी और तीसरी का गुणनफल ४८; तथा पहली और तीसरी का गुणनफल ३२ है। छोटी संख्या क्या होगी, हिसाब करें।",४
129,लंबी कूद प्रतियोगिता में साहिल ने १८२.८८ से.मी. की छलांग लगाई और मुन्ना ने १७९.२५ से.मी. की। साहिल ने कितनी अधिक छलांग लगाई?,३.६३
269,"दो धनात्मक संख्याओं का गुणनफल १६२ और भागफल २ है; दोनों संख्याएं क्या होंगी, हिसाब करें। छोटी संख्या कौन-सी है?",९
611,"एक छोटे बक्से की लंबाई १५ से.मी. २.४ मि.मी., चौड़ाई ७ से.मी. ६.२ मि.मी. और ऊंचाई ५ से.मी. ८ मि.मी. है। बक्से का आयतन कितने घन सेंटीमीटर है?",६७३.५४
173,"घर में ४८ लीटर पीने का पानी है। वह पानी बराबर माप की खाली बोतलों में भर रहा हूं। यदि प्रत्येक बोतल में १.२ लीटर पानी आए तो वह पानी कितनी खाली बोतलों में डाल पाऊंगा, हिसाब करें।",४०
105,"दो संख्याओं का म.स. और ल.स. क्रमशः ८ और २८० है; यदि एक संख्या ५६ हो तो दूसरी संख्या कितनी है, हिसाब करते हैं।",४०
507,एक व्यापारी किसी एक दिन १८ कि.ग्रा. ३०० ग्राम चावल और ५ कि.ग्रा. ७५० ग्राम नमक बेचते हैं। इस हिसाब से महीने में वे कितने किलो नमक बेचते हैं?,१७२.५०
352,"एक लाठी का १/२ हिस्सा मिट्टी में, १/३ हिस्सा पानी में और शेष हिस्सा पानी के ऊपर है। पानी के ऊपर के हिस्से की लंबाई ३ मीटर है। लाठी का कितना मीटर मिट्टी में है?",९
136,"३६० बीघा जमीन २० दिनों में जोतने के लिए ४ ट्रैक्टर लगते हैं। १८०० बीघा जमीन १० दिनों में जोतनी हो तो कितने ट्रैक्टर लगेंगे, हिसाब करें।",४०
132,"गोमती नदी के किनारे के एक हिस्से को बांधने में ४० मजदूरों को ३५ दिन लगते हैं। २८ दिनों के भीतर उस हिस्से को बांधने में कितने मजदूर लगेंगे, हिसाब करें।",५०
538,एक आयताकार जमीन की लंबाई चौड़ाई की तिगुनी है और जमीन की परिमिति ४० मीटर है। जमीन की चौड़ाई निकालें।,५
281,"९५८५ में से कौन-सी छोटी से छोटी संख्या घटाने पर अंतर एक पूर्ण वर्ग संख्या होगा, हिसाब करें।",१७६
166,"मेरे पास १५० रुपये हैं। अपने रुपयों के ०.३ हिस्से से मैंने कॉपियां खरीदीं और अपने रुपयों के ०.४ हिस्से से कहानी की किताब खरीदी। अब मेरे पास कितने रुपये बचे हैं, हिसाब करें।",४५
622,"३ मीटर लंबाई, २ मीटर चौड़ाई और १ मीटर ऊंचाई वाले एक खाली हौज में ५० से.मी. भुजा वाला एक ठोस धातु का घन रखा है। हौज को पानी से भरने के बाद घन उठा लिया जाए, तो पानी की गहराई कितनी होगी?",९७.९२
155,६/७ के ३ गुने के साथ कितना जोड़ने पर २६/७ होगा?,८/७
523,दो संख्याओं का योगफल ५५ है और बड़ी संख्या का ५ गुना छोटी संख्या के ६ गुने के बराबर है। बड़ी संख्या निकालें।,३०
630,"दो संख्याओं का योगफल १०० और अंतर २० हो, तो छोटी संख्या निकालें।",४०
513,अनन्या ने एक परीक्षा में अंग्रेजी और गणित में कुल १७६ अंक पाए हैं और अंग्रेजी से गणित में १० अंक ज्यादा पाए हैं। उसने गणित में कितने अंक पाए हैं।,९३
594,२१ मीटर लंबे और १५ मीटर चौड़े एक बगीचे के बाहर चारों ओर २ मीटर चौड़ा एक रास्ता है। २.७५ रुपये प्रति वर्ग मीटर की दर से रास्ते पर घास लगाने में कुल कितना खर्च होगा?,४४०
282,"५३२० के साथ कौन-सी छोटी से छोटी संख्या जोड़ने पर योगफल पूर्ण वर्ग संख्या होगा, हिसाब करें।",९
412,किसी बगीचे में १८०० पौधे वर्गाकार रूप में लगाते समय ३६ पौधे ज्यादा हो गए। प्रत्येक कतार में पौधों की संख्या निकालें।,४२
527,"गीता, रीता और मीता के पास मिलाकर १८० रुपये हैं। रीता से गीता के पास ६ रुपये कम और मीता के पास १२ रुपये ज्यादा हैं। मीता के पास कितने रुपये हैं?",७०
509,"एक आयताकार बगीचे की लंबाई और चौड़ाई क्रमशः ६० मीटर, ४० मीटर है। इसके भीतर चारों ओर २ मीटर चौड़ा रास्ता है। रास्ते का क्षेत्रफल निकालें।",३८४
297,भारतवर्ष के स्वाधीन होने के बाद २०१४ तक कुल कितने साल लीप वर्ष हुए हैं?,१७
339,एक पानी की टंकी में प्रति मिनट ५ लीटर पानी आता है और २ लीटर पानी खर्च होता है। १० मिनट में पानी की टंकी में कितने लीटर पानी होगा?,३०
455,"नरेश बाबू का मासिक मूल वेतन २७,६५० रुपये है। वार्षिक कुल आय के पहले दो लाख पचास हजार रुपये का आयकर ० (शून्य) रुपये है। बाद की राशि पर आयकर की दर १० रुपये हो, तो नरेश बाबू कितने रुपये आयकर देते हैं?",८१८०
449,एक मछली विक्रेता ने प्रति गंडा (४ मछलियां) हिलसा मछली १६०० रुपये में खरीदकर प्रत्येक मछली ३५० रुपये में बेची। उन्हें प्रति सौ कितना लाभ या घाटा हुआ?,१२.५०
314,"२१० रुपये कविता और शकील के बीच ३:४ के अनुपात में बांटने की कोशिश करें। कविता को कितने रुपये देंगे, हिसाब करें।",९०
560,कोई मूलधन ३ साल में ब्याज-मूलधन मिलाकर १५७८ रुपये और ५ साल में ब्याज-मूलधन मिलाकर १८३० रुपये होता है। मूलधन निकालें।,१२००
71,३५.२८ लीटर तेल ९ परिवारों में बराबर बाँटने पर प्रत्येक परिवार को कितने लीटर तेल मिलेगा?,३.९२
89,सीता की तुलना में रोहन के पास ३९० रुपये अधिक हैं। श्याम की तुलना में सीता के पास ४७० रुपये कम हैं। श्याम के पास ८९० रुपये हैं। रोहन के पास कितने रुपये हैं?,८१०
548,"एक वस्तु बेचकर थोक विक्रेता को २०% और खुदरा विक्रेता को २०% लाभ होता है। यदि वस्तु का खुदरा बिक्री मूल्य ५७६ रुपये हो, तो थोक विक्रेता का क्रय मूल्य कितना है?",४००
276,"दो धनात्मक संख्याओं का गुणनफल १४७ है; बड़ी संख्या छोटी संख्या की ३ गुनी है। बड़ी संख्या क्या है, हिसाब करें।",२१
394,पूजा ने बैंक से १२% वार्षिक ब्याज पर कुछ रुपये कर्ज लेकर एक साल बाद १६८० रुपये ब्याज दिया। मूलधन कितना था?,१४०००
524,दो संख्याओं का योगफल ५५ है और बड़ी संख्या का ५ गुना छोटी संख्या के ६ गुने के बराबर है। छोटी संख्या निकालें।,२५
572,मनोरमा देवी ने अपनी पारिवारिक जरूरत के लिए ६% की दर से कुछ रुपये और ४% की दर से कुछ रुपये कर्ज लिए। उन्होंने कुल ५६००० रुपये कर्ज लिया और अंत में २८४० रुपये ब्याज चुकाया। पूरे कर्ज पर ५% ब्याज लागू हो तो वार्षिक ब्याज कितना है?,२८००
143,"दो संख्याओं का गुणनफल १५०५०४९० है; एक संख्या ५ हो तो दूसरी कितनी है, देखें।",३०१००९८
359,"सज्जन बाबू के पास २४,००० रुपये थे। उन्होंने इस राशि का ५/१२ हिस्सा अनाथालय को, ३/८ हिस्सा शिक्षण संस्था को दान कर दिया। उनके पास कितने रुपये बाकी हैं?",५०००
490,"१२० मीटर लंबी एक ट्रेन ३३० मीटर लंबा एक पुल पार करेगी। ट्रेन की रफ्तार ३० कि.मी. प्रति घंटा हो, तो पुल पार करने में ट्रेन को कितना समय (सेकंड में) लगेगा?",५४
581,"किसी शहर की वर्तमान जनसंख्या ६४ लाख है। शहर की जनसंख्या वृद्धि की दर प्रति हजार २५ हो, तो २ साल बाद उस शहर की जनसंख्या कितनी होगी?",६७२४०००
53,एक बोर्ड के ३/४ वर्ग मीटर को रंगने में १ डेसीलीटर रंग लगता है। ४ डेसीलीटर रंग से कितने वर्ग मीटर रंगा जा सकेगा?,३
223,"कौन-सी बड़ी से बड़ी संख्या से ३०६, ८१० और २२१४ को भाग देने पर हर बार कोई शेष नहीं बचेगा, वह हिसाब करके देखें।",१८
154,१५० रुपये के १/२ हिस्से में से कितने रुपये लेने पर ३० रुपये बचे रहेंगे।,४५
227,"२२८ मी., ३४२ मी., ४५६ मी.। राशियों के म.स.प. का मान खोजें।",११४
204,७ मीटर लंबे फीते को बराबर ८ भागों में बांटकर प्रत्येक भाग का मान देखें।,०.८७
26,४ मुर्गियों और ३ बत्तखों का दाम मिलाकर ६३९ रुपये है। यदि १ बत्तख का दाम ८५ रुपये हो तो १ मुर्गी का दाम कितना है?,९६
202,"एक शहर की वर्तमान जनसंख्या २६२५० है। यदि सालाना ४% की दर से जनसंख्या बढ़े, तो दो साल बाद जनसंख्या कितनी होगी, हिसाब करें।",२८३९२
429,"२१६० रुपये रूमा, जूही और काजल के बीच १ : २ : ३ के अनुपात में बांटने पर जूही को कितने रुपये मिलेंगे?",७२०
7,"एक संख्या दूसरी के दोगुने से ९ कम है, और उनका योग ४२ है। बड़ी संख्या कितनी है?",२५
607,एक वर्गाकार क्षेत्र की एक भुजा की लंबाई ३०० मीटर है और बाहर चारों ओर ४ मीटर चौड़ा एक रास्ता है। रास्ते का क्षेत्रफल कितना है?,४८६४
101,राजदीप के पिता ने अपने अमरूद के बगीचे से १२५ अमरूद २ रुपये प्रति अमरूद के दाम पर सदर बाज़ार में बेचे। मिले हुए रुपयों से उन्होंने ५ रुपये दाम के २ पेन और २० रुपये दाम की २ कॉपियाँ खरीदीं। बाकी रुपये उन्होंने अपने दोनों भाई-बहनों को मिठाई खाने के लिए बराबर बाँट दिए। देखते हैं राजदीप को कितने रुपये मिले।,१००
30,आलोक बाबू का मासिक वेतन ९८७० रुपये है। हर महीने वे ३८०० रुपये मकान किराए में और ५६५० रुपये परिवार की ज़रूरतों में खर्च करते हैं। शेष रुपये वे एक बैंक में जमा करते हैं। वे साल में कितने रुपये बैंक में जमा करते हैं?,५०४०
399,२५ लीटर ५० लीटर का कितना % है?,१२.५०
206,१२ लीटर पानी ७ बोतलों में बराबर बांटकर प्रत्येक भाग की माप देखें।,१.७१
585,"एक हौज की लंबाई ३ मीटर, चौड़ाई २ मीटर और ऊंचाई ४ मीटर है। इसमें कितने किलोग्राम शुद्ध पानी आएगा?",२४०००
434,"सुरेश, दिनेश और लोकेश तीन भाई हैं। उनके पिता ने ६३०० रुपये उनके बीच बांट दिए। इसमें सुरेश को दिनेश का ३/५ हिस्सा और दिनेश को लोकेश के दुगुने रुपये मिलते हैं। दिनेश के रुपयों की राशि निकालें।",३०००
398,श्यामलाल ने एक बैंक से ४५०० रुपये कर्ज लिया। मूलधन पर ८% वार्षिक ब्याज तय किया गया। कितने साल बाद कुल ब्याज की राशि २५२० रुपये होगी?,७
362,एक मीटर तार का वजन ४०० ग्राम है। एक तार की लंबाई २.४ मीटर हो तो पूरे तार का वजन कितने ग्राम है?,९६०
552,"वार्षिक ब्याज प्रति सौ १० रुपये से घटकर ८ रुपये हो जाए, तो ३००० रुपयों का ३ साल का ब्याज कितना कम होगा?",१८०
239,"५० और १०० के बीच की दो जोड़ी संख्याएं खोजें जिनका म.स.प. १६ और योगफल १४४ है, इनमें बड़ी संख्या कौन-सी है?",८०
188,हमारे शर्मा मोहल्ले की लाइब्रेरी में २१०० कहानी की किताबें हैं। जितनी कहानी की किताबें हैं उनका ३०% कहानी की किताबें और खरीदी गईं। हिसाब करके देखें और कितनी किताबें खरीदी गईं।,६३०
598,"एक कमरे में ३ दरवाजे और ६ खिड़कियां हैं। प्रत्येक दरवाजा २ मीटर लंबा और १.२५ मीटर चौड़ा है, प्रत्येक खिड़की १.२५ मीटर लंबी और १ मीटर चौड़ी है। उस कमरे के दरवाजे-खिड़कियां बनाने के लिए ५ मीटर लंबे और ०.६० मीटर चौड़े कितने तख्तों की जरूरत होगी?",५
578,"एक ही ब्याज दर पर किसी मूलधन का एक साल के अंत में चक्रवृद्धि मूलधन ६५०० रुपये और दो साल के अंत में चक्रवृद्धि मूलधन ६५७० रुपये हो, तो मूलधन कितना है?",६२५०
542,"रमेश बाबू ने बैंक में ५००० रुपये जमा किए और तय किया कि अगले ६ साल वे बैंक से रुपये नहीं निकालेंगे। बैंक का वार्षिक ब्याज १०% हो, तो ६ साल बाद ब्याज-मूलधन कितना होगा?",८०००
559,वार्षिक ब्याज ८% से बढ़कर १०% होने से तनुजा की आय ४ साल में १२८ रुपये बढ़ गई। उनका मूलधन कितना था?,१६००
321,"तरुण के फार्म में ५० बैल और ६० गायें हैं। यदि प्रत्येक गाय साल में २ बछड़ों को जन्म दे, तो एक साल बाद तरुण के फार्म में कुल कितने पशु होंगे?",२३०
378,"एक बक्से के ३० संतरों में से हमने ३ का वजन मापकर पाया क्रमशः २३५ ग्राम, १२० ग्राम और ३६५ ग्राम। औसत वजन के आधार पर ३० संतरों का कुल वजन (किलो में) निकालें।",७.२०
346,एक वर्गाकार मैदान की एक भुजा की लंबाई ५/२ कि.मी. है। मैदान का क्षेत्रफल निकालें।,२५/४
502,परेश की १६ एकड़ जमीन में २८ मीट्रिक टन धान उपजा है। उनकी प्रति एकड़ जमीन में कितने किलो धान उपजा है?,१७५०
389,राहुल ने एक बैंक से १८०० रुपये कर्ज लेकर तीन साल बाद २३४० रुपये लौटाए। वार्षिक ब्याज की दर प्रति सौ कितने रुपये थी?,१०
554,"प्रति सौ वार्षिक ब्याज कितने रुपये हो, तो १३००० रुपये ५ साल में ब्याज-मूलधन मिलाकर दुगुने होंगे?",१२.५०
400,१२० किलोग्राम का २०% कितने किलोग्राम है?,२४
38,सरिता और कविता का वेतन मिलाकर १९९५० रुपये है। सरिता की तुलना में कविता २४५० रुपये अधिक पाती है। सरिता का वेतन कितना है?,८७५०
95,माँ और पुत्र की आयु का योग ६० वर्ष है। माँ की आयु पुत्र की आयु की ३ गुनी है। तो माँ की आयु कितने वर्ष है?,४५
577,प्रति सौ १० रुपये वार्षिक ब्याज पर ५००० रुपयों के ३ साल के सरल ब्याज और चक्रवृद्धि ब्याज का अंतर कितना होगा?,१५५
238,"किस छोटी से छोटी संख्या में से ४००० घटाने पर अंतर ७, ११ और १३ से विभाज्य होगा, हिसाब करें।",५००१
170,"एक समबाहु त्रिभुज की परिमिति १४.४ से.मी. है। उस समबाहु त्रिभुज की १ भुजा की लंबाई कितने से.मी. है, उसे दशमलव संख्या में लिखें।",४.८०
312,समबाहु त्रिभुज के तीनों कोणों का अनुपात लिखें।,१:१:१
528,"एक कॉपी और एक कलम का कुल दाम ७५ रुपये है। कॉपी का दाम ५ रुपये कम और कलम का दाम २ रुपये ज्यादा होता, तो कॉपी का दाम कलम के दाम का दुगुना होता। कॉपी का दाम कितना है?",५३
463,"२५ मीटर कपड़ा जिस दाम पर खरीदा जाता है, उसी दाम पर २० मीटर कपड़ा बेचने पर प्रति सौ कितना लाभ या घाटा होगा?",२५
91,एक पार्क में एक बरगद का पेड़ और एक चीड़ का पेड़ है। १५० वर्ष पहले दोनों पेड़ों की आयु का योग २९६१ वर्ष था। वर्तमान में चीड़ के पेड़ की आयु १४३२ वर्ष है। वर्तमान में बरगद के पेड़ की आयु कितने वर्ष होगी?,१८२९
553,प्रति सौ कितने रुपये वार्षिक ब्याज पर कोई मूलधन ८ साल में ब्याज-मूलधन मिलाकर १८८५० रुपये होगा?,९
144,"समीर बाबू संपत्ति बेचकर ३५६२९८५० रुपये पाते हैं। उन्होंने उस राशि में से १००६२००० रुपये पत्नी को, १३०५०००० रुपये तीन बच्चों के बीच बराबर बांटकर दे दिए। बाकी रुपये गांव के स्कूल बनाने में दान कर दिए। हिसाब करके देखें- उन्होंने प्रत्येक बच्चे को कितने रुपये दिए।",४३५००००
237,दो संख्याओं के म.स.प. और ल.स.प. क्रमशः १२ और ७२० हैं; हिसाब करके देखें ऐसी कितनी जोड़ी संख्याएं हो सकती हैं।,४
460,"प्रत्येक चॉकलेट ८ रुपये के हिसाब से खरीदकर ८.५० रुपये के हिसाब से बेचने पर २५ रुपये लाभ हुआ, कुल कितनी चॉकलेट खरीदी गई थीं?",५०
370,३.२५ मीटर लंबे एक लोहे के टुकड़े का वजन १५.६ किलो है। लोहे के टुकड़े के प्रति मीटर का वजन निकालें।,४.८०
491,"एक त्रिभुजाकार जमीन का क्षेत्रफल २१६ वर्ग मीटर है। इसका आधार १८ मीटर हो, तो ऊंचाई निकालें।",२४
224,"हमारे घर में तीन लाठियां हैं जिनकी लंबाई क्रमशः ४५ से.मी., ५० से.मी. और ७५ से.मी. है। हिसाब करके देखें इन तीनों लाठियों में से प्रत्येक से कम से कम कितनी लंबाई का फीता पूरी तरह माप सकेंगे।",४५०
32,४ कलमों का मूल्य ८० रुपये है। १० कलमों का मूल्य कितना है?,२००
180,मुझे दादाजी ने मेले जाने के लिए ५० रुपये दिए। मैंने उन रुपयों का ७०% मेले में खर्च कर दिया और बाकी रुपये बचत की गुल्लक में डाल दिए। हिसाब करके देखें कितने रुपये मेले में खर्च किए।,३५
363,एक मीटर लोहे की छड़ का वजन २.३ किलो है। छड़ की लंबाई १.४ मीटर हो तो इसका वजन कितने किलो है?,३.२२
510,"एक कमरे की लंबाई, चौड़ाई की ३ गुनी है। ७.५० रुपये प्रति वर्ग मीटर की दर से कमरे के फर्श को कार्पेट से ढकने में कुल ११०२.५० रुपये खर्च होते हैं। कमरे की लंबाई निकालें।",२१
221,"१०७१ धोतियां, ५९५ साड़ियां और ३५७ कुर्ते जमा हैं। कुछ परिवारों के बीच वे चीजें बराबर बांट दी गईं। प्रत्येक परिवार को कितने कुर्ते मिलेंगे।",३
245,"साकिर ने गिनकर देखा कि उसके पास ४५० पीले बटन हैं। उसने उन्हें वर्गाकार रूप में सजाने की कोशिश की। साकिर के वर्गाकार रूप में सजाने के बाद भी ९ पीले बटन बचे रहे। साकिर की सजावट की प्रत्येक कतार में कितने पीले बटन हैं, हिसाब करें।",२१
34,"एक किराने की दुकान में एक कॉपी १८ रुपये में, एक पेंसिल ८ रुपये में और एक ज्यामितीय त्रिकोण (सेट स्क्वायर) २५ रुपये में बिकता है। हम ४ कॉपियाँ, ८ पेंसिलें और २ ज्यामितीय त्रिकोण खरीदते समय ५०० रुपये दें तो कितने रुपये वापस पाएँगे?",३१४
536,एक ट्रेन ३० कि.मी. प्रति घंटे की रफ्तार से चलकर नई दिल्ली स्टेशन से गाजियाबाद स्टेशन पहुंची। २५ कि.मी. होती तो १० मिनट समय ज्यादा लगता। दोनों स्टेशनों के बीच की दूरी कितनी है?,२५
301,"आज हम कुल १० लोग मैदान में खेलने आए हैं। यदि हममें लड़कियों और लड़कों की संख्या का अनुपात २:३ हो, तो कितनी लड़कियां खेलने आई हैं, हिसाब करें।",४ 
4,"दो संख्याओं का योग १८ है। यदि छोटी संख्या का दोगुना बड़ी संख्या से ६ अधिक हो, तो छोटी संख्या ज्ञात कीजिए।",८
383,किसी विद्यालय की ५वीं कक्षा के कुल ५० विद्यार्थियों में ४२% छात्राएं हैं। उस कक्षा में कुल कितनी छात्राएं हैं?,२१
300,"मेरी और सुलेखा की उम्र का अनुपात ५:६ है; मेरी उम्र १० साल हो तो, सुलेखा की उम्र कितनी है, हिसाब करके लिखें।",१२
497,एक आयताकार मैदान की लंबाई चौड़ाई की ३ गुनी है। इसके चारों ओर एक बार चक्कर लगाने पर १ किलोमीटर चलना होता है। आयताकार मैदान की चौड़ाई निकालें।,१२५
1,"ललिता के बाल ८ इंच लंबे हैं। यदि वह ३ इंच काट दे, तो उसके बाल कितने लंबे होंगे?",५
565,"किसी निश्चित समय का ब्याज-मूलधन ५६०० रुपये है और ब्याज, मूलधन का २/५ हिस्सा है। ब्याज प्रति सौ ८ रुपये वार्षिक हो, तो समय निकालें।",५
614,एक आयताकार क्षेत्र की लंबाई चौड़ाई की १.५ गुनी है। १.९० रुपये प्रति वर्ग मीटर की दर से घास लगाने में १०२६०.०० रुपये खर्च होते हैं। २.५० रुपये प्रति मीटर की दर से उस मैदान के चारों ओर बाड़ लगाने में कितना खर्च होगा?,७५०
214,९७८६ किग्रा. और २७९६ किग्रा. - के ल.स.प. का मान खोजें।,१९५७२
267,"शून्य के अलावा एक छोटी से छोटी पूर्ण वर्ग संख्या खोजें जो २५, ४० और ६० से विभाज्य हो।",३६००
575,मनोरमा देवी ने अपनी पारिवारिक जरूरत के लिए ६% की दर से कुछ रुपये और ४% की दर से कुछ रुपये कर्ज लिए। उन्होंने कुल ५६००० रुपये कर्ज लिया और अंत में २८४० रुपये ब्याज चुकाया। पूरे कर्ज पर ५% चक्रवृद्धि ब्याज लागू हो तो २ साल बाद मनोरमा देवी को कितने रुपये ब्याज चुकाना होगा?,५७४०
157,"रमा के पास जितने स्टाम्प हैं उनका २/३ हिस्सा उसने मुझे दे दिया। यदि रमा ने मुझे १८ स्टाम्प दिए हों तो रमा के पास कितने स्टाम्प थे, हिसाब करें।",२७
286,चार अंकों की बड़ी से बड़ी पूर्ण वर्ग संख्या खोजें।,९८०१
512,अनन्या ने एक परीक्षा में अंग्रेजी और गणित में कुल १७६ अंक पाए हैं और अंग्रेजी से गणित में १० अंक ज्यादा पाए हैं। उसने अंग्रेजी में कितने अंक पाए हैं।,८३
379,"८ अंडों के वजन क्रमशः ५४ ग्राम, ५६ ग्राम, ५० ग्राम, ५८ ग्राम, ५७ ग्राम, ५० ग्राम, ५३ ग्राम, ५० ग्राम हैं। ८ अंडों का औसत वजन निकालें।",५३.५०
45,"भाज्य ८९०३, भाजक ८७ और शेषफल २९ है। भागफल कितना है?",१०२
106,दो संख्याओं का म.स. १ और गुणनफल ३० है। छोटी संख्या लिखते हैं।,२
432,"कुछ रुपये लक्की, समर और सोहम के बीच ५ : ४ : २ के अनुपात में बांटे गए। सोहम को १८० रुपये मिले हों तो समर को कितने रुपये मिलेंगे, निकालें।",३६०
165,"रजनी देवी ने अपनी जमीन के ०.३५ हिस्से पर घर बनाया है और बाकी हिस्से के ०.२ हिस्से पर फूलों की खेती कर रही हैं। उन्होंने अपनी जमीन के कितने हिस्से पर फूलों की खेती की है, हिसाब करें।",०.१३
382,किसी विद्यालय की ५वीं कक्षा के कुल ३० विद्यार्थियों में १२ छात्राएं हैं। कुल विद्यार्थियों में प्रति सौ कितनी छात्राएं हैं?,४०
289,"दो धनात्मक पूर्ण वर्ग संख्याओं का गुणनफल १५७६ और भागफल ९/७ है, बड़ी संख्या क्या होगी, हिसाब करें।",४५
207,२४ मीटर लंबी सड़क के किनारे सड़क के दोनों सिरों समेत बराबर दूरी पर १५ पेड़ लगाने पर लगातार दो पेड़ों की दूरी देखें।,१.७१
